label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
MSCPROD GTARC|HMSC,0,eq,2023-08-28 11:16:02.307,6,0,0,0:0:30,0,eq,2023-08-28 11:16:02.307,6,0,2023-08-28 11:21:02.043
MSCPROD GTFSTAT|HMSC,0,eq,2023-08-24 18:03:02.653,5359,0,0,74:2:35,0,eq,2023-08-24 18:03:02.653,5359,0,2023-08-28 11:21:02.320
MSCPROD GTICT|HMSCINT,0,in,2023-08-28 11:21:02.619,1,0,0,00:00:00,0,in,2023-08-28 11:21:02.659,1,0,2023-08-28 11:21:02.622
MSCPROD GTICT|HMSCNAT,0,in,2023-08-28 11:21:02.926,1,0,0,00:00:00,0,in,2023-08-28 11:21:02.958,1,0,2023-08-28 11:21:02.929
MSCPROD GTMACH|GTNEXGN,0,eq,2023-08-28 06:47:02.673,275,0,0,3:4:55,0,eq,2023-08-28 06:47:02.673,275,0,2023-08-28 11:21:03.181
MSCPROD GTSGBDO|MSCREQ,0,in,2023-08-28 11:21:03.460,1,0,0,00:00:00,0,in,2023-08-28 11:21:03.496,1,0,2023-08-28 11:21:03.463
SBC_IMS GTARC|SBCIMS,0,eq,2023-08-28 11:21:03.722,1,0,0,00:00:00,0,eq,2023-08-28 11:21:03.749,1,0,2023-08-28 11:21:03.724
TOTAL,0,eq,2023-05-19 10:01:17.685,145507,0,0,2020:5:35,,eq,2023-05-19 10:01:17.685,145507,0,2023-08-28 11:21:03.968
ARCPSMS GTARCEP|HSMSCO2,0,ou,2023-08-28 11:21:05.474,1,0,0,00:00:00,0,ou,2023-08-28 11:21:05.496,1,0,2023-08-28 11:21:05.477
ARCSMS2 GTARC|HSMSC2,0,ou,2023-08-28 11:21:05.526,1,0,0,00:00:00,0,ou,2023-08-28 11:21:05.548,1,0,2023-08-28 11:21:05.529
ARCSMS2 GTARCEP|HSMSC2,0,ou,2023-08-28 11:21:05.578,1,0,0,00:00:00,0,ou,2023-08-28 11:21:05.600,1,0,2023-08-28 11:21:05.581
ARCSMS2 GTARCEP|OSMSC2,0,ou,2023-08-28 11:21:05.630,1,0,0,00:00:00,0,ou,2023-08-28 11:21:05.653,1,0,2023-08-28 11:21:05.633
GTSMSC2 GTSGBDO|ESMSC2,0,ou,2023-08-28 11:21:05.682,1,0,0,00:00:00,0,ou,2023-08-28 11:21:05.703,1,0,2023-08-28 11:21:05.685
MSCPROD GTARCEP|HMSC,0,ou,2023-08-28 11:21:05.731,1,0,0,00:00:00,0,ou,2023-08-28 11:21:05.754,1,0,2023-08-28 11:21:05.734
GTSBC2 GTARC|SBC,0,ou,2023-08-28 11:06:06.057,16,0,0,0:1:20,0,ou,2023-08-28 11:06:06.057,16,0,2023-08-28 11:21:05.782
MSCPROD GTARIS|HMSC,0,ou,2023-08-28 11:06:06.223,16,0,0,0:1:20,0,ou,2023-08-28 11:06:06.223,16,0,2023-08-28 11:21:05.827
MSCPROD GTSGBDO|MSCMAS,0,ou,2023-08-28 11:06:06.276,16,0,0,0:1:20,0,ou,2023-08-28 11:06:06.276,16,0,2023-08-28 11:21:05.871
ARC_SMS GTARC|HSMSC,0,ou,2023-08-28 09:16:06.691,126,0,0,1:4:30,0,ou,2023-08-28 09:16:06.691,126,0,2023-08-28 11:21:05.915
ARC_SMS GTARCEP|HSMSC,0,ou,2023-08-28 09:16:06.743,126,0,0,1:4:30,0,ou,2023-08-28 09:16:06.743,126,0,2023-08-28 11:21:05.958
ARC_SMS GTARCEP|OSMSC,0,ou,2023-08-28 09:16:06.794,126,0,0,1:4:30,0,ou,2023-08-28 09:16:06.794,126,0,2023-08-28 11:21:06.001
SBC_IMS GTICT|IMS_NAT,0,ou,2023-08-27 16:51:14.920,1111,0,0,15:2:35,0,ou,2023-08-27 16:51:14.920,1111,0,2023-08-28 11:21:06.041
SBC_IMS GTICT|IMS_INT,0,ou,2023-08-26 05:11:06.448,3251,0,0,45:0:55,0,ou,2023-08-26 05:11:06.448,3251,0,2023-08-28 11:21:06.082
GTSBC2 GTICT|SBCINT,0,ou,2023-08-21 10:02:04.989,10160,0,0,141:0:40,0,ou,2023-08-21 10:02:04.989,10160,0,2023-08-28 11:21:06.124
