label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
MSCPROD GTARC|HMSC,0,eq,2023-08-28 11:16:02.224,6,0,0,0:0:30,0,eq,2023-08-28 11:16:02.224,6,0,2023-08-28 11:21:01.951
MSCPROD GTFSTAT|HMSC,0,eq,2023-08-24 18:03:02.568,5359,0,0,74:2:35,0,eq,2023-08-24 18:03:02.568,5359,0,2023-08-28 11:21:02.233
MSCPROD GTICT|HMSCINT,0,in,2023-08-28 11:21:02.516,1,0,0,00:00:00,0,in,2023-08-28 11:21:02.552,1,0,2023-08-28 11:21:02.519
MSCPROD GTICT|HMSCNAT,0,in,2023-08-28 11:21:02.826,1,0,0,00:00:00,0,in,2023-08-28 11:21:02.860,1,0,2023-08-28 11:21:02.829
MSCPROD GTMACH|GTNEXGN,0,eq,2023-08-28 06:47:02.589,275,0,0,3:4:55,0,eq,2023-08-28 06:47:02.589,275,0,2023-08-28 11:21:03.100
MSCPROD GTSGBDO|MSCREQ,0,in,2023-08-28 11:21:03.362,1,0,0,00:00:00,0,in,2023-08-28 11:21:03.398,1,0,2023-08-28 11:21:03.365
SBC_IMS GTARC|SBCIMS,0,eq,2023-08-28 11:21:03.641,1,0,0,00:00:00,0,eq,2023-08-28 11:21:03.669,1,0,2023-08-28 11:21:03.644
TOTAL,0,eq,2023-05-19 10:01:17.584,145507,0,0,2020:5:35,,eq,2023-05-19 10:01:17.584,145507,0,2023-08-28 11:21:03.890
ARCPSMS GTARCEP|HSMSCO2,0,ou,2023-08-28 11:21:04.752,1,0,0,00:00:00,0,ou,2023-08-28 11:21:04.774,1,0,2023-08-28 11:21:04.755
ARCSMS2 GTARC|HSMSC2,0,ou,2023-08-28 11:21:04.807,1,0,0,00:00:00,0,ou,2023-08-28 11:21:04.830,1,0,2023-08-28 11:21:04.810
ARCSMS2 GTARCEP|HSMSC2,0,ou,2023-08-28 11:21:04.863,1,0,0,00:00:00,0,ou,2023-08-28 11:21:04.886,1,0,2023-08-28 11:21:04.866
ARCSMS2 GTARCEP|OSMSC2,0,ou,2023-08-28 11:21:04.919,1,0,0,00:00:00,0,ou,2023-08-28 11:21:04.942,1,0,2023-08-28 11:21:04.922
GTSMSC2 GTSGBDO|ESMSC2,0,ou,2023-08-28 11:21:04.971,1,0,0,00:00:00,0,ou,2023-08-28 11:21:04.992,1,0,2023-08-28 11:21:04.973
MSCPROD GTARCEP|HMSC,0,ou,2023-08-28 11:21:05.020,1,0,0,00:00:00,0,ou,2023-08-28 11:21:05.041,1,0,2023-08-28 11:21:05.022
GTSBC2 GTARC|SBC,0,ou,2023-08-28 11:06:05.291,16,0,0,0:1:20,0,ou,2023-08-28 11:06:05.291,16,0,2023-08-28 11:21:05.071
MSCPROD GTARIS|HMSC,0,ou,2023-08-28 11:06:05.443,16,0,0,0:1:20,0,ou,2023-08-28 11:06:05.443,16,0,2023-08-28 11:21:05.117
MSCPROD GTSGBDO|MSCMAS,0,ou,2023-08-28 11:06:05.495,16,0,0,0:1:20,0,ou,2023-08-28 11:06:05.495,16,0,2023-08-28 11:21:05.161
ARC_SMS GTARC|HSMSC,0,ou,2023-08-28 09:16:05.865,126,0,0,1:4:30,0,ou,2023-08-28 09:16:05.865,126,0,2023-08-28 11:21:05.207
ARC_SMS GTARCEP|HSMSC,0,ou,2023-08-28 09:16:05.927,126,0,0,1:4:30,0,ou,2023-08-28 09:16:05.927,126,0,2023-08-28 11:21:05.251
ARC_SMS GTARCEP|OSMSC,0,ou,2023-08-28 09:16:05.987,126,0,0,1:4:30,0,ou,2023-08-28 09:16:05.987,126,0,2023-08-28 11:21:05.293
SBC_IMS GTICT|IMS_NAT,0,ou,2023-08-27 16:51:14.191,1111,0,0,15:2:35,0,ou,2023-08-27 16:51:14.191,1111,0,2023-08-28 11:21:05.336
SBC_IMS GTICT|IMS_INT,0,ou,2023-08-26 05:11:05.615,3251,0,0,45:0:55,0,ou,2023-08-26 05:11:05.615,3251,0,2023-08-28 11:21:05.381
GTSBC2 GTICT|SBCINT,0,ou,2023-08-21 10:02:04.273,10160,0,0,141:0:40,0,ou,2023-08-21 10:02:04.273,10160,0,2023-08-28 11:21:05.423
