label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTSBC2 GTARC|SBC,1,in,2023-04-26 15:13:11.268,1,0,0,00:00:00,2,in,2023-04-26 15:13:11.293,1,0,2023-04-26 15:13:11.271
MSCPROD GTARC|HMSC,10,up,2023-04-26 15:13:11.475,1,8,8,00:00:00,75,up,2023-04-26 15:13:11.496,1,8,2023-04-26 15:13:11.478
MSCPROD GTFSTAT|HMSC,645,up,2023-04-26 10:57:32.165,5,113,470,0:0:25,995,up,2023-04-26 10:57:32.165,5,113,2023-04-26 15:13:11.660
MSCPROD GTICT|HMSCINT,16,eq,2023-04-26 15:13:11.839,1,0,0,00:00:00,36,eq,2023-04-26 15:13:11.858,1,0,2023-04-26 15:13:11.841
MSCPROD GTICT|HMSCNAT,16,eq,2023-04-26 15:13:12.013,1,0,0,00:00:00,36,eq,2023-04-26 15:13:12.032,1,0,2023-04-26 15:13:12.015
MSCPROD GTMACH|GTNEXGN,16,eq,2023-04-26 15:13:12.190,1,0,0,00:00:00,19,eq,2023-04-26 15:13:12.210,1,0,2023-04-26 15:13:12.192
TOTAL,704,up,2023-04-26 15:13:12.364,1,122,122,00:00:00,1468,up,2023-04-26 15:13:12.384,1,122,2023-04-26 15:13:12.367
GTSMSC2 GTSGBDO|ESMSC2,129,ou,2023-04-26 14:35:59.257,2,0,0,0:0:10,416,ou,2023-04-26 14:35:59.257,2,0,2023-04-26 15:13:12.539
GTSMSCT GTSGBDO|ESMSC,6,ou,2023-04-26 14:35:59.306,2,0,0,0:0:10,6,ou,2023-04-26 14:35:59.306,2,0,2023-04-26 15:13:12.580
MSCPROD GTSGBDO|MSCMAS,30,ou,2023-04-26 14:35:59.354,2,0,0,0:0:10,255,ou,2023-04-26 14:35:59.354,2,0,2023-04-26 15:13:12.622
SBC_IMS GTARC|SBCIMS,2,ou,2023-04-26 13:12:14.472,4,0,0,0:0:20,7,ou,2023-04-26 13:12:14.472,4,0,2023-04-26 15:13:12.662
ARCPSMS GTARCEP|HSMSCO2,28,ou,2023-04-26 10:57:33.605,5,0,0,0:0:25,28,ou,2023-04-26 10:57:33.605,5,0,2023-04-26 15:13:12.701
ARCSMS2 GTARC|HSMSC2,50,ou,2023-04-26 10:57:33.645,5,0,0,0:0:25,50,ou,2023-04-26 10:57:33.645,5,0,2023-04-26 15:13:12.741
ARCSMS2 GTARCEP|HSMSC2,22,ou,2023-04-26 10:57:33.714,5,0,0,0:0:25,22,ou,2023-04-26 10:57:33.714,5,0,2023-04-26 15:13:12.778
ARCSMS2 GTARCEP|OSMSC2,22,ou,2023-04-26 10:57:33.753,5,0,0,0:0:25,22,ou,2023-04-26 10:57:33.753,5,0,2023-04-26 15:13:12.816
MSCPROD GTARCEP|HMSC,13,ou,2023-04-26 10:57:33.792,5,0,0,0:0:25,13,ou,2023-04-26 10:57:33.792,5,0,2023-04-26 15:13:12.853
