label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
MSCPROD GTFSTAT|HMSC,0,eq,2023-04-25 09:53:32.145,16,0,0,0:1:20,0,eq,2023-04-25 09:53:32.145,16,0,2023-04-27 16:44:02.642
MSCPROD GTICT|HMSCINT,0,eq,2023-04-27 16:42:02.430,3,0,0,0:0:15,0,eq,2023-04-27 16:42:02.430,3,0,2023-04-27 16:44:02.825
MSCPROD GTICT|HMSCNAT,0,eq,2023-04-26 13:12:13.817,11,0,0,0:0:55,0,eq,2023-04-26 13:12:13.817,11,0,2023-04-27 16:44:03.008
MSCPROD GTMACH|GTNEXGN,0,eq,2023-04-25 09:53:32.705,16,0,0,0:1:20,0,eq,2023-04-25 09:53:32.705,16,0,2023-04-27 16:44:03.197
TOTAL,0,eq,2023-04-25 09:53:33.085,16,0,0,0:1:20,0,eq,2023-04-25 09:53:33.085,16,0,2023-04-27 16:44:03.375
MSCPROD GTARC|HMSC,0,ou,2023-04-27 16:42:03.730,3,0,0,0:0:15,0,ou,2023-04-27 16:42:03.730,3,0,2023-04-27 16:44:03.978
ARCPSMS GTARCEP|HSMSCO2,0,ou,2023-04-27 16:41:04.971,4,0,0,0:0:20,0,ou,2023-04-27 16:41:04.971,4,0,2023-04-27 16:44:04.021
ARCSMS2 GTARC|HSMSC2,0,ou,2023-04-27 16:41:05.020,4,0,0,0:0:20,0,ou,2023-04-27 16:41:05.020,4,0,2023-04-27 16:44:04.064
ARCSMS2 GTARCEP|HSMSC2,0,ou,2023-04-27 16:41:05.070,4,0,0,0:0:20,0,ou,2023-04-27 16:41:05.070,4,0,2023-04-27 16:44:04.105
ARCSMS2 GTARCEP|OSMSC2,0,ou,2023-04-27 16:41:05.121,4,0,0,0:0:20,0,ou,2023-04-27 16:41:05.121,4,0,2023-04-27 16:44:04.146
ARC_SMS GTARC|HSMSC,0,ou,2023-04-27 16:41:05.171,4,0,0,0:0:20,0,ou,2023-04-27 16:41:05.171,4,0,2023-04-27 16:44:04.187
GTSMSC2 GTSGBDO|ESMSC2,0,ou,2023-04-27 16:41:05.220,4,0,0,0:0:20,0,ou,2023-04-27 16:41:05.220,4,0,2023-04-27 16:44:04.227
MSCPROD GTARCEP|HMSC,0,ou,2023-04-27 16:41:05.268,4,0,0,0:0:20,0,ou,2023-04-27 16:41:05.268,4,0,2023-04-27 16:44:04.267
SBC_IMS GTARC|SBCIMS,0,ou,2023-04-27 16:41:05.315,4,0,0,0:0:20,0,ou,2023-04-27 16:41:05.315,4,0,2023-04-27 16:44:04.306
GTSBC2 GTARC|SBC,0,ou,2023-04-27 14:36:35.612,7,0,0,0:0:35,0,ou,2023-04-27 14:36:35.612,7,0,2023-04-27 16:44:04.343
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-04-26 14:35:59.763,9,0,0,0:0:45,0,ou,2023-04-26 14:35:59.763,9,0,2023-04-27 16:44:04.380
MSCPROD GTSGBDO|MSCMAS,0,ou,2023-04-26 14:35:59.810,9,0,0,0:0:45,0,ou,2023-04-26 14:35:59.810,9,0,2023-04-27 16:44:04.416
