label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTSBC2 GTARC|SBC,0,in,2023-04-26 15:13:11.407,1,0,0,00:00:00,0,in,2023-04-26 15:13:11.432,1,0,2023-04-26 15:13:11.410
MSCPROD GTARC|HMSC,0,eq,2023-04-26 14:35:58.034,2,0,0,0:0:10,0,eq,2023-04-26 14:35:58.034,2,0,2023-04-26 15:13:11.599
MSCPROD GTFSTAT|HMSC,0,eq,2023-04-25 09:53:32.207,9,0,0,0:0:45,0,eq,2023-04-25 09:53:32.207,9,0,2023-04-26 15:13:11.778
MSCPROD GTICT|HMSCINT,0,eq,2023-04-26 13:12:13.684,4,0,0,0:0:20,0,eq,2023-04-26 13:12:13.684,4,0,2023-04-26 15:13:11.956
MSCPROD GTICT|HMSCNAT,0,eq,2023-04-26 13:12:13.889,4,0,0,0:0:20,0,eq,2023-04-26 13:12:13.889,4,0,2023-04-26 15:13:12.132
MSCPROD GTMACH|GTNEXGN,0,eq,2023-04-25 09:53:32.768,9,0,0,0:0:45,0,eq,2023-04-25 09:53:32.768,9,0,2023-04-26 15:13:12.306
TOTAL,0,eq,2023-04-25 09:53:33.143,9,0,0,0:0:45,0,eq,2023-04-25 09:53:33.143,9,0,2023-04-26 15:13:12.485
GTSMSC2 GTSGBDO|ESMSC2,0,ou,2023-04-26 14:36:00.179,2,0,0,0:0:10,0,ou,2023-04-26 14:36:00.179,2,0,2023-04-26 15:13:13.251
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-04-26 14:36:00.234,2,0,0,0:0:10,0,ou,2023-04-26 14:36:00.234,2,0,2023-04-26 15:13:13.292
MSCPROD GTSGBDO|MSCMAS,0,ou,2023-04-26 14:36:00.289,2,0,0,0:0:10,0,ou,2023-04-26 14:36:00.289,2,0,2023-04-26 15:13:13.333
SBC_IMS GTARC|SBCIMS,0,ou,2023-04-26 13:12:15.211,4,0,0,0:0:20,0,ou,2023-04-26 13:12:15.211,4,0,2023-04-26 15:13:13.374
ARCPSMS GTARCEP|HSMSCO2,0,ou,2023-04-26 10:57:34.042,5,0,0,0:0:25,0,ou,2023-04-26 10:57:34.042,5,0,2023-04-26 15:13:13.415
ARCSMS2 GTARC|HSMSC2,0,ou,2023-04-26 10:57:34.081,5,0,0,0:0:25,0,ou,2023-04-26 10:57:34.081,5,0,2023-04-26 15:13:13.454
ARCSMS2 GTARCEP|HSMSC2,0,ou,2023-04-26 10:57:34.123,5,0,0,0:0:25,0,ou,2023-04-26 10:57:34.123,5,0,2023-04-26 15:13:13.491
ARCSMS2 GTARCEP|OSMSC2,0,ou,2023-04-26 10:57:34.166,5,0,0,0:0:25,0,ou,2023-04-26 10:57:34.166,5,0,2023-04-26 15:13:13.530
MSCPROD GTARCEP|HMSC,0,ou,2023-04-26 10:57:34.205,5,0,0,0:0:25,0,ou,2023-04-26 10:57:34.205,5,0,2023-04-26 15:13:13.566
