label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARCPSMS GTARCEP|HSMSCO2,7622,dw,2023-05-01 00:29:11.336,2,-65,-96,0:0:10,20217,dw,2023-05-01 00:29:11.336,2,-65,2023-05-01 00:30:09.256
ARCSMS2 GTARC|HSMSC2,27065,up,2023-05-01 00:21:10.444,10,65,443,0:0:50,27761,up,2023-05-01 00:21:10.444,10,65,2023-05-01 00:30:10.161
ARCSMS2 GTARCEP|HSMSC2,2531,dw,2023-05-01 00:29:14.130,2,-196,-201,0:0:10,8607,dw,2023-05-01 00:29:14.130,2,-196,2023-05-01 00:30:11.003
ARCSMS2 GTARCEP|OSMSC2,3102,dw,2023-05-01 00:27:11.448,4,-305,-373,0:0:20,9080,dw,2023-05-01 00:27:11.448,4,-305,2023-05-01 00:30:11.705
GTSMSC2 GTSGBDO|ESMSC2,927,dw,2023-05-01 00:30:12.766,1,-162,-162,00:00:00,9790,dw,2023-05-01 00:30:12.786,1,-162,2023-05-01 00:30:12.768
MSCPROD GTARC|HMSC,1,in,2023-05-01 00:30:13.205,1,0,0,00:00:00,1066,in,2023-05-01 00:30:13.236,1,0,2023-05-01 00:30:13.207
MSCPROD GTARCEP|HMSC,1,in,2023-05-01 00:30:13.964,1,0,0,00:00:00,567,in,2023-05-01 00:30:13.989,1,0,2023-05-01 00:30:13.966
MSCPROD GTFSTAT|HMSC,160,eq,2023-05-01 00:27:13.341,4,0,0,0:0:20,1407,eq,2023-05-01 00:27:13.341,4,0,2023-05-01 00:30:14.776
MSCPROD GTMACH|GTNEXGN,3033,eq,2023-05-01 00:27:15.570,4,0,0,0:0:20,3033,eq,2023-05-01 00:27:15.570,4,0,2023-05-01 00:30:15.542
TOTAL,44442,dw,2023-05-01 00:30:16.207,1,-669,-669,00:00:00,59171,dw,2023-05-01 00:30:16.230,1,-669,2023-05-01 00:30:16.210
MSCPROD GTICT|HMSCINT,4,ou,2023-05-01 00:30:16.810,1,0,0,00:00:00,450,ou,2023-05-01 00:30:16.832,1,0,2023-05-01 00:30:16.813
MSCPROD GTICT|HMSCNAT,4,ou,2023-05-01 00:30:16.859,1,0,0,00:00:00,460,ou,2023-05-01 00:30:16.881,1,0,2023-05-01 00:30:16.862
MSCPROD GTSGBDO|MSCMAS,10,ou,2023-05-01 00:25:19.975,6,0,0,0:0:30,747,ou,2023-05-01 00:25:19.975,6,0,2023-05-01 00:30:16.908
ARC_SMS GTARC|HSMSC,1,ou,2023-05-01 00:21:18.489,10,0,0,0:0:50,10,ou,2023-05-01 00:21:18.489,10,0,2023-05-01 00:30:17.057
ARC_SMS GTARCEP|HSMSC,1,ou,2023-05-01 00:21:18.623,10,0,0,0:0:50,8,ou,2023-05-01 00:21:18.623,10,0,2023-05-01 00:30:17.263
GTSBC2 GTARC|SBC,1,ou,2023-05-01 00:21:18.714,10,0,0,0:0:50,11,ou,2023-05-01 00:21:18.714,10,0,2023-05-01 00:30:17.356
GTSMSCT GTSGBDO|ESMSC,1,ou,2023-05-01 00:09:21.244,22,0,0,0:1:50,31,ou,2023-05-01 00:09:21.244,22,0,2023-05-01 00:30:17.551
SBC_IMS GTARC|SBCIMS,3,ou,2023-05-01 00:08:24.640,23,0,0,0:1:55,92,ou,2023-05-01 00:08:24.640,23,0,2023-05-01 00:30:17.641
MSCPROD GTARIS|HMSC,4,ou,2023-04-30 23:57:11.879,34,0,0,0:2:50,448,ou,2023-04-30 23:57:11.879,34,0,2023-05-01 00:30:17.757
MSCPROD GTSGBDO|MSCREQ,2,ou,2023-04-30 23:16:11.243,75,0,0,1:0:15,547,ou,2023-04-30 23:16:11.243,75,0,2023-05-01 00:30:17.906
SBC_IMS GTICT|IMS_INT,1,ou,2023-04-30 22:51:26.501,100,0,0,1:2:20,3,ou,2023-04-30 22:51:26.501,100,0,2023-05-01 00:30:17.947
ARC_SMS GTARCEP|OSMSC,1,ou,2023-04-30 22:41:10.665,110,0,0,1:3:10,8,ou,2023-04-30 22:41:10.665,110,0,2023-05-01 00:30:18.037
GTSBC2 GTICT|SBCINT,1,ou,2023-04-30 22:17:10.473,134,0,0,1:5:10,1,ou,2023-04-30 22:17:10.473,134,0,2023-05-01 00:30:18.076
SBC_IMS GTICT|IMS_NAT,1,ou,2023-04-30 21:51:16.028,160,0,0,2:1:20,5,ou,2023-04-30 21:51:16.028,160,0,2023-05-01 00:30:18.113
