label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARCPSMS GTARCEP|HSMSCO2,14473,dw,2023-05-16 10:22:02.743,2,-27,-46,0:0:10,16000,dw,2023-05-16 10:22:02.743,2,-27,2023-05-16 10:23:02.691
ARCSMS2 GTARC|HSMSC2,1,dw,2023-05-16 10:22:02.941,2,-2,-33,0:0:10,714,dw,2023-05-16 10:22:02.941,2,-2,2023-05-16 10:23:02.901
GTSBC2 GTARC|SBC,1,eq,2023-05-16 10:22:03.559,2,0,0,0:0:10,3,eq,2023-05-16 10:22:03.559,2,0,2023-05-16 10:23:03.129
MSCPROD GTARC|HMSC,32,eq,2023-05-16 10:23:03.375,1,0,0,00:00:00,307,eq,2023-05-16 10:23:03.397,1,0,2023-05-16 10:23:03.377
MSCPROD GTFSTAT|HMSC,119,eq,2023-05-16 10:23:03.597,1,0,0,00:00:00,1091,eq,2023-05-16 10:23:03.620,1,0,2023-05-16 10:23:03.600
MSCPROD GTICT|HMSCINT,31,eq,2023-05-16 10:23:03.815,1,0,0,00:00:00,170,eq,2023-05-16 10:23:03.838,1,0,2023-05-16 10:23:03.817
MSCPROD GTICT|HMSCNAT,31,eq,2023-05-16 10:23:04.036,1,0,0,00:00:00,145,eq,2023-05-16 10:23:04.061,1,0,2023-05-16 10:23:04.039
MSCPROD GTMACH|GTNEXGN,76,eq,2023-05-16 10:23:04.257,1,0,0,00:00:00,248,eq,2023-05-16 10:23:04.282,1,0,2023-05-16 10:23:04.260
MSCPROD GTSGBDO|MSCMAS,14,eq,2023-05-16 10:23:04.476,1,0,0,00:00:00,128,eq,2023-05-16 10:23:04.500,1,0,2023-05-16 10:23:04.478
SBC_IMS GTARC|SBCIMS,1,dw,2023-05-16 10:23:04.701,1,-1,-1,00:00:00,18,dw,2023-05-16 10:23:04.734,1,-1,2023-05-16 10:23:04.704
TOTAL,14779,dw,2023-05-16 10:22:05.877,2,-36,-184,0:0:10,34550,dw,2023-05-16 10:22:05.877,2,-36,2023-05-16 10:23:04.955
ARCSMS2 GTARCEP|HSMSC2,3,ou,2023-05-16 10:23:05.150,1,0,0,00:00:00,426,ou,2023-05-16 10:23:05.171,1,0,2023-05-16 10:23:05.152
ARCSMS2 GTARCEP|OSMSC2,3,ou,2023-05-16 10:23:05.200,1,0,0,00:00:00,433,ou,2023-05-16 10:23:05.224,1,0,2023-05-16 10:23:05.203
GTSMSC2 GTSGBDO|ESMSC2,24,ou,2023-05-16 10:22:06.096,2,0,0,0:0:10,1244,ou,2023-05-16 10:22:06.096,2,0,2023-05-16 10:23:05.263
GTSMSCT GTSGBDO|ESMSC,1,ou,2023-05-16 10:22:06.149,2,0,0,0:0:10,9,ou,2023-05-16 10:22:06.149,2,0,2023-05-16 10:23:05.314
MSCPROD GTARCEP|HMSC,20,ou,2023-05-16 10:22:06.201,2,0,0,0:0:10,108,ou,2023-05-16 10:22:06.201,2,0,2023-05-16 10:23:05.358
MSCPROD GTARIS|HMSC,13,ou,2023-05-16 10:22:06.248,2,0,0,0:0:10,76,ou,2023-05-16 10:22:06.248,2,0,2023-05-16 10:23:05.403
MSCPROD GTSGBDO|MSCREQ,12,ou,2023-05-16 10:22:06.295,2,0,0,0:0:10,184,ou,2023-05-16 10:22:06.295,2,0,2023-05-16 10:23:05.454
ARC_SMS GTARCEP|HSMSC,1,ou,2023-05-16 10:21:08.014,3,0,0,0:0:15,5,ou,2023-05-16 10:21:08.014,3,0,2023-05-16 10:23:05.498
ARC_SMS GTARCEP|OSMSC,1,ou,2023-05-16 10:21:08.096,3,0,0,0:0:15,5,ou,2023-05-16 10:21:08.096,3,0,2023-05-16 10:23:05.539
ARC_SMS GTARC|HSMSC,1,ou,2023-05-16 10:01:30.280,23,0,0,0:1:55,5,ou,2023-05-16 10:01:30.280,23,0,2023-05-16 10:23:05.580
