label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTEVC GTSGBDO|CBEVCMA,0,eq,2023-05-16 10:14:02.517,10,0,0,0:0:50,0,eq,2023-05-16 10:14:02.517,10,0,2023-05-16 10:23:02.018
GTEVCTR GTSGBDO|CEVCTMA,0,eq,2023-05-16 09:21:02.394,63,0,0,0:5:15,0,eq,2023-05-16 09:21:02.394,63,0,2023-05-16 10:23:02.230
TOTAL,0,eq,2023-05-16 08:27:03.290,117,0,0,1:3:45,0,eq,2023-05-16 08:27:03.290,117,0,2023-05-16 10:23:02.447
GTOCS5D GTSGBDO|CBP52DA,0,ou,2023-05-16 10:19:04.435,5,0,0,0:0:25,0,ou,2023-05-16 10:19:04.435,5,0,2023-05-16 10:23:05.031
GTOCSMO GTSGBDO|CBPMON,0,ou,2023-05-16 10:19:04.493,5,0,0,0:0:25,0,ou,2023-05-16 10:19:04.493,5,0,2023-05-16 10:23:05.085
GTOCSMO GTSGBDO|CBPMON5,0,ou,2023-05-16 10:19:04.550,5,0,0,0:0:25,0,ou,2023-05-16 10:19:04.550,5,0,2023-05-16 10:23:05.146
ARC_REC GTARC|OREC,0,ou,2023-05-16 10:17:34.377,7,0,0,0:0:35,0,ou,2023-05-16 10:17:34.377,7,0,2023-05-16 10:23:05.203
GTOCS5R GTSGBDO|CBPRE52,0,ou,2023-05-16 10:17:35.199,7,0,0,0:0:35,0,ou,2023-05-16 10:17:35.199,7,0,2023-05-16 10:23:05.262
GTOCS5V GTSGBDO|CBPVO52,0,ou,2023-05-16 10:06:10.434,18,0,0,0:1:30,0,ou,2023-05-16 10:06:10.434,18,0,2023-05-16 10:23:05.314
GTEVCTR GTARC|OCTRA,0,ou,2023-05-16 09:58:09.833,26,0,0,0:2:10,0,ou,2023-05-16 09:58:09.833,26,0,2023-05-16 10:23:05.366
GTOCS5M GTSGBDO|CBPMG52,0,ou,2023-05-16 09:49:12.926,35,0,0,0:2:55,0,ou,2023-05-16 09:49:12.926,35,0,2023-05-16 10:23:05.415
GTEVC GTARC|OCEVC,0,ou,2023-05-16 09:43:05.037,41,0,0,0:3:25,0,ou,2023-05-16 09:43:05.037,41,0,2023-05-16 10:23:05.464
GTEVC GTSGBDO|CBPEVC,0,ou,2023-05-16 09:43:05.095,41,0,0,0:3:25,0,ou,2023-05-16 09:43:05.095,41,0,2023-05-16 10:23:05.511
GTOCS5L GTSGBDO|CBPLOAN,0,ou,2023-05-16 09:31:07.087,53,0,0,0:4:25,0,ou,2023-05-16 09:31:07.087,53,0,2023-05-16 10:23:05.559
ARC_GFT GTARC|OGFT,0,ou,2023-05-16 09:27:05.230,57,0,0,0:4:45,0,ou,2023-05-16 09:27:05.230,57,0,2023-05-16 10:23:05.606
ARC_GFT GTSGBDO|OCSGFT,0,ou,2023-05-16 09:27:05.284,57,0,0,0:4:45,0,ou,2023-05-16 09:27:05.284,57,0,2023-05-16 10:23:05.652
ARC_LOA GTARC|OCSL,0,ou,2023-05-16 09:27:05.339,57,0,0,0:4:45,0,ou,2023-05-16 09:27:05.339,57,0,2023-05-16 10:23:05.706
ARC_LOA GTSGBDO|OCSLOAN,0,ou,2023-05-16 09:27:05.394,57,0,0,0:4:45,0,ou,2023-05-16 09:27:05.394,57,0,2023-05-16 10:23:05.752
ARC_REC GTSGBDO|OCSREC,0,ou,2023-05-16 09:27:05.502,57,0,0,0:4:45,0,ou,2023-05-16 09:27:05.502,57,0,2023-05-16 10:23:05.800
ARC_VOU GTARC|OVOU,0,ou,2023-05-16 09:27:05.555,57,0,0,0:4:45,0,ou,2023-05-16 09:27:05.555,57,0,2023-05-16 10:23:05.847
ARC_VOU GTSGBDO|OCSVOU,0,ou,2023-05-16 09:27:05.605,57,0,0,0:4:45,0,ou,2023-05-16 09:27:05.605,57,0,2023-05-16 10:23:05.889
GTOCS5S GTSGBDO|CBPSM52,0,ou,2023-05-16 09:27:05.816,57,0,0,0:4:45,0,ou,2023-05-16 09:27:05.816,57,0,2023-05-16 10:23:05.930
ARC_MGR GTARC|OMGR,0,ou,2023-05-16 09:19:05.096,65,0,0,0:5:25,0,ou,2023-05-16 09:19:05.096,65,0,2023-05-16 10:23:05.970
ARC_MGR GTSGBDO|OCSMGR,0,ou,2023-05-16 09:19:05.150,65,0,0,0:5:25,0,ou,2023-05-16 09:19:05.150,65,0,2023-05-16 10:23:06.010
ARC_MON GTARC|OMON,0,ou,2023-05-16 09:19:05.202,65,0,0,0:5:25,0,ou,2023-05-16 09:19:05.202,65,0,2023-05-16 10:23:06.050
ARC_MON GTSGBDO|OCSMON,0,ou,2023-05-16 09:19:05.257,65,0,0,0:5:25,0,ou,2023-05-16 09:19:05.257,65,0,2023-05-16 10:23:06.091
ARC_DAT GTARC|ODATA,0,ou,2023-05-16 08:26:10.563,118,0,0,1:3:50,0,ou,2023-05-16 08:26:10.563,118,0,2023-05-16 10:23:06.133
