label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
MSCPROD GTARC|HMSC,0,eq,2023-04-26 14:35:57.943,1,0,0,00:00:00,0,eq,2023-04-26 14:35:57.975,1,0,2023-04-26 14:35:57.946
MSCPROD GTFSTAT|HMSC,0,eq,2023-04-25 09:53:32.145,8,0,0,0:0:40,0,eq,2023-04-25 09:53:32.145,8,0,2023-04-26 14:35:58.195
MSCPROD GTICT|HMSCINT,0,eq,2023-04-26 13:12:13.622,3,0,0,0:0:15,0,eq,2023-04-26 13:12:13.622,3,0,2023-04-26 14:35:58.422
MSCPROD GTICT|HMSCNAT,0,eq,2023-04-26 13:12:13.817,3,0,0,0:0:15,0,eq,2023-04-26 13:12:13.817,3,0,2023-04-26 14:35:58.642
MSCPROD GTMACH|GTNEXGN,0,eq,2023-04-25 09:53:32.705,8,0,0,0:0:40,0,eq,2023-04-25 09:53:32.705,8,0,2023-04-26 14:35:58.857
TOTAL,0,eq,2023-04-25 09:53:33.085,8,0,0,0:0:40,0,eq,2023-04-25 09:53:33.085,8,0,2023-04-26 14:35:59.075
GTSBC2 GTARC|SBC,0,ou,2023-04-26 14:35:59.666,1,0,0,00:00:00,0,ou,2023-04-26 14:35:59.687,1,0,2023-04-26 14:35:59.669
GTSMSC2 GTSGBDO|ESMSC2,0,ou,2023-04-26 14:35:59.714,1,0,0,00:00:00,0,ou,2023-04-26 14:35:59.735,1,0,2023-04-26 14:35:59.717
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-04-26 14:35:59.763,1,0,0,00:00:00,0,ou,2023-04-26 14:35:59.784,1,0,2023-04-26 14:35:59.766
MSCPROD GTSGBDO|MSCMAS,0,ou,2023-04-26 14:35:59.810,1,0,0,00:00:00,0,ou,2023-04-26 14:35:59.832,1,0,2023-04-26 14:35:59.813
SBC_IMS GTARC|SBCIMS,0,ou,2023-04-26 13:12:14.832,3,0,0,0:0:15,0,ou,2023-04-26 13:12:14.832,3,0,2023-04-26 14:35:59.860
ARCPSMS GTARCEP|HSMSCO2,0,ou,2023-04-26 10:57:33.837,4,0,0,0:0:20,0,ou,2023-04-26 10:57:33.837,4,0,2023-04-26 14:35:59.904
ARCSMS2 GTARC|HSMSC2,0,ou,2023-04-26 10:57:33.877,4,0,0,0:0:20,0,ou,2023-04-26 10:57:33.877,4,0,2023-04-26 14:35:59.950
ARCSMS2 GTARCEP|HSMSC2,0,ou,2023-04-26 10:57:33.918,4,0,0,0:0:20,0,ou,2023-04-26 10:57:33.918,4,0,2023-04-26 14:35:59.994
ARCSMS2 GTARCEP|OSMSC2,0,ou,2023-04-26 10:57:33.957,4,0,0,0:0:20,0,ou,2023-04-26 10:57:33.957,4,0,2023-04-26 14:36:00.037
MSCPROD GTARCEP|HMSC,0,ou,2023-04-26 10:57:33.996,4,0,0,0:0:20,0,ou,2023-04-26 10:57:33.996,4,0,2023-04-26 14:36:00.079
