label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
MSCPROD GTFSTAT|HMSC,0,eq,2023-04-25 09:53:32.145,30,0,0,0:2:30,0,eq,2023-04-25 09:53:32.145,30,0,2023-04-27 16:58:03.308
MSCPROD GTICT|HMSCINT,0,eq,2023-04-27 16:57:02.748,2,0,0,0:0:10,0,eq,2023-04-27 16:57:02.748,2,0,2023-04-27 16:58:03.542
MSCPROD GTICT|HMSCNAT,0,eq,2023-04-27 16:57:02.991,2,0,0,0:0:10,0,eq,2023-04-27 16:57:02.991,2,0,2023-04-27 16:58:03.780
MSCPROD GTMACH|GTNEXGN,0,eq,2023-04-25 09:53:32.705,30,0,0,0:2:30,0,eq,2023-04-25 09:53:32.705,30,0,2023-04-27 16:58:04.010
TOTAL,0,eq,2023-04-25 09:53:33.085,30,0,0,0:2:30,0,eq,2023-04-25 09:53:33.085,30,0,2023-04-27 16:58:04.267
ARCPSMS GTARCEP|HSMSCO2,0,ou,2023-04-27 16:56:04.911,3,0,0,0:0:15,0,ou,2023-04-27 16:56:04.911,3,0,2023-04-27 16:58:05.112
ARCSMS2 GTARC|HSMSC2,0,ou,2023-04-27 16:56:04.962,3,0,0,0:0:15,0,ou,2023-04-27 16:56:04.962,3,0,2023-04-27 16:58:05.167
ARCSMS2 GTARCEP|HSMSC2,0,ou,2023-04-27 16:56:05.011,3,0,0,0:0:15,0,ou,2023-04-27 16:56:05.011,3,0,2023-04-27 16:58:05.224
ARCSMS2 GTARCEP|OSMSC2,0,ou,2023-04-27 16:56:05.058,3,0,0,0:0:15,0,ou,2023-04-27 16:56:05.058,3,0,2023-04-27 16:58:05.279
GTSMSC2 GTSGBDO|ESMSC2,0,ou,2023-04-27 16:56:05.104,3,0,0,0:0:15,0,ou,2023-04-27 16:56:05.104,3,0,2023-04-27 16:58:05.341
MSCPROD GTARC|HMSC,0,ou,2023-04-27 16:56:05.151,3,0,0,0:0:15,0,ou,2023-04-27 16:56:05.151,3,0,2023-04-27 16:58:05.404
MSCPROD GTARCEP|HMSC,0,ou,2023-04-27 16:56:05.197,3,0,0,0:0:15,0,ou,2023-04-27 16:56:05.197,3,0,2023-04-27 16:58:05.458
SBC_IMS GTARC|SBCIMS,0,ou,2023-04-27 16:56:05.241,3,0,0,0:0:15,0,ou,2023-04-27 16:56:05.241,3,0,2023-04-27 16:58:05.514
ARC_SMS GTARC|HSMSC,0,ou,2023-04-27 16:51:05.454,8,0,0,0:0:40,0,ou,2023-04-27 16:51:05.454,8,0,2023-04-27 16:58:05.566
ARC_SMS GTARCEP|HSMSC,0,ou,2023-04-27 16:51:05.505,8,0,0,0:0:40,0,ou,2023-04-27 16:51:05.505,8,0,2023-04-27 16:58:05.620
ARC_SMS GTARCEP|OSMSC,0,ou,2023-04-27 16:51:05.558,8,0,0,0:0:40,0,ou,2023-04-27 16:51:05.558,8,0,2023-04-27 16:58:05.671
GTSBC2 GTARC|SBC,0,ou,2023-04-27 14:36:35.612,21,0,0,0:1:45,0,ou,2023-04-27 14:36:35.612,21,0,2023-04-27 16:58:05.717
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-04-26 14:35:59.763,23,0,0,0:1:55,0,ou,2023-04-26 14:35:59.763,23,0,2023-04-27 16:58:05.760
MSCPROD GTSGBDO|MSCMAS,0,ou,2023-04-26 14:35:59.810,23,0,0,0:1:55,0,ou,2023-04-26 14:35:59.810,23,0,2023-04-27 16:58:05.805
