label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARCPSMS GTARCEP|HSMSCO2,0,eq,2023-04-30 18:25:05.989,365,0,0,5:0:25,0,eq,2023-04-30 18:25:05.989,365,0,2023-05-01 00:30:09.655
ARCSMS2 GTARC|HSMSC2,0,eq,2023-04-30 18:25:06.902,365,0,0,5:0:25,0,eq,2023-04-30 18:25:06.902,365,0,2023-05-01 00:30:10.450
ARCSMS2 GTARCEP|HSMSC2,0,eq,2023-04-30 23:16:08.419,75,0,0,1:0:15,0,eq,2023-04-30 23:16:08.419,75,0,2023-05-01 00:30:11.254
ARCSMS2 GTARCEP|OSMSC2,0,eq,2023-04-30 23:19:08.963,72,0,0,1:0:0,0,eq,2023-04-30 23:19:08.963,72,0,2023-05-01 00:30:12.150
GTSMSC2 GTSGBDO|ESMSC2,0,eq,2023-05-01 00:06:24.961,25,0,0,0:2:5,0,eq,2023-05-01 00:06:24.961,25,0,2023-05-01 00:30:13.027
MSCPROD GTARC|HMSC,0,in,2023-05-01 00:30:13.466,1,0,0,00:00:00,0,in,2023-05-01 00:30:13.491,1,0,2023-05-01 00:30:13.468
MSCPROD GTARCEP|HMSC,0,in,2023-05-01 00:30:14.368,1,0,0,00:00:00,0,in,2023-05-01 00:30:14.393,1,0,2023-05-01 00:30:14.370
MSCPROD GTFSTAT|HMSC,0,eq,2023-04-30 20:02:22.136,269,0,0,3:4:25,0,eq,2023-04-30 20:02:22.136,269,0,2023-05-01 00:30:14.982
MSCPROD GTMACH|GTNEXGN,0,eq,2023-04-30 18:25:14.214,365,0,0,5:0:25,0,eq,2023-04-30 18:25:14.214,365,0,2023-05-01 00:30:15.742
TOTAL,0,eq,2023-04-30 18:25:14.884,365,0,0,5:0:25,0,eq,2023-04-30 18:25:14.884,365,0,2023-05-01 00:30:16.385
MSCPROD GTICT|HMSCINT,0,ou,2023-05-01 00:30:18.217,1,0,0,00:00:00,0,ou,2023-05-01 00:30:18.237,1,0,2023-05-01 00:30:18.219
MSCPROD GTICT|HMSCNAT,0,ou,2023-05-01 00:30:18.307,1,0,0,00:00:00,0,ou,2023-05-01 00:30:18.329,1,0,2023-05-01 00:30:18.310
MSCPROD GTSGBDO|MSCMAS,0,ou,2023-05-01 00:25:21.033,6,0,0,0:0:30,0,ou,2023-05-01 00:25:21.033,6,0,2023-05-01 00:30:18.475
ARC_SMS GTARC|HSMSC,0,ou,2023-05-01 00:21:19.539,10,0,0,0:0:50,0,ou,2023-05-01 00:21:19.539,10,0,2023-05-01 00:30:18.606
ARC_SMS GTARCEP|HSMSC,0,ou,2023-05-01 00:21:19.783,10,0,0,0:0:50,0,ou,2023-05-01 00:21:19.783,10,0,2023-05-01 00:30:18.737
GTSBC2 GTARC|SBC,0,ou,2023-05-01 00:21:19.874,10,0,0,0:0:50,0,ou,2023-05-01 00:21:19.874,10,0,2023-05-01 00:30:18.878
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-05-01 00:09:21.913,22,0,0,0:1:50,0,ou,2023-05-01 00:09:21.913,22,0,2023-05-01 00:30:18.986
SBC_IMS GTARC|SBCIMS,0,ou,2023-05-01 00:08:25.885,23,0,0,0:1:55,0,ou,2023-05-01 00:08:25.885,23,0,2023-05-01 00:30:19.102
MSCPROD GTARIS|HMSC,0,ou,2023-04-30 23:57:12.444,34,0,0,0:2:50,0,ou,2023-04-30 23:57:12.444,34,0,2023-05-01 00:30:19.144
MSCPROD GTSGBDO|MSCREQ,0,ou,2023-04-30 23:16:11.723,75,0,0,1:0:15,0,ou,2023-04-30 23:16:11.723,75,0,2023-05-01 00:30:19.350
SBC_IMS GTICT|IMS_INT,0,ou,2023-04-30 22:51:27.744,100,0,0,1:2:20,0,ou,2023-04-30 22:51:27.744,100,0,2023-05-01 00:30:19.439
ARC_SMS GTARCEP|OSMSC,0,ou,2023-04-30 22:41:11.186,110,0,0,1:3:10,0,ou,2023-04-30 22:41:11.186,110,0,2023-05-01 00:30:19.516
GTSBC2 GTICT|SBCINT,0,ou,2023-04-30 22:17:11.130,134,0,0,1:5:10,0,ou,2023-04-30 22:17:11.130,134,0,2023-05-01 00:30:19.564
SBC_IMS GTICT|IMS_NAT,0,ou,2023-04-30 21:51:17.506,160,0,0,2:1:20,0,ou,2023-04-30 21:51:17.506,160,0,2023-05-01 00:30:19.656
