label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
MSCPROD GTARC|HMSC,2,dw,2023-04-27 14:36:33.966,1,-8,-8,00:00:00,75,dw,2023-04-27 14:36:33.988,1,-8,2023-04-27 14:36:33.969
MSCPROD GTFSTAT|HMSC,531,dw,2023-04-27 14:36:34.175,1,-114,-114,00:00:00,995,dw,2023-04-27 14:36:34.198,1,-114,2023-04-27 14:36:34.178
MSCPROD GTICT|HMSCINT,17,up,2023-04-27 14:36:34.381,1,1,1,00:00:00,37,up,2023-04-27 14:36:34.406,1,1,2023-04-27 14:36:34.385
MSCPROD GTICT|HMSCNAT,17,up,2023-04-27 14:36:34.587,1,1,1,00:00:00,37,up,2023-04-27 14:36:34.609,1,1,2023-04-27 14:36:34.590
MSCPROD GTMACH|GTNEXGN,17,up,2023-04-27 14:36:34.784,1,1,1,00:00:00,20,up,2023-04-27 14:36:34.806,1,1,2023-04-27 14:36:34.787
TOTAL,584,dw,2023-04-27 14:36:34.985,1,-120,-120,00:00:00,1468,dw,2023-04-27 14:36:35.008,1,-120,2023-04-27 14:36:34.988
GTSBC2 GTARC|SBC,1,ou,2023-04-27 14:36:35.167,1,0,0,00:00:00,2,ou,2023-04-27 14:36:35.188,1,0,2023-04-27 14:36:35.170
GTSMSC2 GTSGBDO|ESMSC2,129,ou,2023-04-26 14:35:59.257,3,0,0,0:0:15,416,ou,2023-04-26 14:35:59.257,3,0,2023-04-27 14:36:35.216
GTSMSCT GTSGBDO|ESMSC,6,ou,2023-04-26 14:35:59.306,3,0,0,0:0:15,6,ou,2023-04-26 14:35:59.306,3,0,2023-04-27 14:36:35.261
MSCPROD GTSGBDO|MSCMAS,30,ou,2023-04-26 14:35:59.354,3,0,0,0:0:15,255,ou,2023-04-26 14:35:59.354,3,0,2023-04-27 14:36:35.305
SBC_IMS GTARC|SBCIMS,2,ou,2023-04-26 13:12:14.472,5,0,0,0:0:25,7,ou,2023-04-26 13:12:14.472,5,0,2023-04-27 14:36:35.349
ARCPSMS GTARCEP|HSMSCO2,28,ou,2023-04-26 10:57:33.605,6,0,0,0:0:30,28,ou,2023-04-26 10:57:33.605,6,0,2023-04-27 14:36:35.394
ARCSMS2 GTARC|HSMSC2,50,ou,2023-04-26 10:57:33.645,6,0,0,0:0:30,50,ou,2023-04-26 10:57:33.645,6,0,2023-04-27 14:36:35.439
ARCSMS2 GTARCEP|HSMSC2,22,ou,2023-04-26 10:57:33.714,6,0,0,0:0:30,22,ou,2023-04-26 10:57:33.714,6,0,2023-04-27 14:36:35.484
ARCSMS2 GTARCEP|OSMSC2,22,ou,2023-04-26 10:57:33.753,6,0,0,0:0:30,22,ou,2023-04-26 10:57:33.753,6,0,2023-04-27 14:36:35.526
MSCPROD GTARCEP|HMSC,13,ou,2023-04-26 10:57:33.792,6,0,0,0:0:30,13,ou,2023-04-26 10:57:33.792,6,0,2023-04-27 14:36:35.565
