label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTEVC GTSGBDO|CBEVCMA,0,eq,2023-05-16 10:14:02.229,10,0,0,0:0:50,0,eq,2023-05-16 10:14:02.229,10,0,2023-05-16 10:23:01.943
GTEVCTR GTSGBDO|CEVCTMA,0,eq,2023-05-16 09:21:02.317,63,0,0,0:5:15,0,eq,2023-05-16 09:21:02.317,63,0,2023-05-16 10:23:02.160
TOTAL,0,eq,2023-05-16 08:27:03.131,117,0,0,1:3:45,0,eq,2023-05-16 08:27:03.131,117,0,2023-05-16 10:23:02.377
GTOCS5D GTSGBDO|CBP52DA,0,ou,2023-05-16 10:19:03.277,5,0,0,0:0:25,0,ou,2023-05-16 10:19:03.277,5,0,2023-05-16 10:23:03.741
GTOCSMO GTSGBDO|CBPMON,0,ou,2023-05-16 10:19:03.333,5,0,0,0:0:25,0,ou,2023-05-16 10:19:03.333,5,0,2023-05-16 10:23:03.802
GTOCSMO GTSGBDO|CBPMON5,0,ou,2023-05-16 10:19:03.390,5,0,0,0:0:25,0,ou,2023-05-16 10:19:03.390,5,0,2023-05-16 10:23:03.871
ARC_REC GTARC|OREC,0,ou,2023-05-16 10:17:21.615,7,0,0,0:0:35,0,ou,2023-05-16 10:17:21.615,7,0,2023-05-16 10:23:03.943
GTOCS5R GTSGBDO|CBPRE52,0,ou,2023-05-16 10:17:21.950,7,0,0,0:0:35,0,ou,2023-05-16 10:17:21.950,7,0,2023-05-16 10:23:03.997
GTOCS5V GTSGBDO|CBPVO52,0,ou,2023-05-16 10:06:09.192,18,0,0,0:1:30,0,ou,2023-05-16 10:06:09.192,18,0,2023-05-16 10:23:04.050
GTEVCTR GTARC|OCTRA,0,ou,2023-05-16 09:58:04.373,26,0,0,0:2:10,0,ou,2023-05-16 09:58:04.373,26,0,2023-05-16 10:23:04.099
GTOCS5M GTSGBDO|CBPMG52,0,ou,2023-05-16 09:49:09.389,35,0,0,0:2:55,0,ou,2023-05-16 09:49:09.389,35,0,2023-05-16 10:23:04.152
GTEVC GTARC|OCEVC,0,ou,2023-05-16 09:43:03.867,41,0,0,0:3:25,0,ou,2023-05-16 09:43:03.867,41,0,2023-05-16 10:23:04.205
GTEVC GTSGBDO|CBPEVC,0,ou,2023-05-16 09:43:03.923,41,0,0,0:3:25,0,ou,2023-05-16 09:43:03.923,41,0,2023-05-16 10:23:04.278
GTOCS5L GTSGBDO|CBPLOAN,0,ou,2023-05-16 09:31:03.492,53,0,0,0:4:25,0,ou,2023-05-16 09:31:03.492,53,0,2023-05-16 10:23:04.338
ARC_GFT GTARC|OGFT,0,ou,2023-05-16 09:27:03.969,57,0,0,0:4:45,0,ou,2023-05-16 09:27:03.969,57,0,2023-05-16 10:23:04.399
ARC_GFT GTSGBDO|OCSGFT,0,ou,2023-05-16 09:27:04.024,57,0,0,0:4:45,0,ou,2023-05-16 09:27:04.024,57,0,2023-05-16 10:23:04.463
ARC_LOA GTARC|OCSL,0,ou,2023-05-16 09:27:04.080,57,0,0,0:4:45,0,ou,2023-05-16 09:27:04.080,57,0,2023-05-16 10:23:04.530
ARC_LOA GTSGBDO|OCSLOAN,0,ou,2023-05-16 09:27:04.134,57,0,0,0:4:45,0,ou,2023-05-16 09:27:04.134,57,0,2023-05-16 10:23:04.586
ARC_REC GTSGBDO|OCSREC,0,ou,2023-05-16 09:27:04.245,57,0,0,0:4:45,0,ou,2023-05-16 09:27:04.245,57,0,2023-05-16 10:23:04.633
ARC_VOU GTARC|OVOU,0,ou,2023-05-16 09:27:04.309,57,0,0,0:4:45,0,ou,2023-05-16 09:27:04.309,57,0,2023-05-16 10:23:04.679
ARC_VOU GTSGBDO|OCSVOU,0,ou,2023-05-16 09:27:04.361,57,0,0,0:4:45,0,ou,2023-05-16 09:27:04.361,57,0,2023-05-16 10:23:04.722
GTOCS5S GTSGBDO|CBPSM52,0,ou,2023-05-16 09:27:04.563,57,0,0,0:4:45,0,ou,2023-05-16 09:27:04.563,57,0,2023-05-16 10:23:04.764
ARC_MGR GTARC|OMGR,0,ou,2023-05-16 09:19:03.976,65,0,0,0:5:25,0,ou,2023-05-16 09:19:03.976,65,0,2023-05-16 10:23:04.806
ARC_MGR GTSGBDO|OCSMGR,0,ou,2023-05-16 09:19:04.029,65,0,0,0:5:25,0,ou,2023-05-16 09:19:04.029,65,0,2023-05-16 10:23:04.849
ARC_MON GTARC|OMON,0,ou,2023-05-16 09:19:04.083,65,0,0,0:5:25,0,ou,2023-05-16 09:19:04.083,65,0,2023-05-16 10:23:04.897
ARC_MON GTSGBDO|OCSMON,0,ou,2023-05-16 09:19:04.134,65,0,0,0:5:25,0,ou,2023-05-16 09:19:04.134,65,0,2023-05-16 10:23:04.937
ARC_DAT GTARC|ODATA,0,ou,2023-05-16 08:26:09.918,118,0,0,1:3:50,0,ou,2023-05-16 08:26:09.918,118,0,2023-05-16 10:23:04.977
