label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTSBC2 GTARC|SBC,1,in,2023-04-26 14:11:24.492,1,0,0,00:00:00,1,in,2023-04-26 14:11:24.523,1,0,2023-04-26 14:11:24.494
GTSMSC2 GTSGBDO|ESMSC2,129,in,2023-04-26 14:11:24.681,1,0,0,00:00:00,416,in,2023-04-26 14:11:24.705,1,0,2023-04-26 14:11:24.684
GTSMSCT GTSGBDO|ESMSC,6,in,2023-04-26 14:11:24.892,1,0,0,00:00:00,6,in,2023-04-26 14:11:24.924,1,0,2023-04-26 14:11:24.895
MSCPROD GTARC|HMSC,15,in,2023-04-26 14:11:25.084,1,0,0,00:00:00,67,in,2023-04-26 14:11:25.110,1,0,2023-04-26 14:11:25.086
MSCPROD GTFSTAT|HMSC,450,up,2023-04-26 10:57:32.165,3,194,275,0:0:15,800,up,2023-04-26 10:57:32.165,3,194,2023-04-26 14:11:25.301
MSCPROD GTICT|HMSCINT,15,dw,2023-04-26 14:11:25.472,1,-2,-2,00:00:00,35,dw,2023-04-26 14:11:25.491,1,-2,2023-04-26 14:11:25.475
MSCPROD GTICT|HMSCNAT,15,dw,2023-04-26 14:11:25.652,1,-2,-2,00:00:00,35,dw,2023-04-26 14:11:25.672,1,-2,2023-04-26 14:11:25.654
MSCPROD GTMACH|GTNEXGN,15,dw,2023-04-26 14:11:25.826,1,-2,-2,00:00:00,18,dw,2023-04-26 14:11:25.845,1,-2,2023-04-26 14:11:25.828
MSCPROD GTSGBDO|MSCMAS,30,in,2023-04-26 14:11:25.994,1,0,0,00:00:00,255,in,2023-04-26 14:11:26.014,1,0,2023-04-26 14:11:25.996
TOTAL,676,up,2023-04-26 14:11:26.170,1,369,369,00:00:00,1346,up,2023-04-26 14:11:26.190,1,369,2023-04-26 14:11:26.173
SBC_IMS GTARC|SBCIMS,2,ou,2023-04-26 13:12:14.472,2,0,0,0:0:10,7,ou,2023-04-26 13:12:14.472,2,0,2023-04-26 14:11:26.329
ARCPSMS GTARCEP|HSMSCO2,28,ou,2023-04-26 10:57:33.605,3,0,0,0:0:15,28,ou,2023-04-26 10:57:33.605,3,0,2023-04-26 14:11:26.368
ARCSMS2 GTARC|HSMSC2,50,ou,2023-04-26 10:57:33.645,3,0,0,0:0:15,50,ou,2023-04-26 10:57:33.645,3,0,2023-04-26 14:11:26.406
ARCSMS2 GTARCEP|HSMSC2,22,ou,2023-04-26 10:57:33.714,3,0,0,0:0:15,22,ou,2023-04-26 10:57:33.714,3,0,2023-04-26 14:11:26.445
ARCSMS2 GTARCEP|OSMSC2,22,ou,2023-04-26 10:57:33.753,3,0,0,0:0:15,22,ou,2023-04-26 10:57:33.753,3,0,2023-04-26 14:11:26.482
MSCPROD GTARCEP|HMSC,13,ou,2023-04-26 10:57:33.792,3,0,0,0:0:15,13,ou,2023-04-26 10:57:33.792,3,0,2023-04-26 14:11:26.519
