label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
MSCPROD GTFSTAT|HMSC,0,eq,2023-04-25 09:53:32.207,16,0,0,0:1:20,0,eq,2023-04-25 09:53:32.207,16,0,2023-04-27 16:44:02.701
MSCPROD GTICT|HMSCINT,0,eq,2023-04-27 16:42:02.500,3,0,0,0:0:15,0,eq,2023-04-27 16:42:02.500,3,0,2023-04-27 16:44:02.883
MSCPROD GTICT|HMSCNAT,0,eq,2023-04-26 13:12:13.889,11,0,0,0:0:55,0,eq,2023-04-26 13:12:13.889,11,0,2023-04-27 16:44:03.069
MSCPROD GTMACH|GTNEXGN,0,eq,2023-04-25 09:53:32.768,16,0,0,0:1:20,0,eq,2023-04-25 09:53:32.768,16,0,2023-04-27 16:44:03.256
TOTAL,0,eq,2023-04-25 09:53:33.143,16,0,0,0:1:20,0,eq,2023-04-25 09:53:33.143,16,0,2023-04-27 16:44:03.434
MSCPROD GTARC|HMSC,0,ou,2023-04-27 16:42:04.284,3,0,0,0:0:15,0,ou,2023-04-27 16:42:04.284,3,0,2023-04-27 16:44:04.460
ARCPSMS GTARCEP|HSMSCO2,0,ou,2023-04-27 16:41:05.487,4,0,0,0:0:20,0,ou,2023-04-27 16:41:05.487,4,0,2023-04-27 16:44:04.503
ARCSMS2 GTARC|HSMSC2,0,ou,2023-04-27 16:41:05.533,4,0,0,0:0:20,0,ou,2023-04-27 16:41:05.533,4,0,2023-04-27 16:44:04.544
ARCSMS2 GTARCEP|HSMSC2,0,ou,2023-04-27 16:41:05.578,4,0,0,0:0:20,0,ou,2023-04-27 16:41:05.578,4,0,2023-04-27 16:44:04.587
ARCSMS2 GTARCEP|OSMSC2,0,ou,2023-04-27 16:41:05.623,4,0,0,0:0:20,0,ou,2023-04-27 16:41:05.623,4,0,2023-04-27 16:44:04.627
ARC_SMS GTARC|HSMSC,0,ou,2023-04-27 16:41:05.669,4,0,0,0:0:20,0,ou,2023-04-27 16:41:05.669,4,0,2023-04-27 16:44:04.668
GTSMSC2 GTSGBDO|ESMSC2,0,ou,2023-04-27 16:41:05.712,4,0,0,0:0:20,0,ou,2023-04-27 16:41:05.712,4,0,2023-04-27 16:44:04.708
MSCPROD GTARCEP|HMSC,0,ou,2023-04-27 16:41:05.761,4,0,0,0:0:20,0,ou,2023-04-27 16:41:05.761,4,0,2023-04-27 16:44:04.747
SBC_IMS GTARC|SBCIMS,0,ou,2023-04-27 16:41:05.808,4,0,0,0:0:20,0,ou,2023-04-27 16:41:05.808,4,0,2023-04-27 16:44:04.787
GTSBC2 GTARC|SBC,0,ou,2023-04-27 14:36:36.058,7,0,0,0:0:35,0,ou,2023-04-27 14:36:36.058,7,0,2023-04-27 16:44:04.824
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-04-26 14:36:00.234,9,0,0,0:0:45,0,ou,2023-04-26 14:36:00.234,9,0,2023-04-27 16:44:04.861
MSCPROD GTSGBDO|MSCMAS,0,ou,2023-04-26 14:36:00.289,9,0,0,0:0:45,0,ou,2023-04-26 14:36:00.289,9,0,2023-04-27 16:44:04.897
