label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
MSCPROD GTFSTAT|HMSC,0,eq,2023-04-25 09:53:32.207,29,0,0,0:2:25,0,eq,2023-04-25 09:53:32.207,29,0,2023-04-27 16:57:02.594
MSCPROD GTICT|HMSCINT,0,eq,2023-04-27 16:57:02.827,1,0,0,00:00:00,0,eq,2023-04-27 16:57:02.851,1,0,2023-04-27 16:57:02.830
MSCPROD GTICT|HMSCNAT,0,eq,2023-04-27 16:57:03.063,1,0,0,00:00:00,0,eq,2023-04-27 16:57:03.089,1,0,2023-04-27 16:57:03.066
MSCPROD GTMACH|GTNEXGN,0,eq,2023-04-25 09:53:32.768,29,0,0,0:2:25,0,eq,2023-04-25 09:53:32.768,29,0,2023-04-27 16:57:03.281
TOTAL,0,eq,2023-04-25 09:53:33.143,29,0,0,0:2:25,0,eq,2023-04-25 09:53:33.143,29,0,2023-04-27 16:57:03.507
ARCPSMS GTARCEP|HSMSCO2,0,ou,2023-04-27 16:56:05.532,2,0,0,0:0:10,0,ou,2023-04-27 16:56:05.532,2,0,2023-04-27 16:57:05.069
ARCSMS2 GTARC|HSMSC2,0,ou,2023-04-27 16:56:05.582,2,0,0,0:0:10,0,ou,2023-04-27 16:56:05.582,2,0,2023-04-27 16:57:05.125
ARCSMS2 GTARCEP|HSMSC2,0,ou,2023-04-27 16:56:05.633,2,0,0,0:0:10,0,ou,2023-04-27 16:56:05.633,2,0,2023-04-27 16:57:05.181
ARCSMS2 GTARCEP|OSMSC2,0,ou,2023-04-27 16:56:05.680,2,0,0,0:0:10,0,ou,2023-04-27 16:56:05.680,2,0,2023-04-27 16:57:05.237
GTSMSC2 GTSGBDO|ESMSC2,0,ou,2023-04-27 16:56:05.726,2,0,0,0:0:10,0,ou,2023-04-27 16:56:05.726,2,0,2023-04-27 16:57:05.290
MSCPROD GTARC|HMSC,0,ou,2023-04-27 16:56:05.772,2,0,0,0:0:10,0,ou,2023-04-27 16:56:05.772,2,0,2023-04-27 16:57:05.342
MSCPROD GTARCEP|HMSC,0,ou,2023-04-27 16:56:05.818,2,0,0,0:0:10,0,ou,2023-04-27 16:56:05.818,2,0,2023-04-27 16:57:05.396
SBC_IMS GTARC|SBCIMS,0,ou,2023-04-27 16:56:05.864,2,0,0,0:0:10,0,ou,2023-04-27 16:56:05.864,2,0,2023-04-27 16:57:05.445
ARC_SMS GTARC|HSMSC,0,ou,2023-04-27 16:51:06.008,7,0,0,0:0:35,0,ou,2023-04-27 16:51:06.008,7,0,2023-04-27 16:57:05.497
ARC_SMS GTARCEP|HSMSC,0,ou,2023-04-27 16:51:06.061,7,0,0,0:0:35,0,ou,2023-04-27 16:51:06.061,7,0,2023-04-27 16:57:05.544
ARC_SMS GTARCEP|OSMSC,0,ou,2023-04-27 16:51:06.111,7,0,0,0:0:35,0,ou,2023-04-27 16:51:06.111,7,0,2023-04-27 16:57:05.593
GTSBC2 GTARC|SBC,0,ou,2023-04-27 14:36:36.058,20,0,0,0:1:40,0,ou,2023-04-27 14:36:36.058,20,0,2023-04-27 16:57:05.639
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-04-26 14:36:00.234,22,0,0,0:1:50,0,ou,2023-04-26 14:36:00.234,22,0,2023-04-27 16:57:05.684
MSCPROD GTSGBDO|MSCMAS,0,ou,2023-04-26 14:36:00.289,22,0,0,0:1:50,0,ou,2023-04-26 14:36:00.289,22,0,2023-04-27 16:57:05.731
