label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTSBC2 GTARC|SBC,0,in,2023-04-26 15:13:11.339,1,0,0,00:00:00,0,in,2023-04-26 15:13:11.363,1,0,2023-04-26 15:13:11.341
MSCPROD GTARC|HMSC,0,eq,2023-04-26 14:35:57.943,2,0,0,0:0:10,0,eq,2023-04-26 14:35:57.943,2,0,2023-04-26 15:13:11.539
MSCPROD GTFSTAT|HMSC,0,eq,2023-04-25 09:53:32.145,9,0,0,0:0:45,0,eq,2023-04-25 09:53:32.145,9,0,2023-04-26 15:13:11.719
MSCPROD GTICT|HMSCINT,0,eq,2023-04-26 13:12:13.622,4,0,0,0:0:20,0,eq,2023-04-26 13:12:13.622,4,0,2023-04-26 15:13:11.899
MSCPROD GTICT|HMSCNAT,0,eq,2023-04-26 13:12:13.817,4,0,0,0:0:20,0,eq,2023-04-26 13:12:13.817,4,0,2023-04-26 15:13:12.074
MSCPROD GTMACH|GTNEXGN,0,eq,2023-04-25 09:53:32.705,9,0,0,0:0:45,0,eq,2023-04-25 09:53:32.705,9,0,2023-04-26 15:13:12.249
TOTAL,0,eq,2023-04-25 09:53:33.085,9,0,0,0:0:45,0,eq,2023-04-25 09:53:33.085,9,0,2023-04-26 15:13:12.427
GTSMSC2 GTSGBDO|ESMSC2,0,ou,2023-04-26 14:35:59.714,2,0,0,0:0:10,0,ou,2023-04-26 14:35:59.714,2,0,2023-04-26 15:13:12.896
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-04-26 14:35:59.763,2,0,0,0:0:10,0,ou,2023-04-26 14:35:59.763,2,0,2023-04-26 15:13:12.937
MSCPROD GTSGBDO|MSCMAS,0,ou,2023-04-26 14:35:59.810,2,0,0,0:0:10,0,ou,2023-04-26 14:35:59.810,2,0,2023-04-26 15:13:12.977
SBC_IMS GTARC|SBCIMS,0,ou,2023-04-26 13:12:14.832,4,0,0,0:0:20,0,ou,2023-04-26 13:12:14.832,4,0,2023-04-26 15:13:13.017
ARCPSMS GTARCEP|HSMSCO2,0,ou,2023-04-26 10:57:33.837,5,0,0,0:0:25,0,ou,2023-04-26 10:57:33.837,5,0,2023-04-26 15:13:13.057
ARCSMS2 GTARC|HSMSC2,0,ou,2023-04-26 10:57:33.877,5,0,0,0:0:25,0,ou,2023-04-26 10:57:33.877,5,0,2023-04-26 15:13:13.095
ARCSMS2 GTARCEP|HSMSC2,0,ou,2023-04-26 10:57:33.918,5,0,0,0:0:25,0,ou,2023-04-26 10:57:33.918,5,0,2023-04-26 15:13:13.133
ARCSMS2 GTARCEP|OSMSC2,0,ou,2023-04-26 10:57:33.957,5,0,0,0:0:25,0,ou,2023-04-26 10:57:33.957,5,0,2023-04-26 15:13:13.171
MSCPROD GTARCEP|HMSC,0,ou,2023-04-26 10:57:33.996,5,0,0,0:0:25,0,ou,2023-04-26 10:57:33.996,5,0,2023-04-26 15:13:13.207
