label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTSBC2 GTICT|SBCINT,0,eq,2023-09-05 12:12:10.873,16,0,0,0:1:20,0,eq,2023-09-05 12:12:10.873,16,0,2023-09-05 12:27:10.457
GTSBC2 GTICT|SBCNAT,0,eq,2023-09-05 12:12:11.109,16,0,0,0:1:20,0,eq,2023-09-05 12:12:11.109,16,0,2023-09-05 12:27:10.667
GTSMSC2 GTSGBDO|ESMSC2,11,eq,2023-09-05 12:12:11.337,16,0,0,0:1:20,0,eq,2023-09-05 12:12:11.337,16,0,2023-09-05 12:27:10.887
MSCPROD GTARIS|HMSC,5,eq,2023-09-05 12:12:11.560,16,0,0,0:1:20,0,eq,2023-09-05 12:12:11.560,16,0,2023-09-05 12:27:11.123
MSCPROD GTFSTAT|HMSC,10,eq,2023-09-05 12:09:12.604,19,0,0,0:1:35,0,eq,2023-09-05 12:09:12.604,19,0,2023-09-05 12:27:11.347
MSCPROD GTICT|HMSCINT,0,eq,2023-09-05 12:12:12.010,16,0,0,0:1:20,0,eq,2023-09-05 12:12:12.010,16,0,2023-09-05 12:27:11.562
MSCPROD GTICT|HMSCNAT,0,eq,2023-09-05 12:12:12.222,16,0,0,0:1:20,0,eq,2023-09-05 12:12:12.222,16,0,2023-09-05 12:27:11.779
MSCPROD GTMACH|GTNEXGN,0,eq,2023-09-05 12:12:12.432,16,0,0,0:1:20,0,eq,2023-09-05 12:12:12.432,16,0,2023-09-05 12:27:11.999
MSCPROD GTSGBDO|MSCMAS,0,eq,2023-09-05 12:12:12.636,16,0,0,0:1:20,0,eq,2023-09-05 12:12:12.636,16,0,2023-09-05 12:27:12.214
MSCPROD GTSGBDO|MSCREQ,0,eq,2023-09-05 12:12:12.845,16,0,0,0:1:20,0,eq,2023-09-05 12:12:12.845,16,0,2023-09-05 12:27:12.414
SBC_IMS GTICT|IMS_INT,0,eq,2023-09-05 12:12:13.052,16,0,0,0:1:20,0,eq,2023-09-05 12:12:13.052,16,0,2023-09-05 12:27:12.614
SBC_IMS GTICT|IMS_NAT,0,eq,2023-09-05 12:12:13.259,16,0,0,0:1:20,0,eq,2023-09-05 12:12:13.259,16,0,2023-09-05 12:27:12.806
TOTAL,26,eq,2023-09-05 11:32:37.679,56,0,0,0:4:40,0,eq,2023-09-05 11:32:37.679,56,0,2023-09-05 12:27:12.997
ARCSMS2 GTARC|HSMSC2,0,ou,2023-09-05 11:42:38.142,46,0,0,0:3:50,0,ou,2023-09-05 11:42:38.142,46,0,2023-09-05 12:27:13.703
MSCPROD GTARC|HMSC,0,ou,2023-09-05 11:36:03.290,53,0,0,0:4:25,0,ou,2023-09-05 11:36:03.290,53,0,2023-09-05 12:27:13.749
MSCPROD GTARCEP|HMSC,0,ou,2023-09-05 11:34:49.278,54,0,0,0:4:30,0,ou,2023-09-05 11:34:49.278,54,0,2023-09-05 12:27:13.792
ARCPSMS GTARCEP|HSMSCO2,0,ou,2023-09-05 11:33:50.677,55,0,0,0:4:35,0,ou,2023-09-05 11:33:50.677,55,0,2023-09-05 12:27:13.833
