label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTSBC2 GTICT|SBCINT,0,eq,2023-09-05 12:12:10.797,16,0,0,0:1:20,0,eq,2023-09-05 12:12:10.797,16,0,2023-09-05 12:27:10.385
GTSBC2 GTICT|SBCNAT,0,eq,2023-09-05 12:12:11.033,16,0,0,0:1:20,0,eq,2023-09-05 12:12:11.033,16,0,2023-09-05 12:27:10.598
GTSMSC2 GTSGBDO|ESMSC2,0,eq,2023-09-05 12:12:11.264,16,0,0,0:1:20,0,eq,2023-09-05 12:12:11.264,16,0,2023-09-05 12:27:10.812
MSCPROD GTARIS|HMSC,0,eq,2023-09-05 12:12:11.483,16,0,0,0:1:20,0,eq,2023-09-05 12:12:11.483,16,0,2023-09-05 12:27:11.051
MSCPROD GTFSTAT|HMSC,20,eq,2023-09-05 12:09:12.534,19,0,0,0:1:35,0,eq,2023-09-05 12:09:12.534,19,0,2023-09-05 12:27:11.266
MSCPROD GTICT|HMSCINT,0,eq,2023-09-05 12:12:11.937,16,0,0,0:1:20,0,eq,2023-09-05 12:12:11.937,16,0,2023-09-05 12:27:11.490
MSCPROD GTICT|HMSCNAT,3,eq,2023-09-05 12:12:12.148,16,0,0,0:1:20,0,eq,2023-09-05 12:12:12.148,16,0,2023-09-05 12:27:11.704
MSCPROD GTMACH|GTNEXGN,0,eq,2023-09-05 12:12:12.364,16,0,0,0:1:20,0,eq,2023-09-05 12:12:12.364,16,0,2023-09-05 12:27:11.928
MSCPROD GTSGBDO|MSCMAS,0,eq,2023-09-05 12:12:12.567,16,0,0,0:1:20,0,eq,2023-09-05 12:12:12.567,16,0,2023-09-05 12:27:12.144
MSCPROD GTSGBDO|MSCREQ,22,eq,2023-09-05 12:12:12.776,16,0,0,0:1:20,0,eq,2023-09-05 12:12:12.776,16,0,2023-09-05 12:27:12.348
SBC_IMS GTICT|IMS_INT,0,eq,2023-09-05 12:12:12.980,16,0,0,0:1:20,0,eq,2023-09-05 12:12:12.980,16,0,2023-09-05 12:27:12.547
SBC_IMS GTICT|IMS_NAT,0,eq,2023-09-05 12:12:13.190,16,0,0,0:1:20,0,eq,2023-09-05 12:12:13.190,16,0,2023-09-05 12:27:12.743
TOTAL,45,eq,2023-09-05 11:23:43.469,65,0,0,0:5:25,0,eq,2023-09-05 11:23:43.469,65,0,2023-09-05 12:27:12.936
ARCSMS2 GTARC|HSMSC2,0,ou,2023-09-05 11:42:31.292,46,0,0,0:3:50,0,ou,2023-09-05 11:42:31.292,46,0,2023-09-05 12:27:13.371
MSCPROD GTARC|HMSC,0,ou,2023-09-05 11:35:56.137,53,0,0,0:4:25,0,ou,2023-09-05 11:35:56.137,53,0,2023-09-05 12:27:13.419
MSCPROD GTARCEP|HMSC,0,ou,2023-09-05 11:34:41.890,54,0,0,0:4:30,0,ou,2023-09-05 11:34:41.890,54,0,2023-09-05 12:27:13.467
ARCPSMS GTARCEP|HSMSCO2,0,ou,2023-09-05 11:33:46.141,55,0,0,0:4:35,0,ou,2023-09-05 11:33:46.141,55,0,2023-09-05 12:27:13.513
ARCSMS2 GTARCEP|HSMSC2,0,ou,2023-09-05 11:27:37.176,61,0,0,0:5:5,0,ou,2023-09-05 11:27:37.176,61,0,2023-09-05 12:27:13.557
ARCSMS2 GTARCEP|OSMSC2,0,ou,2023-09-05 11:26:53.371,62,0,0,0:5:10,0,ou,2023-09-05 11:26:53.371,62,0,2023-09-05 12:27:13.603
SBC_IMS GTARC|SBCIMS,0,ou,2023-09-05 11:26:54.154,62,0,0,0:5:10,0,ou,2023-09-05 11:26:54.154,62,0,2023-09-05 12:27:13.649
