label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARCPSMS GTARCEP|HSMSCO2,0,in,2023-04-27 17:00:03.379,1,0,0,00:00:00,0,in,2023-04-27 17:00:03.461,1,0,2023-04-27 17:00:03.390
ARCSMS2 GTARC|HSMSC2,0,in,2023-04-27 17:00:04.110,1,0,0,00:00:00,0,in,2023-04-27 17:00:04.146,1,0,2023-04-27 17:00:04.115
ARCSMS2 GTARCEP|HSMSC2,0,in,2023-04-27 17:00:04.491,1,0,0,00:00:00,0,in,2023-04-27 17:00:04.520,1,0,2023-04-27 17:00:04.495
ARCSMS2 GTARCEP|OSMSC2,0,in,2023-04-27 17:00:04.757,1,0,0,00:00:00,0,in,2023-04-27 17:00:04.788,1,0,2023-04-27 17:00:04.761
ARC_SMS GTARC|HSMSC,0,in,2023-04-27 17:00:05.099,1,0,0,00:00:00,0,in,2023-04-27 17:00:05.131,1,0,2023-04-27 17:00:05.102
ARC_SMS GTARCEP|OSMSC,0,in,2023-04-27 17:00:05.357,1,0,0,00:00:00,0,in,2023-04-27 17:00:05.389,1,0,2023-04-27 17:00:05.360
GTSMSC2 GTSGBDO|ESMSC2,0,in,2023-04-27 17:00:05.630,1,0,0,00:00:00,0,in,2023-04-27 17:00:05.659,1,0,2023-04-27 17:00:05.634
MSCPROD GTARC|HMSC,0,in,2023-04-27 17:00:05.864,1,0,0,00:00:00,0,in,2023-04-27 17:00:05.891,1,0,2023-04-27 17:00:05.867
MSCPROD GTARCEP|HMSC,0,in,2023-04-27 17:00:06.106,1,0,0,00:00:00,0,in,2023-04-27 17:00:06.135,1,0,2023-04-27 17:00:06.111
MSCPROD GTFSTAT|HMSC,0,eq,2023-04-25 09:53:32.145,32,0,0,0:2:40,0,eq,2023-04-25 09:53:32.145,32,0,2023-04-27 17:00:06.322
MSCPROD GTMACH|GTNEXGN,0,eq,2023-04-25 09:53:32.705,32,0,0,0:2:40,0,eq,2023-04-25 09:53:32.705,32,0,2023-04-27 17:00:06.532
SBC_IMS GTARC|SBCIMS,0,in,2023-04-27 17:00:06.748,1,0,0,00:00:00,0,in,2023-04-27 17:00:06.774,1,0,2023-04-27 17:00:06.751
TOTAL,0,eq,2023-04-25 09:53:33.085,32,0,0,0:2:40,0,eq,2023-04-25 09:53:33.085,32,0,2023-04-27 17:00:06.986
MSCPROD GTICT|HMSCINT,0,ou,2023-04-27 17:00:07.383,1,0,0,00:00:00,0,ou,2023-04-27 17:00:07.404,1,0,2023-04-27 17:00:07.386
MSCPROD GTICT|HMSCNAT,0,ou,2023-04-27 17:00:07.427,1,0,0,00:00:00,0,ou,2023-04-27 17:00:07.447,1,0,2023-04-27 17:00:07.429
ARC_SMS GTARCEP|HSMSC,0,ou,2023-04-27 16:51:05.505,10,0,0,0:0:50,0,ou,2023-04-27 16:51:05.505,10,0,2023-04-27 17:00:07.473
GTSBC2 GTARC|SBC,0,ou,2023-04-27 14:36:35.612,23,0,0,0:1:55,0,ou,2023-04-27 14:36:35.612,23,0,2023-04-27 17:00:07.512
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-04-26 14:35:59.763,25,0,0,0:2:5,0,ou,2023-04-26 14:35:59.763,25,0,2023-04-27 17:00:07.550
MSCPROD GTSGBDO|MSCMAS,0,ou,2023-04-26 14:35:59.810,25,0,0,0:2:5,0,ou,2023-04-26 14:35:59.810,25,0,2023-04-27 17:00:07.589
