label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARCPSMS GTARCEP|HSMSCO2,0,eq,2023-04-30 23:01:07.818,90,0,0,1:1:30,0,eq,2023-04-30 23:01:07.818,90,0,2023-05-01 00:30:09.909
ARCSMS2 GTARC|HSMSC2,0,eq,2023-04-30 23:01:08.632,90,0,0,1:1:30,0,eq,2023-04-30 23:01:08.632,90,0,2023-05-01 00:30:10.686
ARCSMS2 GTARCEP|HSMSC2,0,eq,2023-04-30 23:16:08.503,75,0,0,1:0:15,0,eq,2023-04-30 23:16:08.503,75,0,2023-05-01 00:30:11.510
ARCSMS2 GTARCEP|OSMSC2,0,eq,2023-04-30 23:19:09.038,72,0,0,1:0:0,0,eq,2023-04-30 23:19:09.038,72,0,2023-05-01 00:30:12.540
GTSMSC2 GTSGBDO|ESMSC2,0,eq,2023-05-01 00:06:25.032,25,0,0,0:2:5,0,eq,2023-05-01 00:06:25.032,25,0,2023-05-01 00:30:13.088
MSCPROD GTARC|HMSC,0,in,2023-05-01 00:30:13.712,1,0,0,00:00:00,0,in,2023-05-01 00:30:13.737,1,0,2023-05-01 00:30:13.714
MSCPROD GTARCEP|HMSC,0,in,2023-05-01 00:30:14.571,1,0,0,00:00:00,0,in,2023-05-01 00:30:14.597,1,0,2023-05-01 00:30:14.574
MSCPROD GTFSTAT|HMSC,0,eq,2023-04-30 23:01:12.012,90,0,0,1:1:30,0,eq,2023-04-30 23:01:12.012,90,0,2023-05-01 00:30:15.327
MSCPROD GTMACH|GTNEXGN,0,eq,2023-04-30 23:01:13.531,90,0,0,1:1:30,0,eq,2023-04-30 23:01:13.531,90,0,2023-05-01 00:30:16.005
TOTAL,0,eq,2023-04-30 23:01:14.303,90,0,0,1:1:30,0,eq,2023-04-30 23:01:14.303,90,0,2023-05-01 00:30:16.623
MSCPROD GTICT|HMSCINT,0,ou,2023-05-01 00:30:19.705,1,0,0,00:00:00,0,ou,2023-05-01 00:30:19.726,1,0,2023-05-01 00:30:19.708
MSCPROD GTICT|HMSCNAT,0,ou,2023-05-01 00:30:19.810,1,0,0,00:00:00,0,ou,2023-05-01 00:30:19.831,1,0,2023-05-01 00:30:19.812
MSCPROD GTSGBDO|MSCMAS,0,ou,2023-05-01 00:25:21.743,6,0,0,0:0:30,0,ou,2023-05-01 00:25:21.743,6,0,2023-05-01 00:30:19.974
ARC_SMS GTARC|HSMSC,0,ou,2023-05-01 00:21:20.876,10,0,0,0:0:50,0,ou,2023-05-01 00:21:20.876,10,0,2023-05-01 00:30:20.061
ARC_SMS GTARCEP|HSMSC,0,ou,2023-05-01 00:21:20.990,10,0,0,0:0:50,0,ou,2023-05-01 00:21:20.990,10,0,2023-05-01 00:30:20.154
GTSBC2 GTARC|SBC,0,ou,2023-05-01 00:21:21.086,10,0,0,0:0:50,0,ou,2023-05-01 00:21:21.086,10,0,2023-05-01 00:30:20.329
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-05-01 00:09:22.583,22,0,0,0:1:50,0,ou,2023-05-01 00:09:22.583,22,0,2023-05-01 00:30:20.417
SBC_IMS GTARC|SBCIMS,0,ou,2023-05-01 00:08:26.950,23,0,0,0:1:55,0,ou,2023-05-01 00:08:26.950,23,0,2023-05-01 00:30:20.513
MSCPROD GTARIS|HMSC,0,ou,2023-04-30 23:57:12.996,34,0,0,0:2:50,0,ou,2023-04-30 23:57:12.996,34,0,2023-05-01 00:30:20.552
MSCPROD GTSGBDO|MSCREQ,0,ou,2023-04-30 23:16:12.205,75,0,0,1:0:15,0,ou,2023-04-30 23:16:12.205,75,0,2023-05-01 00:30:20.590
