label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
MSCPROD GTARC|HMSC,0,eq,2023-04-26 14:35:58.034,1,0,0,00:00:00,0,eq,2023-04-26 14:35:58.068,1,0,2023-04-26 14:35:58.037
MSCPROD GTFSTAT|HMSC,0,eq,2023-04-25 09:53:32.207,8,0,0,0:0:40,0,eq,2023-04-25 09:53:32.207,8,0,2023-04-26 14:35:58.269
MSCPROD GTICT|HMSCINT,0,eq,2023-04-26 13:12:13.684,3,0,0,0:0:15,0,eq,2023-04-26 13:12:13.684,3,0,2023-04-26 14:35:58.497
MSCPROD GTICT|HMSCNAT,0,eq,2023-04-26 13:12:13.889,3,0,0,0:0:15,0,eq,2023-04-26 13:12:13.889,3,0,2023-04-26 14:35:58.712
MSCPROD GTMACH|GTNEXGN,0,eq,2023-04-25 09:53:32.768,8,0,0,0:0:40,0,eq,2023-04-25 09:53:32.768,8,0,2023-04-26 14:35:58.927
TOTAL,0,eq,2023-04-25 09:53:33.143,8,0,0,0:0:40,0,eq,2023-04-25 09:53:33.143,8,0,2023-04-26 14:35:59.148
GTSBC2 GTARC|SBC,0,ou,2023-04-26 14:36:00.129,1,0,0,00:00:00,0,ou,2023-04-26 14:36:00.152,1,0,2023-04-26 14:36:00.132
GTSMSC2 GTSGBDO|ESMSC2,0,ou,2023-04-26 14:36:00.179,1,0,0,00:00:00,0,ou,2023-04-26 14:36:00.205,1,0,2023-04-26 14:36:00.183
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-04-26 14:36:00.234,1,0,0,00:00:00,0,ou,2023-04-26 14:36:00.258,1,0,2023-04-26 14:36:00.238
MSCPROD GTSGBDO|MSCMAS,0,ou,2023-04-26 14:36:00.289,1,0,0,00:00:00,0,ou,2023-04-26 14:36:00.312,1,0,2023-04-26 14:36:00.293
SBC_IMS GTARC|SBCIMS,0,ou,2023-04-26 13:12:15.211,3,0,0,0:0:15,0,ou,2023-04-26 13:12:15.211,3,0,2023-04-26 14:36:00.340
ARCPSMS GTARCEP|HSMSCO2,0,ou,2023-04-26 10:57:34.042,4,0,0,0:0:20,0,ou,2023-04-26 10:57:34.042,4,0,2023-04-26 14:36:00.392
ARCSMS2 GTARC|HSMSC2,0,ou,2023-04-26 10:57:34.081,4,0,0,0:0:20,0,ou,2023-04-26 10:57:34.081,4,0,2023-04-26 14:36:00.436
ARCSMS2 GTARCEP|HSMSC2,0,ou,2023-04-26 10:57:34.123,4,0,0,0:0:20,0,ou,2023-04-26 10:57:34.123,4,0,2023-04-26 14:36:00.479
ARCSMS2 GTARCEP|OSMSC2,0,ou,2023-04-26 10:57:34.166,4,0,0,0:0:20,0,ou,2023-04-26 10:57:34.166,4,0,2023-04-26 14:36:00.524
MSCPROD GTARCEP|HMSC,0,ou,2023-04-26 10:57:34.205,4,0,0,0:0:20,0,ou,2023-04-26 10:57:34.205,4,0,2023-04-26 14:36:00.566
