label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
MSCPROD GTFSTAT|HMSC,256,up,2023-04-26 10:57:32.165,2,47,81,0:0:10,606,up,2023-04-26 10:57:32.165,2,47,2023-04-26 13:12:13.373
MSCPROD GTICT|HMSCINT,17,eq,2023-04-26 13:12:13.556,1,0,0,00:00:00,35,eq,2023-04-26 13:12:13.578,1,0,2023-04-26 13:12:13.559
MSCPROD GTICT|HMSCNAT,17,eq,2023-04-26 13:12:13.749,1,0,0,00:00:00,35,eq,2023-04-26 13:12:13.772,1,0,2023-04-26 13:12:13.752
MSCPROD GTMACH|GTNEXGN,17,eq,2023-04-26 10:50:06.348,3,0,0,0:0:15,18,eq,2023-04-26 10:50:06.348,3,0,2023-04-26 13:12:13.962
TOTAL,307,dw,2023-04-26 10:57:33.425,2,-466,-537,0:0:10,977,dw,2023-04-26 10:57:33.425,2,-466,2023-04-26 13:12:14.159
GTSMSC2 GTSGBDO|ESMSC2,269,ou,2023-04-26 13:12:14.341,1,0,0,00:00:00,287,ou,2023-04-26 13:12:14.360,1,0,2023-04-26 13:12:14.344
MSCPROD GTARC|HMSC,17,ou,2023-04-26 13:12:14.386,1,0,0,00:00:00,52,ou,2023-04-26 13:12:14.405,1,0,2023-04-26 13:12:14.388
MSCPROD GTSGBDO|MSCMAS,225,ou,2023-04-26 13:12:14.429,1,0,0,00:00:00,225,ou,2023-04-26 13:12:14.448,1,0,2023-04-26 13:12:14.431
SBC_IMS GTARC|SBCIMS,2,ou,2023-04-26 13:12:14.472,1,0,0,00:00:00,7,ou,2023-04-26 13:12:14.491,1,0,2023-04-26 13:12:14.474
ARCPSMS GTARCEP|HSMSCO2,28,ou,2023-04-26 10:57:33.605,2,0,0,0:0:10,28,ou,2023-04-26 10:57:33.605,2,0,2023-04-26 13:12:14.514
ARCSMS2 GTARC|HSMSC2,50,ou,2023-04-26 10:57:33.645,2,0,0,0:0:10,50,ou,2023-04-26 10:57:33.645,2,0,2023-04-26 13:12:14.551
ARCSMS2 GTARCEP|HSMSC2,22,ou,2023-04-26 10:57:33.714,2,0,0,0:0:10,22,ou,2023-04-26 10:57:33.714,2,0,2023-04-26 13:12:14.588
ARCSMS2 GTARCEP|OSMSC2,22,ou,2023-04-26 10:57:33.753,2,0,0,0:0:10,22,ou,2023-04-26 10:57:33.753,2,0,2023-04-26 13:12:14.624
MSCPROD GTARCEP|HMSC,13,ou,2023-04-26 10:57:33.792,2,0,0,0:0:10,13,ou,2023-04-26 10:57:33.792,2,0,2023-04-26 13:12:14.662
