label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
PGWCDRM GTARC|LTEM,25,up,2023-05-16 10:22:02.659,2,4,17,0:0:10,513,up,2023-05-16 10:22:02.659,2,4,2023-05-16 10:23:02.329
PGWCDRM GTARC|PGWCD,449,up,2023-05-16 10:21:02.420,3,10,48,0:0:15,1287,up,2023-05-16 10:21:02.420,3,10,2023-05-16 10:23:02.571
PGWCDRM GTSGBDO|LTEPGMA,1,in,2023-05-16 10:23:02.812,1,0,0,00:00:00,121,in,2023-05-16 10:23:02.844,1,0,2023-05-16 10:23:02.815
PGWCDRM GTSGBDO|LTEPGQ4,10,in,2023-05-16 10:23:03.096,1,0,0,00:00:00,151,in,2023-05-16 10:23:03.128,1,0,2023-05-16 10:23:03.099
PRD_HC3 GTICT|HC34NAT,6,eq,2023-05-16 10:19:03.405,5,0,0,0:0:25,100,eq,2023-05-16 10:19:03.405,5,0,2023-05-16 10:23:03.370
SGWCDRM GTARC|SGWCDR,11,dw,2023-05-16 10:23:03.596,1,-9,-9,00:00:00,534,dw,2023-05-16 10:23:03.621,1,-9,2023-05-16 10:23:03.599
SGWCDRM GTSGBDO|LTES4GR,2,in,2023-05-16 10:23:03.824,1,0,0,00:00:00,249,in,2023-05-16 10:23:03.852,1,0,2023-05-16 10:23:03.827
TOTAL,504,up,2023-05-16 10:20:03.986,4,6,74,0:0:20,1777,up,2023-05-16 10:20:03.986,4,6,2023-05-16 10:23:04.076
GTSCDR GTMACH|NEXGT,4,ou,2023-05-16 10:23:04.311,1,0,0,00:00:00,141,ou,2023-05-16 10:23:04.336,1,0,2023-05-16 10:23:04.314
GTSCDR GTSGBDO|LTESCMA,1,ou,2023-05-16 10:23:04.370,1,0,0,00:00:00,28,ou,2023-05-16 10:23:04.394,1,0,2023-05-16 10:23:04.373
GTSCDR GTSGBDO|LTSC3GR,1,ou,2023-05-16 10:23:04.424,1,0,0,00:00:00,46,ou,2023-05-16 10:23:04.449,1,0,2023-05-16 10:23:04.428
SGWCDRM GTMACH|NEXGT,4,ou,2023-05-16 10:23:04.481,1,0,0,00:00:00,227,ou,2023-05-16 10:23:04.508,1,0,2023-05-16 10:23:04.485
SGWCDRM GTSGBDO|LTESGMA,2,ou,2023-05-16 10:23:04.542,1,0,0,00:00:00,43,ou,2023-05-16 10:23:04.567,1,0,2023-05-16 10:23:04.546
GTSCDR GTARC|SCDR,3,ou,2023-05-16 10:19:04.674,5,0,0,0:0:25,33,ou,2023-05-16 10:19:04.674,5,0,2023-05-16 10:23:04.595
PRD_HC3 GTICT|HC34INT,1,ou,2023-05-16 10:13:34.774,11,0,0,0:0:55,2,ou,2023-05-16 10:13:34.774,11,0,2023-05-16 10:23:04.640
PRD_HC3 GTSGBDO|HC34MA,1,ou,2023-05-16 10:13:35.280,11,0,0,0:0:55,2,ou,2023-05-16 10:13:35.280,11,0,2023-05-16 10:23:04.683
PRD_HC3 GTSGBDO|HC3EMRQ,1,ou,2023-05-16 09:53:04.724,31,0,0,0:2:35,2,ou,2023-05-16 09:53:04.724,31,0,2023-05-16 10:23:04.726
PRD_HC3 GTARIS|AHC34,1,ou,2023-05-16 09:50:03.849,34,0,0,0:2:50,4,ou,2023-05-16 09:50:03.849,34,0,2023-05-16 10:23:04.766
PRD_HC3 GTARC|AHC34,1,ou,2023-05-16 09:36:04.079,48,0,0,0:4:0,3,ou,2023-05-16 09:36:04.079,48,0,2023-05-16 10:23:04.807
PRD2_TP GTARC|TAP0311,1,ou,2023-05-16 09:31:36.177,53,0,0,0:4:25,6,ou,2023-05-16 09:31:36.177,53,0,2023-05-16 10:23:04.847
PRD2_TP GTARIS|TAP0312,1,ou,2023-05-16 09:31:36.684,53,0,0,0:4:25,7,ou,2023-05-16 09:31:36.684,53,0,2023-05-16 10:23:04.888
