label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
PGWCDRM GTARC|LTEM,0,eq,2023-05-16 10:22:02.831,2,0,0,0:0:10,0,eq,2023-05-16 10:22:02.831,2,0,2023-05-16 10:23:02.489
PGWCDRM GTARC|PGWCD,0,eq,2023-05-16 10:13:25.434,11,0,0,0:0:55,0,eq,2023-05-16 10:13:25.434,11,0,2023-05-16 10:23:02.731
PGWCDRM GTSGBDO|LTEPGMA,0,in,2023-05-16 10:23:03.005,1,0,0,00:00:00,0,in,2023-05-16 10:23:03.038,1,0,2023-05-16 10:23:03.009
PGWCDRM GTSGBDO|LTEPGQ4,0,in,2023-05-16 10:23:03.285,1,0,0,00:00:00,0,in,2023-05-16 10:23:03.315,1,0,2023-05-16 10:23:03.288
PRD_HC3 GTICT|HC34NAT,0,eq,2023-05-16 10:13:26.940,11,0,0,0:0:55,0,eq,2023-05-16 10:13:26.940,11,0,2023-05-16 10:23:03.521
SGWCDRM GTARC|SGWCDR,0,eq,2023-05-16 10:22:03.467,2,0,0,0:0:10,0,eq,2023-05-16 10:22:03.467,2,0,2023-05-16 10:23:03.744
SGWCDRM GTSGBDO|LTES4GR,0,in,2023-05-16 10:23:03.988,1,0,0,00:00:00,0,in,2023-05-16 10:23:04.018,1,0,2023-05-16 10:23:03.991
TOTAL,0,eq,2023-05-16 10:13:34.155,11,0,0,0:0:55,0,eq,2023-05-16 10:13:34.155,11,0,2023-05-16 10:23:04.241
GTSCDR GTMACH|NEXGT,0,ou,2023-05-16 10:23:05.831,1,0,0,00:00:00,0,ou,2023-05-16 10:23:05.852,1,0,2023-05-16 10:23:05.834
GTSCDR GTSGBDO|LTESCMA,0,ou,2023-05-16 10:23:05.918,1,0,0,00:00:00,0,ou,2023-05-16 10:23:05.939,1,0,2023-05-16 10:23:05.921
GTSCDR GTSGBDO|LTSC3GR,0,ou,2023-05-16 10:23:05.966,1,0,0,00:00:00,0,ou,2023-05-16 10:23:05.986,1,0,2023-05-16 10:23:05.968
SGWCDRM GTMACH|NEXGT,0,ou,2023-05-16 10:23:06.049,1,0,0,00:00:00,0,ou,2023-05-16 10:23:06.071,1,0,2023-05-16 10:23:06.052
SGWCDRM GTSGBDO|LTESGMA,0,ou,2023-05-16 10:23:06.143,1,0,0,00:00:00,0,ou,2023-05-16 10:23:06.172,1,0,2023-05-16 10:23:06.147
GTSCDR GTARC|SCDR,0,ou,2023-05-16 10:19:06.409,5,0,0,0:0:25,0,ou,2023-05-16 10:19:06.409,5,0,2023-05-16 10:23:06.251
PRD_HC3 GTICT|HC34INT,0,ou,2023-05-16 10:13:41.128,11,0,0,0:0:55,0,ou,2023-05-16 10:13:41.128,11,0,2023-05-16 10:23:06.301
PRD_HC3 GTSGBDO|HC34MA,0,ou,2023-05-16 10:13:41.174,11,0,0,0:0:55,0,ou,2023-05-16 10:13:41.174,11,0,2023-05-16 10:23:06.351
