label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTSBC2 GTARC|SBC,0,in,2023-04-26 14:11:24.622,1,0,0,00:00:00,0,in,2023-04-26 14:11:24.653,1,0,2023-04-26 14:11:24.624
GTSMSC2 GTSGBDO|ESMSC2,0,in,2023-04-26 14:11:24.816,1,0,0,00:00:00,0,in,2023-04-26 14:11:24.840,1,0,2023-04-26 14:11:24.819
GTSMSCT GTSGBDO|ESMSC,0,in,2023-04-26 14:11:25.023,1,0,0,00:00:00,0,in,2023-04-26 14:11:25.054,1,0,2023-04-26 14:11:25.025
MSCPROD GTARC|HMSC,0,in,2023-04-26 14:11:25.232,1,0,0,00:00:00,0,in,2023-04-26 14:11:25.257,1,0,2023-04-26 14:11:25.235
MSCPROD GTFSTAT|HMSC,0,eq,2023-04-25 09:53:32.207,7,0,0,0:0:35,0,eq,2023-04-25 09:53:32.207,7,0,2023-04-26 14:11:25.414
MSCPROD GTICT|HMSCINT,0,eq,2023-04-26 13:12:13.684,2,0,0,0:0:10,0,eq,2023-04-26 13:12:13.684,2,0,2023-04-26 14:11:25.589
MSCPROD GTICT|HMSCNAT,0,eq,2023-04-26 13:12:13.889,2,0,0,0:0:10,0,eq,2023-04-26 13:12:13.889,2,0,2023-04-26 14:11:25.768
MSCPROD GTMACH|GTNEXGN,0,eq,2023-04-25 09:53:32.768,7,0,0,0:0:35,0,eq,2023-04-25 09:53:32.768,7,0,2023-04-26 14:11:25.938
MSCPROD GTSGBDO|MSCMAS,0,in,2023-04-26 14:11:26.109,1,0,0,00:00:00,0,in,2023-04-26 14:11:26.129,1,0,2023-04-26 14:11:26.111
TOTAL,0,eq,2023-04-25 09:53:33.143,7,0,0,0:0:35,0,eq,2023-04-25 09:53:33.143,7,0,2023-04-26 14:11:26.282
SBC_IMS GTARC|SBCIMS,0,ou,2023-04-26 13:12:15.211,2,0,0,0:0:10,0,ou,2023-04-26 13:12:15.211,2,0,2023-04-26 14:11:26.795
ARCPSMS GTARCEP|HSMSCO2,0,ou,2023-04-26 10:57:34.042,3,0,0,0:0:15,0,ou,2023-04-26 10:57:34.042,3,0,2023-04-26 14:11:26.833
ARCSMS2 GTARC|HSMSC2,0,ou,2023-04-26 10:57:34.081,3,0,0,0:0:15,0,ou,2023-04-26 10:57:34.081,3,0,2023-04-26 14:11:26.873
ARCSMS2 GTARCEP|HSMSC2,0,ou,2023-04-26 10:57:34.123,3,0,0,0:0:15,0,ou,2023-04-26 10:57:34.123,3,0,2023-04-26 14:11:26.912
ARCSMS2 GTARCEP|OSMSC2,0,ou,2023-04-26 10:57:34.166,3,0,0,0:0:15,0,ou,2023-04-26 10:57:34.166,3,0,2023-04-26 14:11:26.948
MSCPROD GTARCEP|HMSC,0,ou,2023-04-26 10:57:34.205,3,0,0,0:0:15,0,ou,2023-04-26 10:57:34.205,3,0,2023-04-26 14:11:26.984
