label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
MSCPROD GTARC|HMSC,2,dw,2023-04-26 14:35:57.859,1,-13,-13,00:00:00,67,dw,2023-04-26 14:35:57.890,1,-13,2023-04-26 14:35:57.862
MSCPROD GTFSTAT|HMSC,532,up,2023-04-26 10:57:32.165,4,82,357,0:0:20,882,up,2023-04-26 10:57:32.165,4,82,2023-04-26 14:35:58.123
MSCPROD GTICT|HMSCINT,16,up,2023-04-26 14:35:58.343,1,1,1,00:00:00,36,up,2023-04-26 14:35:58.370,1,1,2023-04-26 14:35:58.346
MSCPROD GTICT|HMSCNAT,16,up,2023-04-26 14:35:58.569,1,1,1,00:00:00,36,up,2023-04-26 14:35:58.594,1,1,2023-04-26 14:35:58.572
MSCPROD GTMACH|GTNEXGN,16,up,2023-04-26 14:35:58.783,1,1,1,00:00:00,19,up,2023-04-26 14:35:58.808,1,1,2023-04-26 14:35:58.786
TOTAL,582,dw,2023-04-26 14:35:59.001,1,-94,-94,00:00:00,1346,dw,2023-04-26 14:35:59.026,1,-94,2023-04-26 14:35:59.004
GTSBC2 GTARC|SBC,1,ou,2023-04-26 14:35:59.208,1,0,0,00:00:00,1,ou,2023-04-26 14:35:59.230,1,0,2023-04-26 14:35:59.211
GTSMSC2 GTSGBDO|ESMSC2,129,ou,2023-04-26 14:35:59.257,1,0,0,00:00:00,416,ou,2023-04-26 14:35:59.279,1,0,2023-04-26 14:35:59.260
GTSMSCT GTSGBDO|ESMSC,6,ou,2023-04-26 14:35:59.306,1,0,0,00:00:00,6,ou,2023-04-26 14:35:59.328,1,0,2023-04-26 14:35:59.309
MSCPROD GTSGBDO|MSCMAS,30,ou,2023-04-26 14:35:59.354,1,0,0,00:00:00,255,ou,2023-04-26 14:35:59.377,1,0,2023-04-26 14:35:59.357
SBC_IMS GTARC|SBCIMS,2,ou,2023-04-26 13:12:14.472,3,0,0,0:0:15,7,ou,2023-04-26 13:12:14.472,3,0,2023-04-26 14:35:59.405
ARCPSMS GTARCEP|HSMSCO2,28,ou,2023-04-26 10:57:33.605,4,0,0,0:0:20,28,ou,2023-04-26 10:57:33.605,4,0,2023-04-26 14:35:59.449
ARCSMS2 GTARC|HSMSC2,50,ou,2023-04-26 10:57:33.645,4,0,0,0:0:20,50,ou,2023-04-26 10:57:33.645,4,0,2023-04-26 14:35:59.494
ARCSMS2 GTARCEP|HSMSC2,22,ou,2023-04-26 10:57:33.714,4,0,0,0:0:20,22,ou,2023-04-26 10:57:33.714,4,0,2023-04-26 14:35:59.535
ARCSMS2 GTARCEP|OSMSC2,22,ou,2023-04-26 10:57:33.753,4,0,0,0:0:20,22,ou,2023-04-26 10:57:33.753,4,0,2023-04-26 14:35:59.577
MSCPROD GTARCEP|HMSC,13,ou,2023-04-26 10:57:33.792,4,0,0,0:0:20,13,ou,2023-04-26 10:57:33.792,4,0,2023-04-26 14:35:59.618
