label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
MSCPROD GTARC|HMSC,0,eq,2023-04-26 14:35:58.034,3,0,0,0:0:15,0,eq,2023-04-26 14:35:58.034,3,0,2023-04-27 14:36:34.102
MSCPROD GTFSTAT|HMSC,0,eq,2023-04-25 09:53:32.207,10,0,0,0:0:50,0,eq,2023-04-25 09:53:32.207,10,0,2023-04-27 14:36:34.311
MSCPROD GTICT|HMSCINT,0,eq,2023-04-26 13:12:13.684,5,0,0,0:0:25,0,eq,2023-04-26 13:12:13.684,5,0,2023-04-27 14:36:34.524
MSCPROD GTICT|HMSCNAT,0,eq,2023-04-26 13:12:13.889,5,0,0,0:0:25,0,eq,2023-04-26 13:12:13.889,5,0,2023-04-27 14:36:34.721
MSCPROD GTMACH|GTNEXGN,0,eq,2023-04-25 09:53:32.768,10,0,0,0:0:50,0,eq,2023-04-25 09:53:32.768,10,0,2023-04-27 14:36:34.919
TOTAL,0,eq,2023-04-25 09:53:33.143,10,0,0,0:0:50,0,eq,2023-04-25 09:53:33.143,10,0,2023-04-27 14:36:35.114
GTSBC2 GTARC|SBC,0,ou,2023-04-27 14:36:36.058,1,0,0,00:00:00,0,ou,2023-04-27 14:36:36.078,1,0,2023-04-27 14:36:36.061
GTSMSC2 GTSGBDO|ESMSC2,0,ou,2023-04-26 14:36:00.179,3,0,0,0:0:15,0,ou,2023-04-26 14:36:00.179,3,0,2023-04-27 14:36:36.108
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-04-26 14:36:00.234,3,0,0,0:0:15,0,ou,2023-04-26 14:36:00.234,3,0,2023-04-27 14:36:36.154
MSCPROD GTSGBDO|MSCMAS,0,ou,2023-04-26 14:36:00.289,3,0,0,0:0:15,0,ou,2023-04-26 14:36:00.289,3,0,2023-04-27 14:36:36.203
SBC_IMS GTARC|SBCIMS,0,ou,2023-04-26 13:12:15.211,5,0,0,0:0:25,0,ou,2023-04-26 13:12:15.211,5,0,2023-04-27 14:36:36.247
ARCPSMS GTARCEP|HSMSCO2,0,ou,2023-04-26 10:57:34.042,6,0,0,0:0:30,0,ou,2023-04-26 10:57:34.042,6,0,2023-04-27 14:36:36.292
ARCSMS2 GTARC|HSMSC2,0,ou,2023-04-26 10:57:34.081,6,0,0,0:0:30,0,ou,2023-04-26 10:57:34.081,6,0,2023-04-27 14:36:36.335
ARCSMS2 GTARCEP|HSMSC2,0,ou,2023-04-26 10:57:34.123,6,0,0,0:0:30,0,ou,2023-04-26 10:57:34.123,6,0,2023-04-27 14:36:36.377
ARCSMS2 GTARCEP|OSMSC2,0,ou,2023-04-26 10:57:34.166,6,0,0,0:0:30,0,ou,2023-04-26 10:57:34.166,6,0,2023-04-27 14:36:36.418
MSCPROD GTARCEP|HMSC,0,ou,2023-04-26 10:57:34.205,6,0,0,0:0:30,0,ou,2023-04-26 10:57:34.205,6,0,2023-04-27 14:36:36.459
