label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
MSCPROD GTARC|HMSC,0,eq,2023-04-26 14:35:57.943,3,0,0,0:0:15,0,eq,2023-04-26 14:35:57.943,3,0,2023-04-27 14:36:34.036
MSCPROD GTFSTAT|HMSC,0,eq,2023-04-25 09:53:32.145,10,0,0,0:0:50,0,eq,2023-04-25 09:53:32.145,10,0,2023-04-27 14:36:34.246
MSCPROD GTICT|HMSCINT,0,eq,2023-04-26 13:12:13.622,5,0,0,0:0:25,0,eq,2023-04-26 13:12:13.622,5,0,2023-04-27 14:36:34.456
MSCPROD GTICT|HMSCNAT,0,eq,2023-04-26 13:12:13.817,5,0,0,0:0:25,0,eq,2023-04-26 13:12:13.817,5,0,2023-04-27 14:36:34.656
MSCPROD GTMACH|GTNEXGN,0,eq,2023-04-25 09:53:32.705,10,0,0,0:0:50,0,eq,2023-04-25 09:53:32.705,10,0,2023-04-27 14:36:34.854
TOTAL,0,eq,2023-04-25 09:53:33.085,10,0,0,0:0:50,0,eq,2023-04-25 09:53:33.085,10,0,2023-04-27 14:36:35.051
GTSBC2 GTARC|SBC,0,ou,2023-04-27 14:36:35.612,1,0,0,00:00:00,0,ou,2023-04-27 14:36:35.634,1,0,2023-04-27 14:36:35.615
GTSMSC2 GTSGBDO|ESMSC2,0,ou,2023-04-26 14:35:59.714,3,0,0,0:0:15,0,ou,2023-04-26 14:35:59.714,3,0,2023-04-27 14:36:35.663
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-04-26 14:35:59.763,3,0,0,0:0:15,0,ou,2023-04-26 14:35:59.763,3,0,2023-04-27 14:36:35.709
MSCPROD GTSGBDO|MSCMAS,0,ou,2023-04-26 14:35:59.810,3,0,0,0:0:15,0,ou,2023-04-26 14:35:59.810,3,0,2023-04-27 14:36:35.754
SBC_IMS GTARC|SBCIMS,0,ou,2023-04-26 13:12:14.832,5,0,0,0:0:25,0,ou,2023-04-26 13:12:14.832,5,0,2023-04-27 14:36:35.798
ARCPSMS GTARCEP|HSMSCO2,0,ou,2023-04-26 10:57:33.837,6,0,0,0:0:30,0,ou,2023-04-26 10:57:33.837,6,0,2023-04-27 14:36:35.843
ARCSMS2 GTARC|HSMSC2,0,ou,2023-04-26 10:57:33.877,6,0,0,0:0:30,0,ou,2023-04-26 10:57:33.877,6,0,2023-04-27 14:36:35.885
ARCSMS2 GTARCEP|HSMSC2,0,ou,2023-04-26 10:57:33.918,6,0,0,0:0:30,0,ou,2023-04-26 10:57:33.918,6,0,2023-04-27 14:36:35.928
ARCSMS2 GTARCEP|OSMSC2,0,ou,2023-04-26 10:57:33.957,6,0,0,0:0:30,0,ou,2023-04-26 10:57:33.957,6,0,2023-04-27 14:36:35.971
MSCPROD GTARCEP|HMSC,0,ou,2023-04-26 10:57:33.996,6,0,0,0:0:30,0,ou,2023-04-26 10:57:33.996,6,0,2023-04-27 14:36:36.010
