label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARCPSMS GTARCEP|HSMSCO2,0,eq,2023-05-16 09:11:10.730,73,0,0,1:0:5,,eq,2023-05-16 09:11:10.730,73,0,2023-05-16 10:23:02.829
ARCSMS2 GTARC|HSMSC2,0,eq,2023-05-16 10:14:03.299,10,0,0,0:0:50,0,eq,2023-05-16 10:14:03.299,10,0,2023-05-16 10:23:03.054
GTSBC2 GTARC|SBC,0,eq,2023-05-16 10:22:03.703,2,0,0,0:0:10,0,eq,2023-05-16 10:22:03.703,2,0,2023-05-16 10:23:03.303
MSCPROD GTARC|HMSC,0,eq,2023-05-16 09:52:05.636,32,0,0,0:2:40,0,eq,2023-05-16 09:52:05.636,32,0,2023-05-16 10:23:03.518
MSCPROD GTFSTAT|HMSC,0,eq,2023-05-16 09:14:04.434,70,0,0,0:5:50,0,eq,2023-05-16 09:14:04.434,70,0,2023-05-16 10:23:03.741
MSCPROD GTICT|HMSCINT,0,eq,2023-05-16 10:02:05.726,22,0,0,0:1:50,0,eq,2023-05-16 10:02:05.726,22,0,2023-05-16 10:23:03.966
MSCPROD GTICT|HMSCNAT,0,eq,2023-05-16 10:02:05.958,22,0,0,0:1:50,0,eq,2023-05-16 10:02:05.958,22,0,2023-05-16 10:23:04.184
MSCPROD GTMACH|GTNEXGN,0,eq,2023-05-16 09:27:06.216,57,0,0,0:4:45,0,eq,2023-05-16 09:27:06.216,57,0,2023-05-16 10:23:04.403
MSCPROD GTSGBDO|MSCMAS,0,eq,2023-05-16 10:22:05.565,2,0,0,0:0:10,0,eq,2023-05-16 10:22:05.565,2,0,2023-05-16 10:23:04.625
SBC_IMS GTARC|SBCIMS,0,eq,2023-05-16 10:21:07.649,3,0,0,0:0:15,0,eq,2023-05-16 10:21:07.649,3,0,2023-05-16 10:23:04.881
TOTAL,0,eq,2023-05-16 09:14:05.655,70,0,0,0:5:50,0,eq,2023-05-16 09:14:05.655,70,0,2023-05-16 10:23:05.097
ARCSMS2 GTARCEP|HSMSC2,0,ou,2023-05-16 10:23:06.130,1,0,0,00:00:00,0,ou,2023-05-16 10:23:06.151,1,0,2023-05-16 10:23:06.133
ARCSMS2 GTARCEP|OSMSC2,0,ou,2023-05-16 10:23:06.177,1,0,0,00:00:00,0,ou,2023-05-16 10:23:06.197,1,0,2023-05-16 10:23:06.179
GTSMSC2 GTSGBDO|ESMSC2,0,ou,2023-05-16 10:22:06.851,2,0,0,0:0:10,0,ou,2023-05-16 10:22:06.851,2,0,2023-05-16 10:23:06.223
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-05-16 10:22:06.898,2,0,0,0:0:10,0,ou,2023-05-16 10:22:06.898,2,0,2023-05-16 10:23:06.266
MSCPROD GTARCEP|HMSC,0,ou,2023-05-16 10:22:06.947,2,0,0,0:0:10,0,ou,2023-05-16 10:22:06.947,2,0,2023-05-16 10:23:06.313
MSCPROD GTARIS|HMSC,0,ou,2023-05-16 10:22:06.993,2,0,0,0:0:10,0,ou,2023-05-16 10:22:06.993,2,0,2023-05-16 10:23:06.357
MSCPROD GTSGBDO|MSCREQ,0,ou,2023-05-16 10:22:07.042,2,0,0,0:0:10,0,ou,2023-05-16 10:22:07.042,2,0,2023-05-16 10:23:06.398
ARC_SMS GTARCEP|HSMSC,0,ou,2023-05-16 10:21:08.388,3,0,0,0:0:15,0,ou,2023-05-16 10:21:08.388,3,0,2023-05-16 10:23:06.441
ARC_SMS GTARCEP|OSMSC,0,ou,2023-05-16 10:21:08.432,3,0,0,0:0:15,0,ou,2023-05-16 10:21:08.432,3,0,2023-05-16 10:23:06.484
ARC_SMS GTARC|HSMSC,0,ou,2023-05-16 10:01:30.887,23,0,0,0:1:55,0,ou,2023-05-16 10:01:30.887,23,0,2023-05-16 10:23:06.524
