label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTSBC2 GTARC|SBC,0,in,2023-04-26 14:11:24.556,1,0,0,00:00:00,0,in,2023-04-26 14:11:24.588,1,0,2023-04-26 14:11:24.559
GTSMSC2 GTSGBDO|ESMSC2,0,in,2023-04-26 14:11:24.749,1,0,0,00:00:00,0,in,2023-04-26 14:11:24.773,1,0,2023-04-26 14:11:24.752
GTSMSCT GTSGBDO|ESMSC,0,in,2023-04-26 14:11:24.957,1,0,0,00:00:00,0,in,2023-04-26 14:11:24.988,1,0,2023-04-26 14:11:24.960
MSCPROD GTARC|HMSC,0,in,2023-04-26 14:11:25.159,1,0,0,00:00:00,0,in,2023-04-26 14:11:25.185,1,0,2023-04-26 14:11:25.162
MSCPROD GTFSTAT|HMSC,0,eq,2023-04-25 09:53:32.145,7,0,0,0:0:35,0,eq,2023-04-25 09:53:32.145,7,0,2023-04-26 14:11:25.359
MSCPROD GTICT|HMSCINT,0,eq,2023-04-26 13:12:13.622,2,0,0,0:0:10,0,eq,2023-04-26 13:12:13.622,2,0,2023-04-26 14:11:25.534
MSCPROD GTICT|HMSCNAT,0,eq,2023-04-26 13:12:13.817,2,0,0,0:0:10,0,eq,2023-04-26 13:12:13.817,2,0,2023-04-26 14:11:25.713
MSCPROD GTMACH|GTNEXGN,0,eq,2023-04-25 09:53:32.705,7,0,0,0:0:35,0,eq,2023-04-25 09:53:32.705,7,0,2023-04-26 14:11:25.885
MSCPROD GTSGBDO|MSCMAS,0,in,2023-04-26 14:11:26.052,1,0,0,00:00:00,0,in,2023-04-26 14:11:26.073,1,0,2023-04-26 14:11:26.055
TOTAL,0,eq,2023-04-25 09:53:33.085,7,0,0,0:0:35,0,eq,2023-04-25 09:53:33.085,7,0,2023-04-26 14:11:26.228
SBC_IMS GTARC|SBCIMS,0,ou,2023-04-26 13:12:14.832,2,0,0,0:0:10,0,ou,2023-04-26 13:12:14.832,2,0,2023-04-26 14:11:26.562
ARCPSMS GTARCEP|HSMSCO2,0,ou,2023-04-26 10:57:33.837,3,0,0,0:0:15,0,ou,2023-04-26 10:57:33.837,3,0,2023-04-26 14:11:26.601
ARCSMS2 GTARC|HSMSC2,0,ou,2023-04-26 10:57:33.877,3,0,0,0:0:15,0,ou,2023-04-26 10:57:33.877,3,0,2023-04-26 14:11:26.639
ARCSMS2 GTARCEP|HSMSC2,0,ou,2023-04-26 10:57:33.918,3,0,0,0:0:15,0,ou,2023-04-26 10:57:33.918,3,0,2023-04-26 14:11:26.677
ARCSMS2 GTARCEP|OSMSC2,0,ou,2023-04-26 10:57:33.957,3,0,0,0:0:15,0,ou,2023-04-26 10:57:33.957,3,0,2023-04-26 14:11:26.714
MSCPROD GTARCEP|HMSC,0,ou,2023-04-26 10:57:33.996,3,0,0,0:0:15,0,ou,2023-04-26 10:57:33.996,3,0,2023-04-26 14:11:26.750
