label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTSBC2 GTICT|SBCINT,1,eq,2023-09-05 12:12:10.715,16,0,0,0:1:20,1,eq,2023-09-05 12:12:10.715,16,0,2023-09-05 12:27:10.311
GTSBC2 GTICT|SBCNAT,1,eq,2023-09-05 12:12:10.950,16,0,0,0:1:20,1,eq,2023-09-05 12:12:10.950,16,0,2023-09-05 12:27:10.524
GTSMSC2 GTSGBDO|ESMSC2,1450,eq,2023-09-05 12:13:11.406,15,0,0,0:1:15,1486,eq,2023-09-05 12:13:11.406,15,0,2023-09-05 12:27:10.738
MSCPROD GTARIS|HMSC,75,eq,2023-09-05 12:13:11.630,15,0,0,0:1:15,76,eq,2023-09-05 12:13:11.630,15,0,2023-09-05 12:27:10.974
MSCPROD GTFSTAT|HMSC,150,eq,2023-09-05 12:13:11.842,15,0,0,0:1:15,367,eq,2023-09-05 12:13:11.842,15,0,2023-09-05 12:27:11.195
MSCPROD GTICT|HMSCINT,75,eq,2023-09-05 12:13:12.052,15,0,0,0:1:15,77,eq,2023-09-05 12:13:12.052,15,0,2023-09-05 12:27:11.422
MSCPROD GTICT|HMSCNAT,75,eq,2023-09-05 12:13:12.263,15,0,0,0:1:15,77,eq,2023-09-05 12:13:12.263,15,0,2023-09-05 12:27:11.634
MSCPROD GTMACH|GTNEXGN,75,eq,2023-09-05 12:13:12.482,15,0,0,0:1:15,77,eq,2023-09-05 12:13:12.482,15,0,2023-09-05 12:27:11.852
MSCPROD GTSGBDO|MSCMAS,75,eq,2023-09-05 12:13:12.692,15,0,0,0:1:15,76,eq,2023-09-05 12:13:12.692,15,0,2023-09-05 12:27:12.069
MSCPROD GTSGBDO|MSCREQ,75,eq,2023-09-05 12:13:12.901,15,0,0,0:1:15,76,eq,2023-09-05 12:13:12.901,15,0,2023-09-05 12:27:12.283
SBC_IMS GTICT|IMS_INT,4,eq,2023-09-05 12:13:13.102,15,0,0,0:1:15,5,eq,2023-09-05 12:13:13.102,15,0,2023-09-05 12:27:12.480
SBC_IMS GTICT|IMS_NAT,4,eq,2023-09-05 12:13:13.305,15,0,0,0:1:15,4,eq,2023-09-05 12:13:13.305,15,0,2023-09-05 12:27:12.679
TOTAL,2060,eq,2023-09-05 12:13:13.512,15,0,0,0:1:15,5263,eq,2023-09-05 12:13:13.512,15,0,2023-09-05 12:27:12.873
ARCSMS2 GTARC|HSMSC2,39,ou,2023-09-05 11:42:24.465,46,0,0,0:3:50,2015,ou,2023-09-05 11:42:24.465,46,0,2023-09-05 12:27:13.048
MSCPROD GTARC|HMSC,11,ou,2023-09-05 11:35:46.273,53,0,0,0:4:25,66,ou,2023-09-05 11:35:46.273,53,0,2023-09-05 12:27:13.092
MSCPROD GTARCEP|HMSC,15,ou,2023-09-05 11:34:33.843,54,0,0,0:4:30,409,ou,2023-09-05 11:34:33.843,54,0,2023-09-05 12:27:13.140
ARCPSMS GTARCEP|HSMSCO2,156,ou,2023-09-05 11:33:40.988,55,0,0,0:4:35,4236,ou,2023-09-05 11:33:40.988,55,0,2023-09-05 12:27:13.187
ARCSMS2 GTARCEP|HSMSC2,9,ou,2023-09-05 11:27:32.799,61,0,0,0:5:5,278,ou,2023-09-05 11:27:32.799,61,0,2023-09-05 12:27:13.232
ARCSMS2 GTARCEP|OSMSC2,31,ou,2023-09-05 11:26:46.066,62,0,0,0:5:10,1788,ou,2023-09-05 11:26:46.066,62,0,2023-09-05 12:27:13.275
SBC_IMS GTARC|SBCIMS,3,ou,2023-09-05 11:26:46.791,62,0,0,0:5:10,7,ou,2023-09-05 11:26:46.791,62,0,2023-09-05 12:27:13.317
