label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
MSCPROD GTFSTAT|HMSC,146,eq,2023-04-27 16:42:02.157,2,0,0,0:0:10,1011,eq,2023-04-27 16:42:02.157,2,0,2023-04-27 16:43:03.031
MSCPROD GTICT|HMSCINT,16,eq,2023-04-27 16:42:02.359,2,0,0,0:0:10,53,eq,2023-04-27 16:42:02.359,2,0,2023-04-27 16:43:03.212
MSCPROD GTICT|HMSCNAT,16,eq,2023-04-27 16:42:02.570,2,0,0,0:0:10,37,eq,2023-04-27 16:42:02.570,2,0,2023-04-27 16:43:03.395
MSCPROD GTMACH|GTNEXGN,16,eq,2023-04-27 16:42:02.778,2,0,0,0:0:10,20,eq,2023-04-27 16:42:02.778,2,0,2023-04-27 16:43:03.578
TOTAL,194,eq,2023-04-27 16:43:03.764,1,0,0,00:00:00,1510,eq,2023-04-27 16:43:03.785,1,0,2023-04-27 16:43:03.767
MSCPROD GTARC|HMSC,31,ou,2023-04-27 16:42:03.180,2,0,0,0:0:10,104,ou,2023-04-27 16:42:03.180,2,0,2023-04-27 16:43:03.938
ARCPSMS GTARCEP|HSMSCO2,16,ou,2023-04-27 16:41:04.456,3,0,0,0:0:15,44,ou,2023-04-27 16:41:04.456,3,0,2023-04-27 16:43:03.985
ARCSMS2 GTARC|HSMSC2,10,ou,2023-04-27 16:41:04.506,3,0,0,0:0:15,60,ou,2023-04-27 16:41:04.506,3,0,2023-04-27 16:43:04.031
ARCSMS2 GTARCEP|HSMSC2,10,ou,2023-04-27 16:41:04.556,3,0,0,0:0:15,32,ou,2023-04-27 16:41:04.556,3,0,2023-04-27 16:43:04.075
ARCSMS2 GTARCEP|OSMSC2,8,ou,2023-04-27 16:41:04.604,3,0,0,0:0:15,30,ou,2023-04-27 16:41:04.604,3,0,2023-04-27 16:43:04.120
ARC_SMS GTARC|HSMSC,1,ou,2023-04-27 16:41:04.653,3,0,0,0:0:15,1,ou,2023-04-27 16:41:04.653,3,0,2023-04-27 16:43:04.164
GTSMSC2 GTSGBDO|ESMSC2,3,ou,2023-04-27 16:41:04.700,3,0,0,0:0:15,419,ou,2023-04-27 16:41:04.700,3,0,2023-04-27 16:43:04.205
MSCPROD GTARCEP|HMSC,5,ou,2023-04-27 16:41:04.747,3,0,0,0:0:15,18,ou,2023-04-27 16:41:04.747,3,0,2023-04-27 16:43:04.247
SBC_IMS GTARC|SBCIMS,2,ou,2023-04-27 16:41:04.793,3,0,0,0:0:15,9,ou,2023-04-27 16:41:04.793,3,0,2023-04-27 16:43:04.288
GTSBC2 GTARC|SBC,1,ou,2023-04-27 14:36:35.167,6,0,0,0:0:30,2,ou,2023-04-27 14:36:35.167,6,0,2023-04-27 16:43:04.329
GTSMSCT GTSGBDO|ESMSC,6,ou,2023-04-26 14:35:59.306,8,0,0,0:0:40,6,ou,2023-04-26 14:35:59.306,8,0,2023-04-27 16:43:04.373
MSCPROD GTSGBDO|MSCMAS,30,ou,2023-04-26 14:35:59.354,8,0,0,0:0:40,255,ou,2023-04-26 14:35:59.354,8,0,2023-04-27 16:43:04.413
