label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
MSCPROD GTFSTAT|HMSC,197,eq,2023-04-27 16:57:02.445,1,0,0,00:00:00,1062,eq,2023-04-27 16:57:02.467,1,0,2023-04-27 16:57:02.448
MSCPROD GTICT|HMSCINT,17,eq,2023-04-27 16:57:02.668,1,0,0,00:00:00,88,eq,2023-04-27 16:57:02.695,1,0,2023-04-27 16:57:02.671
MSCPROD GTICT|HMSCNAT,17,eq,2023-04-27 16:57:02.906,1,0,0,00:00:00,72,eq,2023-04-27 16:57:02.929,1,0,2023-04-27 16:57:02.908
MSCPROD GTMACH|GTNEXGN,17,eq,2023-04-27 16:57:03.138,1,0,0,00:00:00,23,eq,2023-04-27 16:57:03.161,1,0,2023-04-27 16:57:03.141
TOTAL,248,eq,2023-04-27 16:57:03.356,1,0,0,00:00:00,1912,eq,2023-04-27 16:57:03.379,1,0,2023-04-27 16:57:03.359
ARCPSMS GTARCEP|HSMSCO2,58,ou,2023-04-27 16:56:04.284,2,0,0,0:0:10,152,ou,2023-04-27 16:56:04.284,2,0,2023-04-27 16:57:03.573
ARCSMS2 GTARC|HSMSC2,39,ou,2023-04-27 16:56:04.338,2,0,0,0:0:10,138,ou,2023-04-27 16:56:04.338,2,0,2023-04-27 16:57:03.628
ARCSMS2 GTARCEP|HSMSC2,31,ou,2023-04-27 16:56:04.387,2,0,0,0:0:10,94,ou,2023-04-27 16:56:04.387,2,0,2023-04-27 16:57:03.687
ARCSMS2 GTARCEP|OSMSC2,28,ou,2023-04-27 16:56:04.432,2,0,0,0:0:10,89,ou,2023-04-27 16:56:04.432,2,0,2023-04-27 16:57:03.741
GTSMSC2 GTSGBDO|ESMSC2,37,ou,2023-04-27 16:56:04.481,2,0,0,0:0:10,498,ou,2023-04-27 16:56:04.481,2,0,2023-04-27 16:57:03.793
MSCPROD GTARC|HMSC,32,ou,2023-04-27 16:56:04.532,2,0,0,0:0:10,154,ou,2023-04-27 16:56:04.532,2,0,2023-04-27 16:57:03.848
MSCPROD GTARCEP|HMSC,13,ou,2023-04-27 16:56:04.577,2,0,0,0:0:10,45,ou,2023-04-27 16:56:04.577,2,0,2023-04-27 16:57:03.898
SBC_IMS GTARC|SBCIMS,2,ou,2023-04-27 16:56:04.622,2,0,0,0:0:10,13,ou,2023-04-27 16:56:04.622,2,0,2023-04-27 16:57:03.962
ARC_SMS GTARC|HSMSC,1,ou,2023-04-27 16:51:04.907,7,0,0,0:0:35,2,ou,2023-04-27 16:51:04.907,7,0,2023-04-27 16:57:04.014
ARC_SMS GTARCEP|HSMSC,2,ou,2023-04-27 16:51:04.957,7,0,0,0:0:35,2,ou,2023-04-27 16:51:04.957,7,0,2023-04-27 16:57:04.063
ARC_SMS GTARCEP|OSMSC,2,ou,2023-04-27 16:51:05.008,7,0,0,0:0:35,2,ou,2023-04-27 16:51:05.008,7,0,2023-04-27 16:57:04.113
GTSBC2 GTARC|SBC,1,ou,2023-04-27 14:36:35.167,20,0,0,0:1:40,2,ou,2023-04-27 14:36:35.167,20,0,2023-04-27 16:57:04.161
GTSMSCT GTSGBDO|ESMSC,6,ou,2023-04-26 14:35:59.306,22,0,0,0:1:50,6,ou,2023-04-26 14:35:59.306,22,0,2023-04-27 16:57:04.211
MSCPROD GTSGBDO|MSCMAS,30,ou,2023-04-26 14:35:59.354,22,0,0,0:1:50,255,ou,2023-04-26 14:35:59.354,22,0,2023-04-27 16:57:04.258
