label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
PGWCDRM GTARC|LTEM,0,eq,2023-05-16 10:22:02.761,2,0,0,0:0:10,0,eq,2023-05-16 10:22:02.761,2,0,2023-05-16 10:23:02.406
PGWCDRM GTARC|PGWCD,0,eq,2023-05-16 09:09:12.045,75,0,0,1:0:15,,eq,2023-05-16 09:09:12.045,75,0,2023-05-16 10:23:02.647
PGWCDRM GTSGBDO|LTEPGMA,0,in,2023-05-16 10:23:02.907,1,0,0,00:00:00,0,in,2023-05-16 10:23:02.942,1,0,2023-05-16 10:23:02.910
PGWCDRM GTSGBDO|LTEPGQ4,0,in,2023-05-16 10:23:03.189,1,0,0,00:00:00,0,in,2023-05-16 10:23:03.224,1,0,2023-05-16 10:23:03.192
PRD_HC3 GTICT|HC34NAT,0,eq,2023-05-16 09:12:18.278,72,0,0,1:0:0,0,eq,2023-05-16 09:12:18.278,72,0,2023-05-16 10:23:03.446
SGWCDRM GTARC|SGWCDR,0,eq,2023-05-16 10:22:03.384,2,0,0,0:0:10,0,eq,2023-05-16 10:22:03.384,2,0,2023-05-16 10:23:03.672
SGWCDRM GTSGBDO|LTES4GR,0,in,2023-05-16 10:23:03.904,1,0,0,00:00:00,0,in,2023-05-16 10:23:03.933,1,0,2023-05-16 10:23:03.907
TOTAL,0,eq,2023-05-16 09:09:07.632,75,0,0,1:0:15,0,eq,2023-05-16 09:09:07.632,75,0,2023-05-16 10:23:04.159
GTSCDR GTMACH|NEXGT,0,ou,2023-05-16 10:23:04.939,1,0,0,00:00:00,0,ou,2023-05-16 10:23:04.963,1,0,2023-05-16 10:23:04.942
GTSCDR GTSGBDO|LTESCMA,0,ou,2023-05-16 10:23:04.996,1,0,0,00:00:00,0,ou,2023-05-16 10:23:05.030,1,0,2023-05-16 10:23:04.999
GTSCDR GTSGBDO|LTSC3GR,0,ou,2023-05-16 10:23:05.082,1,0,0,00:00:00,0,ou,2023-05-16 10:23:05.120,1,0,2023-05-16 10:23:05.085
SGWCDRM GTMACH|NEXGT,0,ou,2023-05-16 10:23:05.166,1,0,0,00:00:00,0,ou,2023-05-16 10:23:05.189,1,0,2023-05-16 10:23:05.169
SGWCDRM GTSGBDO|LTESGMA,0,ou,2023-05-16 10:23:05.308,1,0,0,00:00:00,0,ou,2023-05-16 10:23:05.332,1,0,2023-05-16 10:23:05.311
GTSCDR GTARC|SCDR,0,ou,2023-05-16 10:19:05.797,5,0,0,0:0:25,0,ou,2023-05-16 10:19:05.797,5,0,2023-05-16 10:23:05.408
PRD_HC3 GTICT|HC34INT,0,ou,2023-05-16 10:13:38.853,11,0,0,0:0:55,0,ou,2023-05-16 10:13:38.853,11,0,2023-05-16 10:23:05.461
PRD_HC3 GTSGBDO|HC34MA,0,ou,2023-05-16 10:13:38.916,11,0,0,0:0:55,0,ou,2023-05-16 10:13:38.916,11,0,2023-05-16 10:23:05.527
PRD_HC3 GTSGBDO|HC3EMRQ,0,ou,2023-05-16 09:53:05.406,31,0,0,0:2:35,0,ou,2023-05-16 09:53:05.406,31,0,2023-05-16 10:23:05.578
PRD_HC3 GTARIS|AHC34,0,ou,2023-05-16 09:50:04.697,34,0,0,0:2:50,0,ou,2023-05-16 09:50:04.697,34,0,2023-05-16 10:23:05.628
PRD_HC3 GTARC|AHC34,0,ou,2023-05-16 09:36:04.709,48,0,0,0:4:0,0,ou,2023-05-16 09:36:04.709,48,0,2023-05-16 10:23:05.688
PRD2_TP GTARC|TAP0311,0,ou,2023-05-16 09:31:37.758,53,0,0,0:4:25,0,ou,2023-05-16 09:31:37.758,53,0,2023-05-16 10:23:05.737
PRD2_TP GTARIS|TAP0312,0,ou,2023-05-16 09:31:38.023,53,0,0,0:4:25,0,ou,2023-05-16 09:31:38.023,53,0,2023-05-16 10:23:05.786
