label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
MSCPROD GTFSTAT|HMSC,0,eq,2023-04-25 09:53:32.207,6,0,0,0:0:30,0,eq,2023-04-25 09:53:32.207,6,0,2023-04-26 13:12:13.495
MSCPROD GTICT|HMSCINT,0,eq,2023-04-26 13:12:13.684,1,0,0,00:00:00,0,eq,2023-04-26 13:12:13.706,1,0,2023-04-26 13:12:13.687
MSCPROD GTICT|HMSCNAT,0,eq,2023-04-26 13:12:13.889,1,0,0,00:00:00,0,eq,2023-04-26 13:12:13.916,1,0,2023-04-26 13:12:13.892
MSCPROD GTMACH|GTNEXGN,0,eq,2023-04-25 09:53:32.768,6,0,0,0:0:30,0,eq,2023-04-25 09:53:32.768,6,0,2023-04-26 13:12:14.093
TOTAL,0,eq,2023-04-25 09:53:33.143,6,0,0,0:0:30,0,eq,2023-04-25 09:53:33.143,6,0,2023-04-26 13:12:14.289
GTSMSC2 GTSGBDO|ESMSC2,0,ou,2023-04-26 13:12:15.076,1,0,0,00:00:00,0,ou,2023-04-26 13:12:15.096,1,0,2023-04-26 13:12:15.079
MSCPROD GTARC|HMSC,0,ou,2023-04-26 13:12:15.121,1,0,0,00:00:00,0,ou,2023-04-26 13:12:15.141,1,0,2023-04-26 13:12:15.124
MSCPROD GTSGBDO|MSCMAS,0,ou,2023-04-26 13:12:15.166,1,0,0,00:00:00,0,ou,2023-04-26 13:12:15.186,1,0,2023-04-26 13:12:15.168
SBC_IMS GTARC|SBCIMS,0,ou,2023-04-26 13:12:15.211,1,0,0,00:00:00,0,ou,2023-04-26 13:12:15.231,1,0,2023-04-26 13:12:15.214
ARCPSMS GTARCEP|HSMSCO2,0,ou,2023-04-26 10:57:34.042,2,0,0,0:0:10,0,ou,2023-04-26 10:57:34.042,2,0,2023-04-26 13:12:15.255
ARCSMS2 GTARC|HSMSC2,0,ou,2023-04-26 10:57:34.081,2,0,0,0:0:10,0,ou,2023-04-26 10:57:34.081,2,0,2023-04-26 13:12:15.293
ARCSMS2 GTARCEP|HSMSC2,0,ou,2023-04-26 10:57:34.123,2,0,0,0:0:10,0,ou,2023-04-26 10:57:34.123,2,0,2023-04-26 13:12:15.333
ARCSMS2 GTARCEP|OSMSC2,0,ou,2023-04-26 10:57:34.166,2,0,0,0:0:10,0,ou,2023-04-26 10:57:34.166,2,0,2023-04-26 13:12:15.372
MSCPROD GTARCEP|HMSC,0,ou,2023-04-26 10:57:34.205,2,0,0,0:0:10,0,ou,2023-04-26 10:57:34.205,2,0,2023-04-26 13:12:15.412
