label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
MSCPROD GTFSTAT|HMSC,0,eq,2023-04-25 09:53:32.145,6,0,0,0:0:30,0,eq,2023-04-25 09:53:32.145,6,0,2023-04-26 13:12:13.436
MSCPROD GTICT|HMSCINT,0,eq,2023-04-26 13:12:13.622,1,0,0,00:00:00,0,eq,2023-04-26 13:12:13.643,1,0,2023-04-26 13:12:13.624
MSCPROD GTICT|HMSCNAT,0,eq,2023-04-26 13:12:13.817,1,0,0,00:00:00,0,eq,2023-04-26 13:12:13.840,1,0,2023-04-26 13:12:13.820
MSCPROD GTMACH|GTNEXGN,0,eq,2023-04-25 09:53:32.705,6,0,0,0:0:30,0,eq,2023-04-25 09:53:32.705,6,0,2023-04-26 13:12:14.027
TOTAL,0,eq,2023-04-25 09:53:33.085,6,0,0,0:0:30,0,eq,2023-04-25 09:53:33.085,6,0,2023-04-26 13:12:14.220
GTSMSC2 GTSGBDO|ESMSC2,0,ou,2023-04-26 13:12:14.704,1,0,0,00:00:00,0,ou,2023-04-26 13:12:14.723,1,0,2023-04-26 13:12:14.707
MSCPROD GTARC|HMSC,0,ou,2023-04-26 13:12:14.747,1,0,0,00:00:00,0,ou,2023-04-26 13:12:14.766,1,0,2023-04-26 13:12:14.749
MSCPROD GTSGBDO|MSCMAS,0,ou,2023-04-26 13:12:14.789,1,0,0,00:00:00,0,ou,2023-04-26 13:12:14.808,1,0,2023-04-26 13:12:14.792
SBC_IMS GTARC|SBCIMS,0,ou,2023-04-26 13:12:14.832,1,0,0,00:00:00,0,ou,2023-04-26 13:12:14.852,1,0,2023-04-26 13:12:14.834
ARCPSMS GTARCEP|HSMSCO2,0,ou,2023-04-26 10:57:33.837,2,0,0,0:0:10,0,ou,2023-04-26 10:57:33.837,2,0,2023-04-26 13:12:14.877
ARCSMS2 GTARC|HSMSC2,0,ou,2023-04-26 10:57:33.877,2,0,0,0:0:10,0,ou,2023-04-26 10:57:33.877,2,0,2023-04-26 13:12:14.919
ARCSMS2 GTARCEP|HSMSC2,0,ou,2023-04-26 10:57:33.918,2,0,0,0:0:10,0,ou,2023-04-26 10:57:33.918,2,0,2023-04-26 13:12:14.956
ARCSMS2 GTARCEP|OSMSC2,0,ou,2023-04-26 10:57:33.957,2,0,0,0:0:10,0,ou,2023-04-26 10:57:33.957,2,0,2023-04-26 13:12:14.994
MSCPROD GTARCEP|HMSC,0,ou,2023-04-26 10:57:33.996,2,0,0,0:0:10,0,ou,2023-04-26 10:57:33.996,2,0,2023-04-26 13:12:15.032
