label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTEVC GTSGBDO|CBEVCMA,177,eq,2023-05-12 14:53:01.931,3,0,0,0:0:15,1844,eq,2023-05-12 14:53:01.931,3,0,2023-05-12 14:55:03.807
GTEVCTR GTSGBDO|CEVCTMA,299,eq,2023-05-12 14:53:02.195,3,0,0,0:0:15,1456,eq,2023-05-12 14:53:02.195,3,0,2023-05-12 14:55:05.935
GTOCS5D GTSGBDO|CBP52DA,2,in,2023-05-12 14:55:07.393,1,0,0,00:00:00,1156,in,2023-05-12 14:55:07.558,1,0,2023-05-12 14:55:07.395
GTOCS5L GTSGBDO|CBPLOAN,3,in,2023-05-12 14:55:08.881,1,0,0,00:00:00,338,in,2023-05-12 14:55:09.032,1,0,2023-05-12 14:55:08.896
TOTAL,481,dw,2023-05-12 14:55:10.876,1,-31,-31,00:00:00,13080,dw,2023-05-12 14:55:11.098,1,-31,2023-05-12 14:55:10.894
ARC_DAT GTARC|ODATA,13,ou,2023-05-12 14:55:12.391,1,0,0,00:00:00,545,ou,2023-05-12 14:55:12.570,1,0,2023-05-12 14:55:12.415
ARC_DAT GTSGBDO|OCSDATA,1,ou,2023-05-12 14:55:12.759,1,0,0,00:00:00,144,ou,2023-05-12 14:55:12.925,1,0,2023-05-12 14:55:12.780
ARC_MGR GTARC|OMGR,10,ou,2023-05-12 14:55:13.140,1,0,0,00:00:00,2432,ou,2023-05-12 14:55:13.343,1,0,2023-05-12 14:55:13.169
ARC_MON GTARC|OMON,4,ou,2023-05-12 14:55:13.588,1,0,0,00:00:00,695,ou,2023-05-12 14:55:13.756,1,0,2023-05-12 14:55:13.608
ARC_SMO GTARC|OSMS,8,ou,2023-05-12 14:55:13.971,1,0,0,00:00:00,542,ou,2023-05-12 14:55:14.100,1,0,2023-05-12 14:55:13.984
GTOCSMO GTSGBDO|CBPMON,7,ou,2023-05-12 14:49:02.566,7,0,0,0:0:35,850,ou,2023-05-12 14:49:02.566,7,0,2023-05-12 14:55:14.249
GTOCSMO GTSGBDO|CBPMON5,7,ou,2023-05-12 14:49:02.764,7,0,0,0:0:35,988,ou,2023-05-12 14:49:02.764,7,0,2023-05-12 14:55:14.589
ARC_MGR GTSGBDO|OCSMGR,13,ou,2023-05-12 14:43:02.849,13,0,0,0:1:5,635,ou,2023-05-12 14:43:02.849,13,0,2023-05-12 14:55:14.837
ARC_MON GTSGBDO|OCSMON,8,ou,2023-05-12 14:43:02.976,13,0,0,0:1:5,195,ou,2023-05-12 14:43:02.976,13,0,2023-05-12 14:55:15.066
ARC_SMO GTSGBDO|OCSSMS,6,ou,2023-05-12 14:43:03.097,13,0,0,0:1:5,143,ou,2023-05-12 14:43:03.097,13,0,2023-05-12 14:55:15.238
GTEVCTR GTARC|OCTRA,1,ou,2023-05-12 14:42:07.032,14,0,0,0:1:10,20,ou,2023-05-12 14:42:07.032,14,0,2023-05-12 14:55:15.443
GTOCS5R GTSGBDO|CBPRE52,6,ou,2023-05-12 14:42:07.089,14,0,0,0:1:10,242,ou,2023-05-12 14:42:07.089,14,0,2023-05-12 14:55:15.672
ARC_GFT GTARC|OGFT,1,ou,2023-05-12 14:26:04.571,30,0,0,0:2:30,582,ou,2023-05-12 14:26:04.571,30,0,2023-05-12 14:55:15.870
ARC_GFT GTSGBDO|OCSGFT,1,ou,2023-05-12 14:26:04.641,30,0,0,0:2:30,424,ou,2023-05-12 14:26:04.641,30,0,2023-05-12 14:55:16.106
GTOCS5M GTSGBDO|CBPMG52,1,ou,2023-05-12 14:26:04.849,30,0,0,0:2:30,602,ou,2023-05-12 14:26:04.849,30,0,2023-05-12 14:55:16.331
GTOCS5V GTSGBDO|CBPVO52,1,ou,2023-05-12 14:26:05.007,30,0,0,0:2:30,103,ou,2023-05-12 14:26:05.007,30,0,2023-05-12 14:55:16.463
ARC_LOA GTARC|OCSL,1,ou,2023-05-12 14:16:05.186,40,0,0,0:3:20,235,ou,2023-05-12 14:16:05.186,40,0,2023-05-12 14:55:16.719
ARC_LOA GTSGBDO|OCSLOAN,1,ou,2023-05-12 14:16:05.274,40,0,0,0:3:20,182,ou,2023-05-12 14:16:05.274,40,0,2023-05-12 14:55:16.994
GTEVC GTARC|OCEVC,1,ou,2023-05-12 13:57:02.638,59,0,0,0:4:55,28,ou,2023-05-12 13:57:02.638,59,0,2023-05-12 14:55:17.288
GTOCS5S GTSGBDO|CBPSM52,5,ou,2023-05-12 13:17:02.118,99,0,0,1:2:15,275,ou,2023-05-12 13:17:02.118,99,0,2023-05-12 14:55:17.546
ARC_REC GTARC|OREC,4,ou,2023-05-12 12:47:02.735,129,0,0,1:4:45,373,ou,2023-05-12 12:47:02.735,129,0,2023-05-12 14:55:17.798
GTEVC GTSGBDO|CBPEVC,1,ou,2023-05-12 10:27:02.788,269,0,0,3:4:25,13,ou,2023-05-12 10:27:02.788,269,0,2023-05-12 14:55:17.933
ARC_VOU GTARC|OVOU,6,ou,2023-05-12 10:26:04.151,270,0,0,3:4:30,242,ou,2023-05-12 10:26:04.151,270,0,2023-05-12 14:55:18.129
ARC_VOU GTSGBDO|OCSVOU,6,ou,2023-05-12 10:26:04.203,270,0,0,3:4:30,184,ou,2023-05-12 10:26:04.203,270,0,2023-05-12 14:55:18.355
ARC_REC GTSGBDO|OCSREC,1,ou,2023-05-12 07:36:05.949,440,0,0,6:0:40,107,ou,2023-05-12 07:36:05.949,440,0,2023-05-12 14:55:18.569
