label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARCPSMS GTARCEP|HSMSCO2,0,eq,2023-05-16 09:11:10.730,16,0,0,0:1:20,,eq,2023-05-16 09:11:10.730,16,0,2023-05-16 09:26:02.605
ARCSMS2 GTARC|HSMSC2,0,eq,2023-05-16 09:11:11.137,16,0,0,0:1:20,,eq,2023-05-16 09:11:11.137,16,0,2023-05-16 09:26:02.809
ARCSMS2 GTARCEP|HSMSC2,0,in,2023-05-16 09:26:03.049,1,0,0,00:00:00,0,in,2023-05-16 09:26:03.081,1,0,2023-05-16 09:26:03.053
ARCSMS2 GTARCEP|OSMSC2,0,in,2023-05-16 09:26:03.322,1,0,0,00:00:00,0,in,2023-05-16 09:26:03.353,1,0,2023-05-16 09:26:03.326
GTSBC2 GTARC|SBC,0,eq,2023-05-16 09:23:03.484,4,0,0,0:0:20,0,eq,2023-05-16 09:23:03.484,4,0,2023-05-16 09:26:03.538
GTSMSC2 GTSGBDO|ESMSC2,0,eq,2023-05-16 09:26:03.746,1,0,0,00:00:00,0,eq,2023-05-16 09:26:03.768,1,0,2023-05-16 09:26:03.749
MSCPROD GTARC|HMSC,0,eq,2023-05-16 09:14:04.033,13,0,0,0:1:5,0,eq,2023-05-16 09:14:04.033,13,0,2023-05-16 09:26:03.951
MSCPROD GTARCEP|HMSC,0,eq,2023-05-16 09:26:04.157,1,0,0,00:00:00,0,eq,2023-05-16 09:26:04.178,1,0,2023-05-16 09:26:04.160
MSCPROD GTARIS|HMSC,0,in,2023-05-16 09:26:04.412,1,0,0,00:00:00,0,in,2023-05-16 09:26:04.444,1,0,2023-05-16 09:26:04.414
MSCPROD GTFSTAT|HMSC,0,eq,2023-05-16 09:14:04.434,13,0,0,0:1:5,0,eq,2023-05-16 09:14:04.434,13,0,2023-05-16 09:26:04.642
MSCPROD GTICT|HMSCINT,0,in,2023-05-16 09:26:04.887,1,0,0,00:00:00,0,in,2023-05-16 09:26:04.922,1,0,2023-05-16 09:26:04.890
MSCPROD GTICT|HMSCNAT,0,in,2023-05-16 09:26:05.132,1,0,0,00:00:00,0,in,2023-05-16 09:26:05.161,1,0,2023-05-16 09:26:05.135
MSCPROD GTMACH|GTNEXGN,0,in,2023-05-16 09:26:05.364,1,0,0,00:00:00,0,in,2023-05-16 09:26:05.390,1,0,2023-05-16 09:26:05.367
MSCPROD GTSGBDO|MSCMAS,0,in,2023-05-16 09:26:05.611,1,0,0,00:00:00,0,in,2023-05-16 09:26:05.639,1,0,2023-05-16 09:26:05.614
MSCPROD GTSGBDO|MSCREQ,0,eq,2023-05-16 09:15:14.930,12,0,0,0:1:0,0,eq,2023-05-16 09:15:14.930,12,0,2023-05-16 09:26:05.826
SBC_IMS GTARC|SBCIMS,0,eq,2023-05-16 09:22:05.484,5,0,0,0:0:25,0,eq,2023-05-16 09:22:05.484,5,0,2023-05-16 09:26:06.029
TOTAL,0,eq,2023-05-16 09:14:05.655,13,0,0,0:1:5,0,eq,2023-05-16 09:14:05.655,13,0,2023-05-16 09:26:06.222
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-05-16 09:25:07.564,2,0,0,0:0:10,0,ou,2023-05-16 09:25:07.564,2,0,2023-05-16 09:26:06.645
ARC_SMS GTARC|HSMSC,0,ou,2023-05-16 09:17:06.219,10,0,0,0:0:50,0,ou,2023-05-16 09:17:06.219,10,0,2023-05-16 09:26:06.693
ARC_SMS GTARCEP|HSMSC,0,ou,2023-05-16 09:17:06.265,10,0,0,0:0:50,0,ou,2023-05-16 09:17:06.265,10,0,2023-05-16 09:26:06.740
ARC_SMS GTARCEP|OSMSC,0,ou,2023-05-16 09:16:07.053,11,0,0,0:0:55,0,ou,2023-05-16 09:16:07.053,11,0,2023-05-16 09:26:06.788
