label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARCSMS2 GTARC|HSMSC2,50894,in,2023-03-21 21:17:19.175,1,0,0,00:00:00,50894,in,2023-03-21 21:17:19.207,1,0,2023-03-21 21:17:19.177
MSCPROD GTARC|HMSC,21,in,2023-03-21 21:17:19.369,1,0,0,00:00:00,89,in,2023-03-21 21:17:19.398,1,0,2023-03-21 21:17:19.371
MSCPROD GTFSTAT|HMSC,356,dw,2023-03-21 21:17:19.612,1,-183,-183,00:00:00,539,dw,2023-03-21 21:17:19.631,1,-183,2023-03-21 21:17:19.614
MSCPROD GTICT|HMSCINT,21,up,2023-03-21 21:17:19.786,1,2,2,00:00:00,46,up,2023-03-21 21:17:19.807,1,2,2023-03-21 21:17:19.789
MSCPROD GTICT|HMSCNAT,21,up,2023-03-21 21:17:19.962,1,2,2,00:00:00,46,up,2023-03-21 21:17:19.982,1,2,2023-03-21 21:17:19.965
MSCPROD GTMACH|GTNEXGN,21,up,2023-03-21 21:17:20.136,1,2,2,00:00:00,330,up,2023-03-21 21:17:20.156,1,2,2023-03-21 21:17:20.139
TOTAL,51334,up,2023-03-21 21:17:20.308,1,50738,50738,00:00:00,51707,up,2023-03-21 21:17:20.327,1,50738,2023-03-21 21:17:20.310
ARC_SMS GTARC|HSMSC,37,ou,2022-05-08 14:22:16.806,2,0,0,0:0:10,37,ou,2022-05-08 14:22:16.806,2,0,2023-03-21 21:17:20.462
ARC_SMS GTARCEP|HSMSC,28,ou,2022-05-08 14:22:16.873,2,0,0,0:0:10,28,ou,2022-05-08 14:22:16.873,2,0,2023-03-21 21:17:20.501
ARC_SMS GTARCEP|OSMSC,25,ou,2022-05-08 14:22:16.932,2,0,0,0:0:10,25,ou,2022-05-08 14:22:16.932,2,0,2023-03-21 21:17:20.539
GTSMSCT GTSGBDO|ESMSC,26,ou,2022-05-08 14:22:16.994,2,0,0,0:0:10,26,ou,2022-05-08 14:22:16.994,2,0,2023-03-21 21:17:20.578
MSCPROD GTARCEP|HMSC,22,ou,2022-05-08 14:22:17.113,2,0,0,0:0:10,22,ou,2022-05-08 14:22:17.113,2,0,2023-03-21 21:17:20.615
GTSBC2 GTARC|SBC,1,ou,2022-05-08 12:39:40.551,9,0,0,0:0:45,1,ou,2022-05-08 12:39:40.551,9,0,2023-03-21 21:17:20.653
