label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
PGWCDRM GTARC|LTEM,239,dw,2023-05-16 09:43:02.250,1,-20,-20,00:00:00,454,dw,2023-05-16 09:43:02.272,1,-20,2023-05-16 09:43:02.253
PGWCDRM GTARC|PGWCD,545,up,2023-05-16 09:41:03.357,3,10,57,0:0:15,1140,up,2023-05-16 09:41:03.357,3,10,2023-05-16 09:43:02.568
PGWCDRM GTSGBDO|LTEPGMA,3,in,2023-05-16 09:43:03.011,1,0,0,00:00:00,77,in,2023-05-16 09:43:03.043,1,0,2023-05-16 09:43:03.014
PGWCDRM GTSGBDO|LTEPGQ4,3,in,2023-05-16 09:43:03.365,1,0,0,00:00:00,89,in,2023-05-16 09:43:03.394,1,0,2023-05-16 09:43:03.368
PRD_HC3 GTICT|HC34NAT,50,eq,2023-05-16 09:43:03.746,1,0,0,00:00:00,88,eq,2023-05-16 09:43:03.771,1,0,2023-05-16 09:43:03.749
SGWCDRM GTARC|SGWCDR,133,dw,2023-05-16 09:42:09.815,2,-8,-11,0:0:10,460,dw,2023-05-16 09:42:09.815,2,-8,2023-05-16 09:43:04.079
SGWCDRM GTSGBDO|LTES4GR,4,in,2023-05-16 09:43:04.387,1,0,0,00:00:00,233,in,2023-05-16 09:43:04.418,1,0,2023-05-16 09:43:04.390
SGWCDRM GTSGBDO|LTESGMA,3,in,2023-05-16 09:43:04.788,1,0,0,00:00:00,31,in,2023-05-16 09:43:04.817,1,0,2023-05-16 09:43:04.791
TOTAL,980,dw,2023-05-16 09:43:05.428,1,-8,-8,00:00:00,1540,dw,2023-05-16 09:43:05.451,1,-8,2023-05-16 09:43:05.431
SGWCDRM GTMACH|NEXGT,3,ou,2023-05-16 09:43:05.908,1,0,0,00:00:00,203,ou,2023-05-16 09:43:05.930,1,0,2023-05-16 09:43:05.911
GTSCDR GTMACH|NEXGT,1,ou,2023-05-16 09:42:11.489,2,0,0,0:0:10,115,ou,2023-05-16 09:42:11.489,2,0,2023-05-16 09:43:06.003
PRD_HC3 GTARIS|AHC34,2,ou,2023-05-16 09:40:04.327,4,0,0,0:0:20,3,ou,2023-05-16 09:40:04.327,4,0,2023-05-16 09:43:06.069
GTSCDR GTARC|SCDR,2,ou,2023-05-16 09:38:04.656,6,0,0,0:0:30,23,ou,2023-05-16 09:38:04.656,6,0,2023-05-16 09:43:06.131
GTSCDR GTSGBDO|LTSC3GR,7,ou,2023-05-16 09:38:04.704,6,0,0,0:0:30,33,ou,2023-05-16 09:38:04.704,6,0,2023-05-16 09:43:06.245
PRD_HC3 GTARC|AHC34,1,ou,2023-05-16 09:36:04.079,8,0,0,0:0:40,3,ou,2023-05-16 09:36:04.079,8,0,2023-05-16 09:43:06.291
GTSCDR GTSGBDO|LTESCMA,1,ou,2023-05-16 09:34:06.404,10,0,0,0:0:50,17,ou,2023-05-16 09:34:06.404,10,0,2023-05-16 09:43:06.387
PRD2_TP GTARC|TAP0311,1,ou,2023-05-16 09:31:36.177,13,0,0,0:1:5,6,ou,2023-05-16 09:31:36.177,13,0,2023-05-16 09:43:06.447
PRD2_TP GTARIS|TAP0312,1,ou,2023-05-16 09:31:36.684,13,0,0,0:1:5,7,ou,2023-05-16 09:31:36.684,13,0,2023-05-16 09:43:06.492
PRD_HC3 GTICT|HC34INT,1,ou,2023-05-16 09:16:30.065,28,0,0,0:2:20,1,ou,2023-05-16 09:16:30.065,28,0,2023-05-16 09:43:06.601
PRD_HC3 GTSGBDO|HC34MA,1,ou,2023-05-16 09:16:30.112,28,0,0,0:2:20,1,ou,2023-05-16 09:16:30.112,28,0,2023-05-16 09:43:06.644
PRD_HC3 GTSGBDO|HC3EMRQ,1,ou,2023-05-16 09:16:30.244,28,0,0,0:2:20,1,ou,2023-05-16 09:16:30.244,28,0,2023-05-16 09:43:06.871
