label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARCPSMS GTARCEP|HSMSCO2,0,eq,2023-05-16 09:14:03.149,30,0,0,0:2:30,0,eq,2023-05-16 09:14:03.149,30,0,2023-05-16 09:43:03.256
MSCPROD GTARC|HMSC,0,eq,2023-05-16 09:14:03.966,30,0,0,0:2:30,0,eq,2023-05-16 09:14:03.966,30,0,2023-05-16 09:43:03.488
MSCPROD GTFSTAT|HMSC,0,eq,2023-05-16 09:14:04.370,30,0,0,0:2:30,0,eq,2023-05-16 09:14:04.370,30,0,2023-05-16 09:43:03.728
MSCPROD GTICT|HMSCINT,0,eq,2023-05-16 09:27:04.734,17,0,0,0:1:25,0,eq,2023-05-16 09:27:04.734,17,0,2023-05-16 09:43:03.978
MSCPROD GTICT|HMSCNAT,0,eq,2023-05-16 09:27:05.914,17,0,0,0:1:25,0,eq,2023-05-16 09:27:05.914,17,0,2023-05-16 09:43:04.215
MSCPROD GTMACH|GTNEXGN,0,eq,2023-05-16 09:27:06.139,17,0,0,0:1:25,0,eq,2023-05-16 09:27:06.139,17,0,2023-05-16 09:43:04.448
MSCPROD GTSGBDO|MSCREQ,0,eq,2023-05-16 09:15:14.869,29,0,0,0:2:25,0,eq,2023-05-16 09:15:14.869,29,0,2023-05-16 09:43:04.690
TOTAL,0,eq,2023-05-16 09:14:05.585,30,0,0,0:2:30,0,eq,2023-05-16 09:14:05.585,30,0,2023-05-16 09:43:04.943
ARCSMS2 GTARC|HSMSC2,0,ou,2023-05-16 09:43:05.734,1,0,0,00:00:00,0,ou,2023-05-16 09:43:05.756,1,0,2023-05-16 09:43:05.737
ARCSMS2 GTARCEP|HSMSC2,0,ou,2023-05-16 09:43:05.784,1,0,0,00:00:00,0,ou,2023-05-16 09:43:05.806,1,0,2023-05-16 09:43:05.787
ARCSMS2 GTARCEP|OSMSC2,0,ou,2023-05-16 09:43:05.835,1,0,0,00:00:00,0,ou,2023-05-16 09:43:05.860,1,0,2023-05-16 09:43:05.839
GTSMSC2 GTSGBDO|ESMSC2,0,ou,2023-05-16 09:43:05.887,1,0,0,00:00:00,0,ou,2023-05-16 09:43:05.909,1,0,2023-05-16 09:43:05.890
MSCPROD GTARCEP|HMSC,0,ou,2023-05-16 09:43:05.936,1,0,0,00:00:00,0,ou,2023-05-16 09:43:05.958,1,0,2023-05-16 09:43:05.939
MSCPROD GTARIS|HMSC,0,ou,2023-05-16 09:43:05.983,1,0,0,00:00:00,0,ou,2023-05-16 09:43:06.004,1,0,2023-05-16 09:43:05.986
MSCPROD GTSGBDO|MSCMAS,0,ou,2023-05-16 09:43:06.031,1,0,0,00:00:00,0,ou,2023-05-16 09:43:06.053,1,0,2023-05-16 09:43:06.034
ARC_SMS GTARC|HSMSC,0,ou,2023-05-16 09:42:07.578,2,0,0,0:0:10,0,ou,2023-05-16 09:42:07.578,2,0,2023-05-16 09:43:06.080
SBC_IMS GTARC|SBCIMS,0,ou,2023-05-16 09:42:07.620,2,0,0,0:0:10,0,ou,2023-05-16 09:42:07.620,2,0,2023-05-16 09:43:06.124
GTSBC2 GTARC|SBC,0,ou,2023-05-16 09:28:16.714,16,0,0,0:1:20,0,ou,2023-05-16 09:28:16.714,16,0,2023-05-16 09:43:06.165
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-05-16 09:28:16.764,16,0,0,0:1:20,0,ou,2023-05-16 09:28:16.764,16,0,2023-05-16 09:43:06.212
ARC_SMS GTARCEP|HSMSC,0,ou,2023-05-16 09:17:05.991,27,0,0,0:2:15,0,ou,2023-05-16 09:17:05.991,27,0,2023-05-16 09:43:06.257
ARC_SMS GTARCEP|OSMSC,0,ou,2023-05-16 09:16:06.872,28,0,0,0:2:20,0,ou,2023-05-16 09:16:06.872,28,0,2023-05-16 09:43:06.300
