label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTEVC GTSGBDO|CBEVCMA,0,eq,2023-05-08 10:08:01.851,271,0,0,3:4:35,0,eq,2023-05-08 10:08:01.851,271,0,2023-05-08 14:38:01.611
GTEVCTR GTSGBDO|CEVCTMA,0,eq,2023-05-08 00:13:02.019,866,0,0,12:0:10,0,eq,2023-05-08 00:13:02.019,866,0,2023-05-08 14:38:01.846
TOTAL,0,eq,2023-05-07 20:18:04.868,1101,0,0,15:1:45,0,eq,2023-05-07 20:18:04.868,1101,0,2023-05-08 14:38:02.053
GTOCS5V GTSGBDO|CBPVO52,0,ou,2023-05-08 14:36:08.448,3,0,0,0:0:15,0,ou,2023-05-08 14:36:08.448,3,0,2023-05-08 14:38:05.207
GTOCS5R GTSGBDO|CBPRE52,0,ou,2023-05-08 14:32:05.523,7,0,0,0:0:35,0,ou,2023-05-08 14:32:05.523,7,0,2023-05-08 14:38:05.262
GTOCS5D GTSGBDO|CBP52DA,0,ou,2023-05-08 14:27:05.537,12,0,0,0:1:0,0,ou,2023-05-08 14:27:05.537,12,0,2023-05-08 14:38:05.315
ARC_MGR GTARC|OMGR,0,ou,2023-05-08 14:25:12.753,14,0,0,0:1:10,0,ou,2023-05-08 14:25:12.753,14,0,2023-05-08 14:38:05.365
ARC_MGR GTSGBDO|OCSMGR,0,ou,2023-05-08 14:25:13.077,14,0,0,0:1:10,0,ou,2023-05-08 14:25:13.077,14,0,2023-05-08 14:38:05.417
ARC_MON GTARC|OMON,0,ou,2023-05-08 14:25:13.849,14,0,0,0:1:10,0,ou,2023-05-08 14:25:13.849,14,0,2023-05-08 14:38:05.466
ARC_MON GTSGBDO|OCSMON,0,ou,2023-05-08 14:25:14.644,14,0,0,0:1:10,0,ou,2023-05-08 14:25:14.644,14,0,2023-05-08 14:38:05.518
GTOCSMO GTSGBDO|CBPMON,0,ou,2023-05-08 14:25:15.062,14,0,0,0:1:10,0,ou,2023-05-08 14:25:15.062,14,0,2023-05-08 14:38:05.569
GTOCSMO GTSGBDO|CBPMON5,0,ou,2023-05-08 14:25:15.228,14,0,0,0:1:10,0,ou,2023-05-08 14:25:15.228,14,0,2023-05-08 14:38:05.622
ARC_SMO GTARC|OSMS,0,ou,2023-05-08 14:19:05.532,20,0,0,0:1:40,0,ou,2023-05-08 14:19:05.532,20,0,2023-05-08 14:38:05.676
ARC_SMO GTSGBDO|OCSSMS,0,ou,2023-05-08 14:19:05.584,20,0,0,0:1:40,0,ou,2023-05-08 14:19:05.584,20,0,2023-05-08 14:38:05.725
ARC_REC GTARC|OREC,0,ou,2023-05-08 14:17:05.556,22,0,0,0:1:50,0,ou,2023-05-08 14:17:05.556,22,0,2023-05-08 14:38:05.775
ARC_DAT GTARC|ODATA,0,ou,2023-05-08 14:13:04.850,26,0,0,0:2:10,0,ou,2023-05-08 14:13:04.850,26,0,2023-05-08 14:38:05.823
ARC_DAT GTSGBDO|OCSDATA,0,ou,2023-05-08 14:13:04.905,26,0,0,0:2:10,0,ou,2023-05-08 14:13:04.905,26,0,2023-05-08 14:38:05.870
GTOCS5L GTSGBDO|CBPLOAN,0,ou,2023-05-08 14:11:05.991,28,0,0,0:2:20,0,ou,2023-05-08 14:11:05.991,28,0,2023-05-08 14:38:05.916
GTEVC GTARC|OCEVC,0,ou,2023-05-08 13:53:05.080,46,0,0,0:3:50,0,ou,2023-05-08 13:53:05.080,46,0,2023-05-08 14:38:05.961
GTOCS5M GTSGBDO|CBPMG52,0,ou,2023-05-08 13:51:06.303,48,0,0,0:4:0,0,ou,2023-05-08 13:51:06.303,48,0,2023-05-08 14:38:06.006
ARC_GFT GTARC|OGFT,0,ou,2023-05-08 13:47:06.504,52,0,0,0:4:20,0,ou,2023-05-08 13:47:06.504,52,0,2023-05-08 14:38:06.051
ARC_GFT GTSGBDO|OCSGFT,0,ou,2023-05-08 13:47:06.568,52,0,0,0:4:20,0,ou,2023-05-08 13:47:06.568,52,0,2023-05-08 14:38:06.096
ARC_REC GTSGBDO|OCSREC,0,ou,2023-05-08 13:47:06.685,52,0,0,0:4:20,0,ou,2023-05-08 13:47:06.685,52,0,2023-05-08 14:38:06.140
ARC_VOU GTARC|OVOU,0,ou,2023-05-08 13:47:06.744,52,0,0,0:4:20,0,ou,2023-05-08 13:47:06.744,52,0,2023-05-08 14:38:06.188
ARC_VOU GTSGBDO|OCSVOU,0,ou,2023-05-08 13:47:06.808,52,0,0,0:4:20,0,ou,2023-05-08 13:47:06.808,52,0,2023-05-08 14:38:06.232
GTEVCTR GTARC|OCTRA,0,ou,2023-05-08 13:27:06.064,72,0,0,1:0:0,0,ou,2023-05-08 13:27:06.064,72,0,2023-05-08 14:38:06.272
GTEVCTR GTSGBDO|CBPEVCT,0,ou,2023-05-08 10:19:09.886,260,0,0,3:3:40,0,ou,2023-05-08 10:19:09.886,260,0,2023-05-08 14:38:06.313
GTOCS5S GTSGBDO|CBPSM52,0,ou,2023-05-08 09:47:36.638,292,0,0,4:0:20,0,ou,2023-05-08 09:47:36.638,292,0,2023-05-08 14:38:06.354
ARC_LOA GTARC|OCSL,0,ou,2023-05-08 05:51:06.008,528,0,0,7:2:0,0,ou,2023-05-08 05:51:06.008,528,0,2023-05-08 14:38:06.392
ARC_LOA GTSGBDO|OCSLOAN,0,ou,2023-05-08 05:51:06.062,528,0,0,7:2:0,0,ou,2023-05-08 05:51:06.062,528,0,2023-05-08 14:38:06.430
GTEVC GTSGBDO|CBPEVC,0,ou,2023-05-08 05:27:05.306,552,0,0,7:4:0,0,ou,2023-05-08 05:27:05.306,552,0,2023-05-08 14:38:06.466
