label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARC_DAT GTARC|ODATA,0,in,2023-05-12 15:18:02.457,1,0,0,00:00:00,0,in,2023-05-12 15:18:02.520,1,0,2023-05-12 15:18:02.463
ARC_DAT GTSGBDO|OCSDATA,0,in,2023-05-12 15:18:03.064,1,0,0,00:00:00,0,in,2023-05-12 15:18:03.102,1,0,2023-05-12 15:18:03.068
ARC_MON GTARC|OMON,0,in,2023-05-12 15:18:03.703,1,0,0,00:00:00,0,in,2023-05-12 15:18:03.837,1,0,2023-05-12 15:18:03.719
ARC_MON GTSGBDO|OCSMON,0,in,2023-05-12 15:18:04.799,1,0,0,00:00:00,0,in,2023-05-12 15:18:04.835,1,0,2023-05-12 15:18:04.802
ARC_SMO GTARC|OSMS,0,in,2023-05-12 15:18:05.102,1,0,0,00:00:00,0,in,2023-05-12 15:18:05.131,1,0,2023-05-12 15:18:05.105
ARC_SMO GTSGBDO|OCSSMS,0,in,2023-05-12 15:18:05.399,1,0,0,00:00:00,0,in,2023-05-12 15:18:05.429,1,0,2023-05-12 15:18:05.401
GTEVC GTSGBDO|CBEVCMA,0,eq,2023-05-12 07:47:06.032,452,0,0,6:1:40,0,eq,2023-05-12 07:47:06.032,452,0,2023-05-12 15:18:05.642
GTEVCTR GTSGBDO|CEVCTMA,0,eq,2023-05-12 07:47:08.031,452,0,0,6:1:40,0,eq,2023-05-12 07:47:08.031,452,0,2023-05-12 15:18:05.878
GTOCSMO GTSGBDO|CBPMON,0,in,2023-05-12 15:18:06.139,1,0,0,00:00:00,0,in,2023-05-12 15:18:06.165,1,0,2023-05-12 15:18:06.142
GTOCSMO GTSGBDO|CBPMON5,0,in,2023-05-12 15:18:06.418,1,0,0,00:00:00,0,in,2023-05-12 15:18:06.444,1,0,2023-05-12 15:18:06.421
TOTAL,0,eq,2023-05-12 07:47:11.816,452,0,0,6:1:40,0,eq,2023-05-12 07:47:11.816,452,0,2023-05-12 15:18:06.645
ARC_REC GTARC|OREC,0,ou,2023-05-12 15:17:05.124,2,0,0,0:0:10,0,ou,2023-05-12 15:17:05.124,2,0,2023-05-12 15:18:08.511
GTOCS5D GTSGBDO|CBP52DA,0,ou,2023-05-12 15:17:05.177,2,0,0,0:0:10,0,ou,2023-05-12 15:17:05.177,2,0,2023-05-12 15:18:08.557
ARC_MGR GTARC|OMGR,0,ou,2023-05-12 15:13:05.621,6,0,0,0:0:30,0,ou,2023-05-12 15:13:05.621,6,0,2023-05-12 15:18:08.606
ARC_MGR GTSGBDO|OCSMGR,0,ou,2023-05-12 15:13:05.684,6,0,0,0:0:30,0,ou,2023-05-12 15:13:05.684,6,0,2023-05-12 15:18:08.652
GTOCS5R GTSGBDO|CBPRE52,0,ou,2023-05-12 15:02:05.502,17,0,0,0:1:25,0,ou,2023-05-12 15:02:05.502,17,0,2023-05-12 15:18:08.699
GTOCS5L GTSGBDO|CBPLOAN,0,ou,2023-05-12 14:56:09.452,23,0,0,0:1:55,0,ou,2023-05-12 14:56:09.452,23,0,2023-05-12 15:18:08.745
GTEVCTR GTARC|OCTRA,0,ou,2023-05-12 14:42:08.628,37,0,0,0:3:5,0,ou,2023-05-12 14:42:08.628,37,0,2023-05-12 15:18:08.791
ARC_GFT GTARC|OGFT,0,ou,2023-05-12 14:26:07.474,53,0,0,0:4:25,0,ou,2023-05-12 14:26:07.474,53,0,2023-05-12 15:18:08.849
ARC_GFT GTSGBDO|OCSGFT,0,ou,2023-05-12 14:26:07.530,53,0,0,0:4:25,0,ou,2023-05-12 14:26:07.530,53,0,2023-05-12 15:18:08.893
GTOCS5M GTSGBDO|CBPMG52,0,ou,2023-05-12 14:26:07.691,53,0,0,0:4:25,0,ou,2023-05-12 14:26:07.691,53,0,2023-05-12 15:18:08.939
GTOCS5V GTSGBDO|CBPVO52,0,ou,2023-05-12 14:26:07.742,53,0,0,0:4:25,0,ou,2023-05-12 14:26:07.742,53,0,2023-05-12 15:18:08.981
ARC_LOA GTARC|OCSL,0,ou,2023-05-12 14:16:10.930,63,0,0,0:5:15,0,ou,2023-05-12 14:16:10.930,63,0,2023-05-12 15:18:09.026
ARC_LOA GTSGBDO|OCSLOAN,0,ou,2023-05-12 14:16:10.982,63,0,0,0:5:15,0,ou,2023-05-12 14:16:10.982,63,0,2023-05-12 15:18:09.069
GTEVC GTARC|OCEVC,0,ou,2023-05-12 13:57:05.389,82,0,0,1:0:50,0,ou,2023-05-12 13:57:05.389,82,0,2023-05-12 15:18:09.109
GTOCS5S GTSGBDO|CBPSM52,0,ou,2023-05-12 13:17:04.642,122,0,0,1:4:10,0,ou,2023-05-12 13:17:04.642,122,0,2023-05-12 15:18:09.150
GTEVC GTSGBDO|CBPEVC,0,ou,2023-05-12 10:27:05.408,292,0,0,4:0:20,0,ou,2023-05-12 10:27:05.408,292,0,2023-05-12 15:18:09.189
ARC_VOU GTARC|OVOU,0,ou,2023-05-12 10:26:06.722,293,0,0,4:0:25,0,ou,2023-05-12 10:26:06.722,293,0,2023-05-12 15:18:09.228
ARC_VOU GTSGBDO|OCSVOU,0,ou,2023-05-12 10:26:06.776,293,0,0,4:0:25,0,ou,2023-05-12 10:26:06.776,293,0,2023-05-12 15:18:09.266
