label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARC_DAT GTARC|ODATA,0,in,2023-05-12 15:18:02.232,1,0,0,00:00:00,0,in,2023-05-12 15:18:02.264,1,0,2023-05-12 15:18:02.234
ARC_DAT GTSGBDO|OCSDATA,0,in,2023-05-12 15:18:02.806,1,0,0,00:00:00,0,in,2023-05-12 15:18:02.924,1,0,2023-05-12 15:18:02.818
ARC_MON GTARC|OMON,0,in,2023-05-12 15:18:03.311,1,0,0,00:00:00,0,in,2023-05-12 15:18:03.417,1,0,2023-05-12 15:18:03.320
ARC_MON GTSGBDO|OCSMON,0,in,2023-05-12 15:18:04.509,1,0,0,00:00:00,0,in,2023-05-12 15:18:04.626,1,0,2023-05-12 15:18:04.525
ARC_SMO GTARC|OSMS,0,in,2023-05-12 15:18:05.006,1,0,0,00:00:00,0,in,2023-05-12 15:18:05.038,1,0,2023-05-12 15:18:05.009
ARC_SMO GTSGBDO|OCSSMS,0,in,2023-05-12 15:18:05.305,1,0,0,00:00:00,0,in,2023-05-12 15:18:05.336,1,0,2023-05-12 15:18:05.308
GTEVC GTSGBDO|CBEVCMA,0,eq,2023-05-12 00:08:01.984,911,0,0,12:3:55,0,eq,2023-05-12 00:08:01.984,911,0,2023-05-12 15:18:05.569
GTEVCTR GTSGBDO|CEVCTMA,0,eq,2023-05-12 00:08:02.207,911,0,0,12:3:55,0,eq,2023-05-12 00:08:02.207,911,0,2023-05-12 15:18:05.799
GTOCSMO GTSGBDO|CBPMON,0,in,2023-05-12 15:18:06.049,1,0,0,00:00:00,0,in,2023-05-12 15:18:06.075,1,0,2023-05-12 15:18:06.051
GTOCSMO GTSGBDO|CBPMON5,0,in,2023-05-12 15:18:06.322,1,0,0,00:00:00,0,in,2023-05-12 15:18:06.353,1,0,2023-05-12 15:18:06.324
TOTAL,0,eq,2023-05-10 20:22:09.710,2577,0,0,35:4:45,0,eq,2023-05-10 20:22:09.710,2577,0,2023-05-12 15:18:06.583
ARC_REC GTARC|OREC,0,ou,2023-05-12 15:17:03.670,2,0,0,0:0:10,0,ou,2023-05-12 15:17:03.670,2,0,2023-05-12 15:18:07.612
GTOCS5D GTSGBDO|CBP52DA,0,ou,2023-05-12 15:17:03.727,2,0,0,0:0:10,0,ou,2023-05-12 15:17:03.727,2,0,2023-05-12 15:18:07.660
