label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTSCDR GTMACH|NEXGT,0,eq,2023-05-08 14:38:03.136,1,0,0,00:00:00,0,eq,2023-05-08 14:38:03.156,1,0,2023-05-08 14:38:03.138
GTSCDR GTSGBDO|LTSC3GR,0,eq,2023-05-08 14:38:07.826,1,0,0,00:00:00,0,eq,2023-05-08 14:38:07.849,1,0,2023-05-08 14:38:07.829
PGWCDRM GTARC|LTEM,0,eq,2023-05-08 14:37:10.384,2,0,0,0:0:10,0,eq,2023-05-08 14:37:10.384,2,0,2023-05-08 14:38:09.316
PGWCDRM GTARC|PGWCD,0,eq,2023-05-08 13:42:04.245,57,0,0,0:4:45,0,eq,2023-05-08 13:42:04.245,57,0,2023-05-08 14:38:10.433
PGWCDRM GTSGBDO|LTEPGMA,0,in,2023-05-08 14:38:11.490,1,0,0,00:00:00,0,in,2023-05-08 14:38:11.520,1,0,2023-05-08 14:38:11.493
PGWCDRM GTSGBDO|LTEPGQ4,0,eq,2023-05-08 14:37:11.534,2,0,0,0:0:10,0,eq,2023-05-08 14:37:11.534,2,0,2023-05-08 14:38:12.379
PRD_HC3 GTICT|HC34NAT,0,eq,2023-05-08 06:12:02.262,507,0,0,7:0:15,0,eq,2023-05-08 06:12:02.262,507,0,2023-05-08 14:38:13.340
SGWCDRM GTARC|SGWCDR,0,eq,2023-05-08 14:37:16.192,2,0,0,0:0:10,0,eq,2023-05-08 14:37:16.192,2,0,2023-05-08 14:38:14.963
SGWCDRM GTMACH|NEXGT,0,eq,2023-05-08 14:37:16.459,2,0,0,0:0:10,0,eq,2023-05-08 14:37:16.459,2,0,2023-05-08 14:38:15.912
TOTAL,0,eq,2023-05-05 22:08:32.229,3871,0,0,53:4:35,0,eq,2023-05-05 22:08:32.229,3871,0,2023-05-08 14:38:16.720
GTSCDR GTSGBDO|LTESCMA,0,ou,2023-05-08 14:38:23.812,1,0,0,00:00:00,0,ou,2023-05-08 14:38:23.835,1,0,2023-05-08 14:38:23.816
SGWCDRM GTSGBDO|LTES4GR,0,ou,2023-05-08 14:38:24.769,1,0,0,00:00:00,0,ou,2023-05-08 14:38:24.790,1,0,2023-05-08 14:38:24.771
PRD_HC3 GTARC|AHC34,0,ou,2023-05-08 14:36:14.221,3,0,0,0:0:15,0,ou,2023-05-08 14:36:14.221,3,0,2023-05-08 14:38:25.271
GTSCDR GTARC|SCDR,0,ou,2023-05-08 14:33:07.927,6,0,0,0:0:30,0,ou,2023-05-08 14:33:07.927,6,0,2023-05-08 14:38:25.875
SGWCDRM GTSGBDO|LTESGMA,0,ou,2023-05-08 14:33:09.491,6,0,0,0:0:30,0,ou,2023-05-08 14:33:09.491,6,0,2023-05-08 14:38:26.066
PRD2_TP GTARC|TAP0311,0,ou,2023-05-08 14:21:19.268,18,0,0,0:1:30,0,ou,2023-05-08 14:21:19.268,18,0,2023-05-08 14:38:26.191
PRD2_TP GTARIS|TAP0312,0,ou,2023-05-08 14:21:19.453,18,0,0,0:1:30,0,ou,2023-05-08 14:21:19.453,18,0,2023-05-08 14:38:26.341
PRD_HC3 GTARIS|AHC34,0,ou,2023-05-08 14:07:15.407,32,0,0,0:2:40,0,ou,2023-05-08 14:07:15.407,32,0,2023-05-08 14:38:26.458
PRD_HC3 GTSGBDO|HC3EMRQ,0,ou,2023-05-08 14:07:15.511,32,0,0,0:2:40,0,ou,2023-05-08 14:07:15.511,32,0,2023-05-08 14:38:26.614
PRD_HC3 GTICT|HC34INT,0,ou,2023-05-08 13:57:13.926,42,0,0,0:3:30,0,ou,2023-05-08 13:57:13.926,42,0,2023-05-08 14:38:26.729
PRD_HC3 GTSGBDO|HC34MA,0,ou,2023-05-08 12:56:04.988,103,0,0,1:2:35,0,ou,2023-05-08 12:56:04.988,103,0,2023-05-08 14:38:26.769
