label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTEVC GTSGBDO|CBEVCMA,216,up,2023-05-09 15:58:01.835,1,2,2,00:00:00,3570,up,2023-05-09 15:58:01.860,1,2,2023-05-09 15:58:01.838
GTEVCTR GTSGBDO|CEVCTMA,332,up,2023-05-09 15:58:02.101,1,3,3,00:00:00,2679,up,2023-05-09 15:58:02.127,1,3,2023-05-09 15:58:02.103
TOTAL,548,up,2023-05-09 15:58:02.370,1,5,5,00:00:00,23794,up,2023-05-09 15:58:02.393,1,5,2023-05-09 15:58:02.373
GTOCS5V GTSGBDO|CBPVO52,1,ou,2023-05-09 15:56:02.558,3,0,0,0:0:15,819,ou,2023-05-09 15:56:02.558,3,0,2023-05-09 15:58:02.602
GTOCSMO GTSGBDO|CBPMON,6,ou,2023-05-09 15:55:04.390,4,0,0,0:0:20,2039,ou,2023-05-09 15:55:04.390,4,0,2023-05-09 15:58:02.663
GTOCSMO GTSGBDO|CBPMON5,7,ou,2023-05-09 15:55:04.556,4,0,0,0:0:20,2358,ou,2023-05-09 15:55:04.556,4,0,2023-05-09 15:58:02.722
GTOCS5R GTSGBDO|CBPRE52,4,ou,2023-05-09 15:32:02.209,27,0,0,0:2:15,524,ou,2023-05-09 15:32:02.209,27,0,2023-05-09 15:58:02.776
GTOCS5L GTSGBDO|CBPLOAN,6,ou,2023-05-09 15:31:03.263,28,0,0,0:2:20,452,ou,2023-05-09 15:31:03.263,28,0,2023-05-09 15:58:02.829
ARC_REC GTARC|OREC,4,ou,2023-05-09 15:27:02.537,32,0,0,0:2:40,455,ou,2023-05-09 15:27:02.537,32,0,2023-05-09 15:58:02.883
GTOCS5D GTSGBDO|CBP52DA,9,ou,2023-05-09 15:17:07.593,42,0,0,0:3:30,1647,ou,2023-05-09 15:17:07.593,42,0,2023-05-09 15:58:02.938
GTEVCTR GTARC|OCTRA,1,ou,2023-05-09 15:16:17.951,43,0,0,0:3:35,26,ou,2023-05-09 15:16:17.951,43,0,2023-05-09 15:58:02.988
GTOCS5M GTSGBDO|CBPMG52,1,ou,2023-05-09 15:11:02.823,48,0,0,0:4:0,143,ou,2023-05-09 15:11:02.823,48,0,2023-05-09 15:58:03.039
ARC_MGR GTARC|OMGR,12,ou,2023-05-09 14:49:02.296,70,0,0,0:5:50,3821,ou,2023-05-09 14:49:02.296,70,0,2023-05-09 15:58:03.089
ARC_MGR GTSGBDO|OCSMGR,9,ou,2023-05-09 14:49:02.371,70,0,0,0:5:50,1540,ou,2023-05-09 14:49:02.371,70,0,2023-05-09 15:58:03.143
ARC_MON GTARC|OMON,5,ou,2023-05-09 14:49:02.444,70,0,0,0:5:50,1229,ou,2023-05-09 14:49:02.444,70,0,2023-05-09 15:58:03.198
ARC_MON GTSGBDO|OCSMON,2,ou,2023-05-09 14:49:02.511,70,0,0,0:5:50,390,ou,2023-05-09 14:49:02.511,70,0,2023-05-09 15:58:03.253
ARC_SMO GTARC|OSMS,2,ou,2023-05-09 14:49:02.576,70,0,0,0:5:50,883,ou,2023-05-09 14:49:02.576,70,0,2023-05-09 15:58:03.305
ARC_SMO GTSGBDO|OCSSMS,1,ou,2023-05-09 14:49:02.639,70,0,0,0:5:50,261,ou,2023-05-09 14:49:02.639,70,0,2023-05-09 15:58:03.354
ARC_DAT GTARC|ODATA,5,ou,2023-05-09 14:25:10.224,94,0,0,1:1:50,1111,ou,2023-05-09 14:25:10.224,94,0,2023-05-09 15:58:03.404
