label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARC_GFT GTARC|OGFT,9,in,2023-05-16 09:26:01.624,1,0,0,00:00:00,24,in,2023-05-16 09:26:01.657,1,0,2023-05-16 09:26:01.627
ARC_GFT GTSGBDO|OCSGFT,9,in,2023-05-16 09:26:01.952,1,0,0,00:00:00,19,in,2023-05-16 09:26:01.991,1,0,2023-05-16 09:26:01.955
ARC_LOA GTARC|OCSL,10,in,2023-05-16 09:26:02.242,1,0,0,00:00:00,14,in,2023-05-16 09:26:02.278,1,0,2023-05-16 09:26:02.245
ARC_LOA GTSGBDO|OCSLOAN,9,in,2023-05-16 09:26:02.531,1,0,0,00:00:00,11,in,2023-05-16 09:26:02.563,1,0,2023-05-16 09:26:02.534
ARC_REC GTARC|OREC,6,in,2023-05-16 09:26:02.800,1,0,0,00:00:00,10,in,2023-05-16 09:26:02.832,1,0,2023-05-16 09:26:02.803
ARC_REC GTSGBDO|OCSREC,5,in,2023-05-16 09:26:03.089,1,0,0,00:00:00,5,in,2023-05-16 09:26:03.129,1,0,2023-05-16 09:26:03.093
ARC_VOU GTARC|OVOU,3,in,2023-05-16 09:26:03.348,1,0,0,00:00:00,3,in,2023-05-16 09:26:03.387,1,0,2023-05-16 09:26:03.350
ARC_VOU GTSGBDO|OCSVOU,3,in,2023-05-16 09:26:03.592,1,0,0,00:00:00,3,in,2023-05-16 09:26:03.630,1,0,2023-05-16 09:26:03.595
GTEVC GTSGBDO|CBEVCMA,306,eq,2023-05-16 09:22:02.199,5,0,0,0:0:25,306,eq,2023-05-16 09:22:02.199,5,0,2023-05-16 09:26:03.820
GTEVCTR GTSGBDO|CEVCTMA,4,eq,2023-05-16 09:21:02.247,6,0,0,0:0:30,117,eq,2023-05-16 09:21:02.247,6,0,2023-05-16 09:26:04.013
GTOCS5L GTSGBDO|CBPLOAN,2,in,2023-05-16 09:26:04.213,1,0,0,00:00:00,5,in,2023-05-16 09:26:04.240,1,0,2023-05-16 09:26:04.215
GTOCS5M GTSGBDO|CBPMG52,7,in,2023-05-16 09:26:04.523,1,0,0,00:00:00,7,in,2023-05-16 09:26:04.560,1,0,2023-05-16 09:26:04.526
GTOCS5R GTSGBDO|CBPRE52,1,in,2023-05-16 09:26:04.750,1,0,0,00:00:00,17,in,2023-05-16 09:26:04.785,1,0,2023-05-16 09:26:04.753
GTOCS5S GTSGBDO|CBPSM52,1,in,2023-05-16 09:26:05.293,1,0,0,00:00:00,5,in,2023-05-16 09:26:05.353,1,0,2023-05-16 09:26:05.296
GTOCS5V GTSGBDO|CBPVO52,3,in,2023-05-16 09:26:06.168,1,0,0,00:00:00,5,in,2023-05-16 09:26:06.384,1,0,2023-05-16 09:26:06.195
TOTAL,378,up,2023-05-16 09:26:07.977,1,68,68,00:00:00,608,up,2023-05-16 09:26:08.191,1,68,2023-05-16 09:26:08.021
GTOCSMO GTSGBDO|CBPMON,2,ou,2023-05-16 09:25:02.982,2,0,0,0:0:10,9,ou,2023-05-16 09:25:02.982,2,0,2023-05-16 09:26:09.175
GTOCSMO GTSGBDO|CBPMON5,2,ou,2023-05-16 09:25:03.039,2,0,0,0:0:10,10,ou,2023-05-16 09:25:03.039,2,0,2023-05-16 09:26:09.436
ARC_MGR GTARC|OMGR,1,ou,2023-05-16 09:19:02.954,8,0,0,0:0:40,2,ou,2023-05-16 09:19:02.954,8,0,2023-05-16 09:26:09.673
ARC_MGR GTSGBDO|OCSMGR,1,ou,2023-05-16 09:19:03.010,8,0,0,0:0:40,1,ou,2023-05-16 09:19:03.010,8,0,2023-05-16 09:26:09.858
ARC_MON GTARC|OMON,1,ou,2023-05-16 09:19:03.065,8,0,0,0:0:40,1,ou,2023-05-16 09:19:03.065,8,0,2023-05-16 09:26:10.071
ARC_MON GTSGBDO|OCSMON,1,ou,2023-05-16 09:19:03.118,8,0,0,0:0:40,1,ou,2023-05-16 09:19:03.118,8,0,2023-05-16 09:26:10.456
GTOCS5D GTSGBDO|CBP52DA,11,ou,2023-05-16 09:17:18.535,10,0,0,0:0:50,54,ou,2023-05-16 09:17:18.535,10,0,2023-05-16 09:26:10.786
GTEVC GTARC|OCEVC,6,ou,2023-05-16 09:12:04.841,15,0,0,0:1:15,7,ou,2023-05-16 09:12:04.841,15,0,2023-05-16 09:26:11.018
GTEVC GTSGBDO|CBPEVC,4,ou,2023-05-16 09:12:04.987,15,0,0,0:1:15,5,ou,2023-05-16 09:12:04.987,15,0,2023-05-16 09:26:11.242
GTEVCTR GTARC|OCTRA,5,ou,2023-05-16 08:47:12.734,40,0,0,0:3:20,5,ou,2023-05-16 08:47:12.734,40,0,2023-05-16 09:26:11.741
ARC_DAT GTARC|ODATA,8,ou,2023-05-16 08:26:09.276,61,0,0,0:5:5,8,ou,2023-05-16 08:26:09.276,61,0,2023-05-16 09:26:12.042
