label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTSCDR GTMACH|NEXGT,0,eq,2023-05-08 14:38:02.355,1,0,0,00:00:00,0,eq,2023-05-08 14:38:02.376,1,0,2023-05-08 14:38:02.357
GTSCDR GTSGBDO|LTSC3GR,0,eq,2023-05-08 14:38:05.040,1,0,0,00:00:00,0,eq,2023-05-08 14:38:05.062,1,0,2023-05-08 14:38:05.043
PGWCDRM GTARC|LTEM,0,eq,2023-05-08 14:37:10.315,2,0,0,0:0:10,0,eq,2023-05-08 14:37:10.315,2,0,2023-05-08 14:38:08.690
PGWCDRM GTARC|PGWCD,0,eq,2023-05-08 13:42:04.178,57,0,0,0:4:45,0,eq,2023-05-08 13:42:04.178,57,0,2023-05-08 14:38:10.042
PGWCDRM GTSGBDO|LTEPGMA,0,in,2023-05-08 14:38:11.411,1,0,0,00:00:00,0,in,2023-05-08 14:38:11.440,1,0,2023-05-08 14:38:11.414
PGWCDRM GTSGBDO|LTEPGQ4,0,eq,2023-05-08 14:37:11.460,2,0,0,0:0:10,0,eq,2023-05-08 14:37:11.460,2,0,2023-05-08 14:38:12.182
PRD_HC3 GTICT|HC34NAT,0,eq,2023-05-08 06:12:02.163,507,0,0,7:0:15,0,eq,2023-05-08 06:12:02.163,507,0,2023-05-08 14:38:13.049
SGWCDRM GTARC|SGWCDR,0,eq,2023-05-08 14:37:15.565,2,0,0,0:0:10,0,eq,2023-05-08 14:37:15.565,2,0,2023-05-08 14:38:14.643
SGWCDRM GTMACH|NEXGT,0,eq,2023-05-08 14:37:16.392,2,0,0,0:0:10,0,eq,2023-05-08 14:37:16.392,2,0,2023-05-08 14:38:15.733
TOTAL,0,eq,2023-05-05 22:08:31.983,3871,0,0,53:4:35,0,eq,2023-05-05 22:08:31.983,3871,0,2023-05-08 14:38:16.518
GTSCDR GTSGBDO|LTESCMA,0,ou,2023-05-08 14:38:20.460,1,0,0,00:00:00,0,ou,2023-05-08 14:38:20.484,1,0,2023-05-08 14:38:20.463
SGWCDRM GTSGBDO|LTES4GR,0,ou,2023-05-08 14:38:20.705,1,0,0,00:00:00,0,ou,2023-05-08 14:38:20.727,1,0,2023-05-08 14:38:20.708
PRD_HC3 GTARC|AHC34,0,ou,2023-05-08 14:36:12.699,3,0,0,0:0:15,0,ou,2023-05-08 14:36:12.699,3,0,2023-05-08 14:38:20.908
GTSCDR GTARC|SCDR,0,ou,2023-05-08 14:33:05.460,6,0,0,0:0:30,0,ou,2023-05-08 14:33:05.460,6,0,2023-05-08 14:38:21.212
SGWCDRM GTSGBDO|LTESGMA,0,ou,2023-05-08 14:33:06.972,6,0,0,0:0:30,0,ou,2023-05-08 14:33:06.972,6,0,2023-05-08 14:38:21.616
PRD2_TP GTARC|TAP0311,0,ou,2023-05-08 14:21:17.268,18,0,0,0:1:30,0,ou,2023-05-08 14:21:17.268,18,0,2023-05-08 14:38:21.765
PRD2_TP GTARIS|TAP0312,0,ou,2023-05-08 14:21:17.943,18,0,0,0:1:30,0,ou,2023-05-08 14:21:17.943,18,0,2023-05-08 14:38:22.478
PRD_HC3 GTARIS|AHC34,0,ou,2023-05-08 14:07:14.083,32,0,0,0:2:40,0,ou,2023-05-08 14:07:14.083,32,0,2023-05-08 14:38:22.524
PRD_HC3 GTSGBDO|HC3EMRQ,0,ou,2023-05-08 14:07:14.208,32,0,0,0:2:40,0,ou,2023-05-08 14:07:14.208,32,0,2023-05-08 14:38:23.371
PRD_HC3 GTICT|HC34INT,0,ou,2023-05-08 13:57:12.592,42,0,0,0:3:30,0,ou,2023-05-08 13:57:12.592,42,0,2023-05-08 14:38:23.413
PRD_HC3 GTSGBDO|HC34MA,0,ou,2023-05-08 12:56:03.893,103,0,0,1:2:35,0,ou,2023-05-08 12:56:03.893,103,0,2023-05-08 14:38:23.760
