label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARCPSMS GTARCEP|HSMSCO2,9728,eq,2023-05-15 10:31:21.779,1,0,0,00:00:00,10734,eq,2023-05-15 10:31:21.797,1,0,2023-05-15 10:31:21.781
ARCSMS2 GTARC|HSMSC2,28872,eq,2023-05-15 10:31:21.966,1,0,0,00:00:00,31669,eq,2023-05-15 10:31:21.986,1,0,2023-05-15 10:31:21.969
ARCSMS2 GTARCEP|HSMSC2,7,up,2023-05-15 10:31:22.166,1,1,1,00:00:00,395,up,2023-05-15 10:31:22.186,1,1,2023-05-15 10:31:22.169
ARCSMS2 GTARCEP|OSMSC2,8,eq,2023-05-15 10:31:23.839,1,0,0,00:00:00,385,eq,2023-05-15 10:31:23.863,1,0,2023-05-15 10:31:23.842
ARC_SMS GTARC|HSMSC,1,eq,2023-05-15 10:31:24.054,1,0,0,00:00:00,9,eq,2023-05-15 10:31:24.077,1,0,2023-05-15 10:31:24.057
ARC_SMS GTARCEP|HSMSC,1,eq,2023-05-15 10:31:24.275,1,0,0,00:00:00,7,eq,2023-05-15 10:31:24.298,1,0,2023-05-15 10:31:24.278
ARC_SMS GTARCEP|OSMSC,1,eq,2023-05-15 10:31:24.492,1,0,0,00:00:00,7,eq,2023-05-15 10:31:24.515,1,0,2023-05-15 10:31:24.495
GTSMSC2 GTSGBDO|ESMSC2,7208,dw,2023-05-15 10:31:24.714,1,-1,-1,00:00:00,10534,dw,2023-05-15 10:31:24.737,1,-1,2023-05-15 10:31:24.717
MSCPROD GTARC|HMSC,20,dw,2023-05-15 10:31:24.936,1,-1,-1,00:00:00,164,dw,2023-05-15 10:31:24.959,1,-1,2023-05-15 10:31:24.939
MSCPROD GTARCEP|HMSC,2,eq,2023-05-15 10:31:25.150,1,0,0,00:00:00,121,eq,2023-05-15 10:31:25.175,1,0,2023-05-15 10:31:25.153
MSCPROD GTFSTAT|HMSC,108,eq,2023-05-15 10:27:09.747,5,0,0,0:0:25,675,eq,2023-05-15 10:27:09.747,5,0,2023-05-15 10:31:25.365
MSCPROD GTICT|HMSCINT,13,dw,2023-05-15 10:30:57.658,2,-1,-4,0:0:10,130,dw,2023-05-15 10:30:57.658,2,-1,2023-05-15 10:31:25.552
MSCPROD GTICT|HMSCNAT,14,dw,2023-05-15 10:30:57.856,2,-1,-3,0:0:10,123,dw,2023-05-15 10:30:57.856,2,-1,2023-05-15 10:31:25.739
MSCPROD GTMACH|GTNEXGN,2035,dw,2023-05-15 10:30:58.040,2,-1,-11,0:0:10,2618,dw,2023-05-15 10:30:58.040,2,-1,2023-05-15 10:31:25.921
TOTAL,48018,dw,2023-05-15 10:23:12.551,9,-5,-1493,0:0:45,3809,dw,2023-05-15 10:23:12.551,9,-5,2023-05-15 10:31:26.102
SBC_IMS GTARC|SBCIMS,1,ou,2023-05-15 10:31:26.279,1,0,0,00:00:00,15,ou,2023-05-15 10:31:26.301,1,0,2023-05-15 10:31:26.282
GTSBC2 GTARC|SBC,1,ou,2023-05-15 10:23:12.803,9,0,0,0:0:45,3,ou,2023-05-15 10:23:12.803,9,0,2023-05-15 10:31:26.327
GTSMSCT GTSGBDO|ESMSC,2,ou,2023-05-15 10:22:16.368,10,0,0,0:0:50,9,ou,2023-05-15 10:22:16.368,10,0,2023-05-15 10:31:26.374
MSCPROD GTSGBDO|MSCMAS,4,ou,2023-05-15 10:19:35.895,13,0,0,0:1:5,96,ou,2023-05-15 10:19:35.895,13,0,2023-05-15 10:31:26.421
MSCPROD GTARIS|HMSC,3,ou,2023-05-15 10:18:11.020,14,0,0,0:1:10,32,ou,2023-05-15 10:18:11.020,14,0,2023-05-15 10:31:26.465
MSCPROD GTSGBDO|MSCREQ,4,ou,2023-05-15 10:18:11.065,14,0,0,0:1:10,83,ou,2023-05-15 10:18:11.065,14,0,2023-05-15 10:31:26.510
SBC_IMS GTICT|IMS_NAT,1,ou,2023-05-15 10:13:10.595,19,0,0,0:1:35,1,ou,2023-05-15 10:13:10.595,19,0,2023-05-15 10:31:26.552
SBC_IMS GTICT|IMS_INT,1,ou,2023-05-15 09:31:12.355,59,0,0,0:4:55,1,ou,2023-05-15 09:31:12.355,59,0,2023-05-15 10:31:26.596
