label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARC_GFT GTARC|OGFT,0,in,2023-05-16 09:26:01.730,1,0,0,00:00:00,0,in,2023-05-16 09:26:01.775,1,0,2023-05-16 09:26:01.733
ARC_GFT GTSGBDO|OCSGFT,0,in,2023-05-16 09:26:02.052,1,0,0,00:00:00,0,in,2023-05-16 09:26:02.085,1,0,2023-05-16 09:26:02.055
ARC_LOA GTARC|OCSL,0,in,2023-05-16 09:26:02.341,1,0,0,00:00:00,0,in,2023-05-16 09:26:02.372,1,0,2023-05-16 09:26:02.343
ARC_LOA GTSGBDO|OCSLOAN,0,in,2023-05-16 09:26:02.620,1,0,0,00:00:00,0,in,2023-05-16 09:26:02.651,1,0,2023-05-16 09:26:02.623
ARC_REC GTARC|OREC,0,in,2023-05-16 09:26:02.892,1,0,0,00:00:00,0,in,2023-05-16 09:26:02.922,1,0,2023-05-16 09:26:02.894
ARC_REC GTSGBDO|OCSREC,0,in,2023-05-16 09:26:03.173,1,0,0,00:00:00,0,in,2023-05-16 09:26:03.214,1,0,2023-05-16 09:26:03.176
ARC_VOU GTARC|OVOU,0,in,2023-05-16 09:26:03.430,1,0,0,00:00:00,0,in,2023-05-16 09:26:03.469,1,0,2023-05-16 09:26:03.433
ARC_VOU GTSGBDO|OCSVOU,0,in,2023-05-16 09:26:03.671,1,0,0,00:00:00,0,in,2023-05-16 09:26:03.711,1,0,2023-05-16 09:26:03.674
GTEVC GTSGBDO|CBEVCMA,0,eq,2023-05-16 08:27:02.034,60,0,0,0:5:0,0,eq,2023-05-16 08:27:02.034,60,0,2023-05-16 09:26:03.885
GTEVCTR GTSGBDO|CEVCTMA,0,eq,2023-05-16 09:21:02.317,6,0,0,0:0:30,0,eq,2023-05-16 09:21:02.317,6,0,2023-05-16 09:26:04.080
GTOCS5L GTSGBDO|CBPLOAN,0,in,2023-05-16 09:26:04.295,1,0,0,00:00:00,0,in,2023-05-16 09:26:04.321,1,0,2023-05-16 09:26:04.298
GTOCS5M GTSGBDO|CBPMG52,0,in,2023-05-16 09:26:04.599,1,0,0,00:00:00,0,in,2023-05-16 09:26:04.634,1,0,2023-05-16 09:26:04.601
GTOCS5R GTSGBDO|CBPRE52,0,in,2023-05-16 09:26:04.934,1,0,0,00:00:00,0,in,2023-05-16 09:26:04.978,1,0,2023-05-16 09:26:04.936
GTOCS5S GTSGBDO|CBPSM52,0,in,2023-05-16 09:26:05.462,1,0,0,00:00:00,0,in,2023-05-16 09:26:05.502,1,0,2023-05-16 09:26:05.466
GTOCS5V GTSGBDO|CBPVO52,0,in,2023-05-16 09:26:06.724,1,0,0,00:00:00,0,in,2023-05-16 09:26:06.960,1,0,2023-05-16 09:26:06.757
TOTAL,0,eq,2023-05-16 08:27:03.131,60,0,0,0:5:0,0,eq,2023-05-16 08:27:03.131,60,0,2023-05-16 09:26:08.516
GTOCSMO GTSGBDO|CBPMON,0,ou,2023-05-16 09:25:04.022,2,0,0,0:0:10,0,ou,2023-05-16 09:25:04.022,2,0,2023-05-16 09:26:12.339
GTOCSMO GTSGBDO|CBPMON5,0,ou,2023-05-16 09:25:04.089,2,0,0,0:0:10,0,ou,2023-05-16 09:25:04.089,2,0,2023-05-16 09:26:12.523
ARC_MGR GTARC|OMGR,0,ou,2023-05-16 09:19:03.976,8,0,0,0:0:40,0,ou,2023-05-16 09:19:03.976,8,0,2023-05-16 09:26:12.819
ARC_MGR GTSGBDO|OCSMGR,0,ou,2023-05-16 09:19:04.029,8,0,0,0:0:40,0,ou,2023-05-16 09:19:04.029,8,0,2023-05-16 09:26:13.152
ARC_MON GTARC|OMON,0,ou,2023-05-16 09:19:04.083,8,0,0,0:0:40,0,ou,2023-05-16 09:19:04.083,8,0,2023-05-16 09:26:13.288
ARC_MON GTSGBDO|OCSMON,0,ou,2023-05-16 09:19:04.134,8,0,0,0:0:40,0,ou,2023-05-16 09:19:04.134,8,0,2023-05-16 09:26:13.486
GTOCS5D GTSGBDO|CBP52DA,0,ou,2023-05-16 09:17:29.587,10,0,0,0:0:50,0,ou,2023-05-16 09:17:29.587,10,0,2023-05-16 09:26:13.834
GTEVC GTARC|OCEVC,0,ou,2023-05-16 09:12:06.121,15,0,0,0:1:15,0,ou,2023-05-16 09:12:06.121,15,0,2023-05-16 09:26:14.244
GTEVC GTSGBDO|CBPEVC,0,ou,2023-05-16 09:12:06.588,15,0,0,0:1:15,0,ou,2023-05-16 09:12:06.588,15,0,2023-05-16 09:26:14.659
GTEVCTR GTARC|OCTRA,0,ou,2023-05-16 08:47:16.100,40,0,0,0:3:20,0,ou,2023-05-16 08:47:16.100,40,0,2023-05-16 09:26:15.173
ARC_DAT GTARC|ODATA,0,ou,2023-05-16 08:26:09.918,61,0,0,0:5:5,0,ou,2023-05-16 08:26:09.918,61,0,2023-05-16 09:26:15.647
