label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTEVC GTSGBDO|CBEVCMA,0,eq,2023-05-12 07:47:06.032,304,0,0,4:1:20,0,eq,2023-05-12 07:47:06.032,304,0,2023-05-12 12:50:02.111
GTEVCTR GTSGBDO|CEVCTMA,0,eq,2023-05-12 07:47:08.031,304,0,0,4:1:20,0,eq,2023-05-12 07:47:08.031,304,0,2023-05-12 12:50:02.436
TOTAL,0,eq,2023-05-12 07:47:11.816,304,0,0,4:1:20,0,eq,2023-05-12 07:47:11.816,304,0,2023-05-12 12:50:03.083
ARC_MGR GTARC|OMGR,0,ou,2023-05-12 12:49:05.371,2,0,0,0:0:10,0,ou,2023-05-12 12:49:05.371,2,0,2023-05-12 12:50:09.913
ARC_MGR GTSGBDO|OCSMGR,0,ou,2023-05-12 12:49:05.423,2,0,0,0:0:10,0,ou,2023-05-12 12:49:05.423,2,0,2023-05-12 12:50:10.007
GTOCSMO GTSGBDO|CBPMON,0,ou,2023-05-12 12:49:05.474,2,0,0,0:0:10,0,ou,2023-05-12 12:49:05.474,2,0,2023-05-12 12:50:10.097
GTOCSMO GTSGBDO|CBPMON5,0,ou,2023-05-12 12:49:05.527,2,0,0,0:0:10,0,ou,2023-05-12 12:49:05.527,2,0,2023-05-12 12:50:10.241
ARC_REC GTARC|OREC,0,ou,2023-05-12 12:47:05.571,4,0,0,0:0:20,0,ou,2023-05-12 12:47:05.571,4,0,2023-05-12 12:50:10.393
GTOCS5D GTSGBDO|CBP52DA,0,ou,2023-05-12 12:47:05.626,4,0,0,0:0:20,0,ou,2023-05-12 12:47:05.626,4,0,2023-05-12 12:50:10.593
GTOCS5L GTSGBDO|CBPLOAN,0,ou,2023-05-12 12:46:15.853,5,0,0,0:0:25,0,ou,2023-05-12 12:46:15.853,5,0,2023-05-12 12:50:10.672
GTOCS5M GTSGBDO|CBPMG52,0,ou,2023-05-12 12:46:15.956,5,0,0,0:0:25,0,ou,2023-05-12 12:46:15.956,5,0,2023-05-12 12:50:10.761
GTOCS5R GTSGBDO|CBPRE52,0,ou,2023-05-12 12:42:06.481,9,0,0,0:0:45,0,ou,2023-05-12 12:42:06.481,9,0,2023-05-12 12:50:10.921
ARC_DAT GTARC|ODATA,0,ou,2023-05-12 12:25:23.834,26,0,0,0:2:10,0,ou,2023-05-12 12:25:23.834,26,0,2023-05-12 12:50:11.010
ARC_DAT GTSGBDO|OCSDATA,0,ou,2023-05-12 12:25:24.174,26,0,0,0:2:10,0,ou,2023-05-12 12:25:24.174,26,0,2023-05-12 12:50:11.185
ARC_MON GTARC|OMON,0,ou,2023-05-12 12:25:24.747,26,0,0,0:2:10,0,ou,2023-05-12 12:25:24.747,26,0,2023-05-12 12:50:11.281
ARC_SMO GTARC|OSMS,0,ou,2023-05-12 12:25:24.995,26,0,0,0:2:10,0,ou,2023-05-12 12:25:24.995,26,0,2023-05-12 12:50:11.371
ARC_SMO GTSGBDO|OCSSMS,0,ou,2023-05-12 12:25:25.147,26,0,0,0:2:10,0,ou,2023-05-12 12:25:25.147,26,0,2023-05-12 12:50:11.445
GTEVCTR GTARC|OCTRA,0,ou,2023-05-12 12:22:06.010,29,0,0,0:2:25,0,ou,2023-05-12 12:22:06.010,29,0,2023-05-12 12:50:11.536
GTOCS5S GTSGBDO|CBPSM52,0,ou,2023-05-12 12:17:24.516,34,0,0,0:2:50,0,ou,2023-05-12 12:17:24.516,34,0,2023-05-12 12:50:11.621
ARC_MON GTSGBDO|OCSMON,0,ou,2023-05-12 12:13:05.151,38,0,0,0:3:10,0,ou,2023-05-12 12:13:05.151,38,0,2023-05-12 12:50:11.708
GTEVC GTARC|OCEVC,0,ou,2023-05-12 11:52:05.358,59,0,0,0:4:55,0,ou,2023-05-12 11:52:05.358,59,0,2023-05-12 12:50:11.831
ARC_LOA GTARC|OCSL,0,ou,2023-05-12 10:36:16.932,135,0,0,1:5:15,0,ou,2023-05-12 10:36:16.932,135,0,2023-05-12 12:50:11.887
ARC_LOA GTSGBDO|OCSLOAN,0,ou,2023-05-12 10:36:16.982,135,0,0,1:5:15,0,ou,2023-05-12 10:36:16.982,135,0,2023-05-12 12:50:11.960
GTEVC GTSGBDO|CBPEVC,0,ou,2023-05-12 10:27:05.408,144,0,0,2:0:0,0,ou,2023-05-12 10:27:05.408,144,0,2023-05-12 12:50:12.018
ARC_GFT GTARC|OGFT,0,ou,2023-05-12 10:26:06.511,145,0,0,2:0:5,0,ou,2023-05-12 10:26:06.511,145,0,2023-05-12 12:50:12.076
ARC_GFT GTSGBDO|OCSGFT,0,ou,2023-05-12 10:26:06.565,145,0,0,2:0:5,0,ou,2023-05-12 10:26:06.565,145,0,2023-05-12 12:50:12.125
ARC_VOU GTARC|OVOU,0,ou,2023-05-12 10:26:06.722,145,0,0,2:0:5,0,ou,2023-05-12 10:26:06.722,145,0,2023-05-12 12:50:12.180
ARC_VOU GTSGBDO|OCSVOU,0,ou,2023-05-12 10:26:06.776,145,0,0,2:0:5,0,ou,2023-05-12 10:26:06.776,145,0,2023-05-12 12:50:12.220
GTOCS5V GTSGBDO|CBPVO52,0,ou,2023-05-12 08:26:05.383,265,0,0,3:4:5,0,ou,2023-05-12 08:26:05.383,265,0,2023-05-12 12:50:12.259
