label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTEVC GTSGBDO|CBEVCMA,0,eq,2023-05-08 10:08:01.715,370,0,0,5:0:50,0,eq,2023-05-08 10:08:01.715,370,0,2023-05-08 16:17:02.452
GTEVCTR GTSGBDO|CEVCTMA,0,eq,2023-05-08 00:13:01.946,965,0,0,13:2:25,0,eq,2023-05-08 00:13:01.946,965,0,2023-05-08 16:17:02.683
TOTAL,0,eq,2023-05-07 20:17:08.389,1201,0,0,16:4:5,0,eq,2023-05-07 20:17:08.389,1201,0,2023-05-08 16:17:02.930
GTOCS5V GTSGBDO|CBPVO52,0,ou,2023-05-08 16:16:04.019,2,0,0,0:0:10,0,ou,2023-05-08 16:16:04.019,2,0,2023-05-08 16:17:04.546
ARC_DAT GTARC|ODATA,0,ou,2023-05-08 16:13:04.479,5,0,0,0:0:25,0,ou,2023-05-08 16:13:04.479,5,0,2023-05-08 16:17:04.602
ARC_DAT GTSGBDO|OCSDATA,0,ou,2023-05-08 16:13:04.537,5,0,0,0:0:25,0,ou,2023-05-08 16:13:04.537,5,0,2023-05-08 16:17:04.664
ARC_MGR GTARC|OMGR,0,ou,2023-05-08 16:13:04.593,5,0,0,0:0:25,0,ou,2023-05-08 16:13:04.593,5,0,2023-05-08 16:17:04.717
ARC_MON GTARC|OMON,0,ou,2023-05-08 16:13:04.650,5,0,0,0:0:25,0,ou,2023-05-08 16:13:04.650,5,0,2023-05-08 16:17:04.770
ARC_SMO GTARC|OSMS,0,ou,2023-05-08 16:13:04.716,5,0,0,0:0:25,0,ou,2023-05-08 16:13:04.716,5,0,2023-05-08 16:17:04.821
GTOCSMO GTSGBDO|CBPMON,0,ou,2023-05-08 16:13:04.788,5,0,0,0:0:25,0,ou,2023-05-08 16:13:04.788,5,0,2023-05-08 16:17:04.872
GTOCSMO GTSGBDO|CBPMON5,0,ou,2023-05-08 16:13:04.852,5,0,0,0:0:25,0,ou,2023-05-08 16:13:04.852,5,0,2023-05-08 16:17:04.923
