label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTSCDR GTARC|SCDR,0,in,2023-05-16 09:26:02.498,1,0,0,00:00:00,0,in,2023-05-16 09:26:02.531,1,0,2023-05-16 09:26:02.501
PGWCDRM GTARC|LTEM,0,eq,2023-05-16 09:09:08.135,18,0,0,0:1:30,0,eq,2023-05-16 09:09:08.135,18,0,2023-05-16 09:26:02.715
PGWCDRM GTARC|PGWCD,0,eq,2023-05-16 09:09:25.956,18,0,0,0:1:30,0,eq,2023-05-16 09:09:25.956,18,0,2023-05-16 09:26:03.083
PGWCDRM GTSGBDO|LTEPGMA,0,eq,2023-05-16 09:25:03.054,2,0,0,0:0:10,0,eq,2023-05-16 09:25:03.054,2,0,2023-05-16 09:26:03.287
PRD2_TP GTARC|TAP0311,0,in,2023-05-16 09:26:03.515,1,0,0,00:00:00,0,in,2023-05-16 09:26:03.553,1,0,2023-05-16 09:26:03.519
PRD2_TP GTARIS|TAP0312,0,in,2023-05-16 09:26:03.764,1,0,0,00:00:00,0,in,2023-05-16 09:26:03.804,1,0,2023-05-16 09:26:03.767
PRD_HC3 GTARC|AHC34,0,in,2023-05-16 09:26:04.057,1,0,0,00:00:00,0,in,2023-05-16 09:26:04.095,1,0,2023-05-16 09:26:04.061
PRD_HC3 GTICT|HC34NAT,0,eq,2023-05-16 09:12:18.353,15,0,0,0:1:15,0,eq,2023-05-16 09:12:18.353,15,0,2023-05-16 09:26:04.287
SGWCDRM GTARC|SGWCDR,0,eq,2023-05-16 09:12:19.711,15,0,0,0:1:15,0,eq,2023-05-16 09:12:19.711,15,0,2023-05-16 09:26:04.504
TOTAL,0,eq,2023-05-16 09:11:41.202,16,0,0,0:1:20,0,eq,2023-05-16 09:11:41.202,16,0,2023-05-16 09:26:04.723
PGWCDRM GTSGBDO|LTEPGQ4,0,ou,2023-05-16 09:26:05.933,1,0,0,00:00:00,0,ou,2023-05-16 09:26:05.956,1,0,2023-05-16 09:26:05.936
SGWCDRM GTSGBDO|LTES4GR,0,ou,2023-05-16 09:26:05.991,1,0,0,00:00:00,0,ou,2023-05-16 09:26:06.014,1,0,2023-05-16 09:26:05.994
SGWCDRM GTSGBDO|LTESGMA,0,ou,2023-05-16 09:25:05.723,2,0,0,0:0:10,0,ou,2023-05-16 09:25:05.723,2,0,2023-05-16 09:26:06.044
SGWCDRM GTMACH|NEXGT,0,ou,2023-05-16 09:24:04.887,3,0,0,0:0:15,0,ou,2023-05-16 09:24:04.887,3,0,2023-05-16 09:26:06.092
GTSCDR GTMACH|NEXGT,0,ou,2023-05-16 09:23:04.760,4,0,0,0:0:20,0,ou,2023-05-16 09:23:04.760,4,0,2023-05-16 09:26:06.137
GTSCDR GTSGBDO|LTSC3GR,0,ou,2023-05-16 09:19:35.112,8,0,0,0:0:40,0,ou,2023-05-16 09:19:35.112,8,0,2023-05-16 09:26:06.187
GTSCDR GTSGBDO|LTESCMA,0,ou,2023-05-16 09:18:06.298,9,0,0,0:0:45,0,ou,2023-05-16 09:18:06.298,9,0,2023-05-16 09:26:06.231
PRD_HC3 GTARIS|AHC34,0,ou,2023-05-16 09:16:32.508,11,0,0,0:0:55,0,ou,2023-05-16 09:16:32.508,11,0,2023-05-16 09:26:06.273
PRD_HC3 GTICT|HC34INT,0,ou,2023-05-16 09:16:32.553,11,0,0,0:0:55,0,ou,2023-05-16 09:16:32.553,11,0,2023-05-16 09:26:06.324
PRD_HC3 GTSGBDO|HC34MA,0,ou,2023-05-16 09:16:33.620,11,0,0,0:0:55,0,ou,2023-05-16 09:16:33.620,11,0,2023-05-16 09:26:06.379
PRD_HC3 GTSGBDO|HC3EMRQ,0,ou,2023-05-16 09:16:33.670,11,0,0,0:0:55,0,ou,2023-05-16 09:16:33.670,11,0,2023-05-16 09:26:06.429
