label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
MSCPROD GTARC|HMSC,20,up,2023-08-28 11:21:01.871,1,10,10,00:00:00,348194,up,2023-08-28 11:21:01.896,1,10,2023-08-28 11:21:01.873
MSCPROD GTFSTAT|HMSC,336,up,2023-08-28 11:21:02.141,1,20,20,00:00:00,425605,up,2023-08-28 11:21:02.173,1,20,2023-08-28 11:21:02.144
MSCPROD GTICT|HMSCINT,11,in,2023-08-28 11:21:02.412,1,0,0,00:00:00,214784,in,2023-08-28 11:21:02.449,1,0,2023-08-28 11:21:02.415
MSCPROD GTICT|HMSCNAT,20,in,2023-08-28 11:21:02.726,1,0,0,00:00:00,189814,in,2023-08-28 11:21:02.759,1,0,2023-08-28 11:21:02.729
MSCPROD GTMACH|GTNEXGN,20,eq,2023-08-28 11:07:03.392,15,0,0,0:1:15,66661,eq,2023-08-28 11:07:03.392,15,0,2023-08-28 11:21:03.015
MSCPROD GTSGBDO|MSCREQ,9,in,2023-08-28 11:21:03.270,1,0,0,00:00:00,19626,in,2023-08-28 11:21:03.304,1,0,2023-08-28 11:21:03.273
SBC_IMS GTARC|SBCIMS,2,eq,2023-08-28 11:21:03.557,1,0,0,00:00:00,31481,eq,2023-08-28 11:21:03.587,1,0,2023-08-28 11:21:03.561
TOTAL,418,dw,2023-08-28 11:21:03.805,1,-56,-56,00:00:00,5357368,dw,2023-08-28 11:21:03.834,1,-56,2023-08-28 11:21:03.808
ARCPSMS GTARCEP|HSMSCO2,40,ou,2023-08-28 11:21:04.031,1,0,0,00:00:00,986109,ou,2023-08-28 11:21:04.053,1,0,2023-08-28 11:21:04.034
ARCSMS2 GTARC|HSMSC2,21,ou,2023-08-28 11:21:04.085,1,0,0,00:00:00,2417979,ou,2023-08-28 11:21:04.107,1,0,2023-08-28 11:21:04.087
ARCSMS2 GTARCEP|HSMSC2,6,ou,2023-08-28 11:21:04.141,1,0,0,00:00:00,542624,ou,2023-08-28 11:21:04.165,1,0,2023-08-28 11:21:04.144
ARCSMS2 GTARCEP|OSMSC2,6,ou,2023-08-28 11:21:04.194,1,0,0,00:00:00,545067,ou,2023-08-28 11:21:04.216,1,0,2023-08-28 11:21:04.197
GTSMSC2 GTSGBDO|ESMSC2,46,ou,2023-08-28 11:21:04.245,1,0,0,00:00:00,1047348,ou,2023-08-28 11:21:04.267,1,0,2023-08-28 11:21:04.248
MSCPROD GTARCEP|HMSC,7,ou,2023-08-28 11:21:04.295,1,0,0,00:00:00,110039,ou,2023-08-28 11:21:04.317,1,0,2023-08-28 11:21:04.298
GTSBC2 GTARC|SBC,1,ou,2023-08-28 11:06:04.445,16,0,0,0:1:20,4294,ou,2023-08-28 11:06:04.445,16,0,2023-08-28 11:21:04.344
MSCPROD GTARIS|HMSC,4,ou,2023-08-28 11:06:04.605,16,0,0,0:1:20,5302,ou,2023-08-28 11:06:04.605,16,0,2023-08-28 11:21:04.390
MSCPROD GTSGBDO|MSCMAS,9,ou,2023-08-28 11:06:04.657,16,0,0,0:1:20,25267,ou,2023-08-28 11:06:04.657,16,0,2023-08-28 11:21:04.439
ARC_SMS GTARC|HSMSC,1,ou,2023-08-28 09:16:05.033,126,0,0,1:4:30,2232,ou,2023-08-28 09:16:05.033,126,0,2023-08-28 11:21:04.485
ARC_SMS GTARCEP|HSMSC,1,ou,2023-08-28 09:16:05.083,126,0,0,1:4:30,975,ou,2023-08-28 09:16:05.083,126,0,2023-08-28 11:21:04.529
ARC_SMS GTARCEP|OSMSC,1,ou,2023-08-28 09:16:05.137,126,0,0,1:4:30,826,ou,2023-08-28 09:16:05.137,126,0,2023-08-28 11:21:04.572
SBC_IMS GTICT|IMS_NAT,1,ou,2023-08-27 16:51:13.486,1111,0,0,15:2:35,592,ou,2023-08-27 16:51:13.486,1111,0,2023-08-28 11:21:04.616
SBC_IMS GTICT|IMS_INT,1,ou,2023-08-26 05:11:04.824,3251,0,0,45:0:55,441,ou,2023-08-26 05:11:04.824,3251,0,2023-08-28 11:21:04.659
GTSBC2 GTICT|SBCINT,1,ou,2023-08-21 10:02:03.531,10160,0,0,141:0:40,1,ou,2023-08-21 10:02:03.531,10160,0,2023-08-28 11:21:04.702
