label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTSCDR GTARC|SCDR,0,eq,2023-05-08 15:52:01.860,2,0,0,0:0:10,0,eq,2023-05-08 15:52:01.860,2,0,2023-05-08 15:53:02.220
GTSCDR GTMACH|NEXGT,0,eq,2023-05-08 15:53:03.652,1,0,0,00:00:00,0,eq,2023-05-08 15:53:03.674,1,0,2023-05-08 15:53:03.655
GTSCDR GTSGBDO|LTESCMA,0,eq,2023-05-08 15:53:04.700,1,0,0,00:00:00,0,eq,2023-05-08 15:53:04.720,1,0,2023-05-08 15:53:04.702
GTSCDR GTSGBDO|LTSC3GR,0,eq,2023-05-08 15:52:04.466,2,0,0,0:0:10,0,eq,2023-05-08 15:52:04.466,2,0,2023-05-08 15:53:05.598
PGWCDRM GTARC|LTEM,0,eq,2023-05-08 14:37:10.315,77,0,0,1:0:25,0,eq,2023-05-08 14:37:10.315,77,0,2023-05-08 15:53:06.154
PGWCDRM GTARC|PGWCD,0,eq,2023-05-08 13:42:04.178,132,0,0,1:5:0,0,eq,2023-05-08 13:42:04.178,132,0,2023-05-08 15:53:06.934
PRD_HC3 GTICT|HC34NAT,0,eq,2023-05-08 06:12:02.163,582,0,0,8:0:30,0,eq,2023-05-08 06:12:02.163,582,0,2023-05-08 15:53:08.182
SGWCDRM GTARC|SGWCDR,0,eq,2023-05-08 15:52:08.587,2,0,0,0:0:10,0,eq,2023-05-08 15:52:08.587,2,0,2023-05-08 15:53:08.932
SGWCDRM GTMACH|NEXGT,0,eq,2023-05-08 15:52:09.300,2,0,0,0:0:10,0,eq,2023-05-08 15:52:09.300,2,0,2023-05-08 15:53:10.020
SGWCDRM GTSGBDO|LTES4GR,0,eq,2023-05-08 15:52:09.969,2,0,0,0:0:10,0,eq,2023-05-08 15:52:09.969,2,0,2023-05-08 15:53:10.774
SGWCDRM GTSGBDO|LTESGMA,0,eq,2023-05-08 15:52:10.921,2,0,0,0:0:10,0,eq,2023-05-08 15:52:10.921,2,0,2023-05-08 15:53:11.240
TOTAL,0,eq,2023-05-05 22:08:31.983,3946,0,0,54:4:50,0,eq,2023-05-05 22:08:31.983,3946,0,2023-05-08 15:53:11.804
PGWCDRM GTSGBDO|LTEPGMA,0,ou,2023-05-08 15:52:12.298,2,0,0,0:0:10,0,ou,2023-05-08 15:52:12.298,2,0,2023-05-08 15:53:12.749
PRD2_TP GTARC|TAP0311,0,ou,2023-05-08 15:52:12.444,2,0,0,0:0:10,0,ou,2023-05-08 15:52:12.444,2,0,2023-05-08 15:53:12.905
PRD_HC3 GTARIS|AHC34,0,ou,2023-05-08 15:52:12.539,2,0,0,0:0:10,0,ou,2023-05-08 15:52:12.539,2,0,2023-05-08 15:53:13.011
PRD_HC3 GTICT|HC34INT,0,ou,2023-05-08 15:52:12.828,2,0,0,0:0:10,0,ou,2023-05-08 15:52:12.828,2,0,2023-05-08 15:53:13.125
PRD_HC3 GTSGBDO|HC34MA,0,ou,2023-05-08 15:52:12.904,2,0,0,0:0:10,0,ou,2023-05-08 15:52:12.904,2,0,2023-05-08 15:53:13.230
PRD_HC3 GTSGBDO|HC3EMRQ,0,ou,2023-05-08 15:52:12.983,2,0,0,0:0:10,0,ou,2023-05-08 15:52:12.983,2,0,2023-05-08 15:53:13.270
PRD2_TP GTARIS|TAP0312,0,ou,2023-05-08 15:51:18.462,3,0,0,0:0:15,0,ou,2023-05-08 15:51:18.462,3,0,2023-05-08 15:53:13.313
PGWCDRM GTSGBDO|LTEPGQ4,0,ou,2023-05-08 15:48:08.749,6,0,0,0:0:30,0,ou,2023-05-08 15:48:08.749,6,0,2023-05-08 15:53:13.400
PRD_HC3 GTARC|AHC34,0,ou,2023-05-08 15:46:09.917,8,0,0,0:0:40,0,ou,2023-05-08 15:46:09.917,8,0,2023-05-08 15:53:13.472
