label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
PRD_HC3 GTICT|HC34NAT,0,eq,2023-05-07 10:03:07.732,427,0,0,5:5:35,0,eq,2023-05-07 10:03:07.732,427,0,2023-05-07 17:09:02.308
TOTAL,0,eq,2023-05-05 22:08:31.983,2582,0,0,35:5:10,0,eq,2023-05-05 22:08:31.983,2582,0,2023-05-07 17:09:02.877
PGWCDRM GTARC|PGWCD,0,ou,2023-05-07 17:09:05.202,1,0,0,00:00:00,0,ou,2023-05-07 17:09:05.226,1,0,2023-05-07 17:09:05.205
GTSCDR GTMACH|NEXGT,0,ou,2023-05-07 17:08:10.323,2,0,0,0:0:10,0,ou,2023-05-07 17:08:10.323,2,0,2023-05-07 17:09:05.367
PGWCDRM GTARC|LTEM,0,ou,2023-05-07 17:08:10.749,2,0,0,0:0:10,0,ou,2023-05-07 17:08:10.749,2,0,2023-05-07 17:09:05.469
PGWCDRM GTSGBDO|LTEPGMA,0,ou,2023-05-07 17:08:10.942,2,0,0,0:0:10,0,ou,2023-05-07 17:08:10.942,2,0,2023-05-07 17:09:05.761
PGWCDRM GTSGBDO|LTEPGQ4,0,ou,2023-05-07 17:08:10.999,2,0,0,0:0:10,0,ou,2023-05-07 17:08:10.999,2,0,2023-05-07 17:09:05.859
SGWCDRM GTARC|SGWCDR,0,ou,2023-05-07 17:08:11.052,2,0,0,0:0:10,0,ou,2023-05-07 17:08:11.052,2,0,2023-05-07 17:09:05.955
SGWCDRM GTMACH|NEXGT,0,ou,2023-05-07 17:08:11.395,2,0,0,0:0:10,0,ou,2023-05-07 17:08:11.395,2,0,2023-05-07 17:09:06.605
SGWCDRM GTSGBDO|LTES4GR,0,ou,2023-05-07 17:08:11.481,2,0,0,0:0:10,0,ou,2023-05-07 17:08:11.481,2,0,2023-05-07 17:09:06.762
PRD_HC3 GTSGBDO|HC3EMRQ,0,ou,2023-05-07 17:07:10.780,3,0,0,0:0:15,0,ou,2023-05-07 17:07:10.780,3,0,2023-05-07 17:09:06.833
SGWCDRM GTSGBDO|LTESGMA,0,ou,2023-05-07 17:07:10.980,3,0,0,0:0:15,0,ou,2023-05-07 17:07:10.980,3,0,2023-05-07 17:09:06.957
GTSCDR GTSGBDO|LTESCMA,0,ou,2023-05-07 17:05:08.284,5,0,0,0:0:25,0,ou,2023-05-07 17:05:08.284,5,0,2023-05-07 17:09:07.031
GTSCDR GTSGBDO|LTSC3GR,0,ou,2023-05-07 17:05:08.551,5,0,0,0:0:25,0,ou,2023-05-07 17:05:08.551,5,0,2023-05-07 17:09:07.157
GTSCDR GTARC|SCDR,0,ou,2023-05-07 17:04:11.908,6,0,0,0:0:30,0,ou,2023-05-07 17:04:11.908,6,0,2023-05-07 17:09:07.227
PRD_HC3 GTSGBDO|HC34MA,0,ou,2023-05-07 17:03:14.368,7,0,0,0:0:35,0,ou,2023-05-07 17:03:14.368,7,0,2023-05-07 17:09:07.325
PRD_HC3 GTARIS|AHC34,0,ou,2023-05-07 17:02:08.342,8,0,0,0:0:40,0,ou,2023-05-07 17:02:08.342,8,0,2023-05-07 17:09:07.402
PRD_HC3 GTICT|HC34INT,0,ou,2023-05-07 17:02:08.466,8,0,0,0:0:40,0,ou,2023-05-07 17:02:08.466,8,0,2023-05-07 17:09:07.446
PRD2_TP GTARC|TAP0311,0,ou,2023-05-07 17:01:10.416,9,0,0,0:0:45,0,ou,2023-05-07 17:01:10.416,9,0,2023-05-07 17:09:07.519
PRD2_TP GTARIS|TAP0312,0,ou,2023-05-07 17:01:10.493,9,0,0,0:0:45,0,ou,2023-05-07 17:01:10.493,9,0,2023-05-07 17:09:07.563
PRD_HC3 GTARC|AHC34,0,ou,2023-05-07 16:46:10.626,24,0,0,0:2:0,0,ou,2023-05-07 16:46:10.626,24,0,2023-05-07 17:09:07.684
