label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTEVC GTSGBDO|CBEVCMA,0,eq,2023-05-16 08:27:02.034,77,0,0,1:0:25,0,eq,2023-05-16 08:27:02.034,77,0,2023-05-16 09:43:02.104
GTEVCTR GTSGBDO|CEVCTMA,0,eq,2023-05-16 09:21:02.317,23,0,0,0:1:55,0,eq,2023-05-16 09:21:02.317,23,0,2023-05-16 09:43:02.326
TOTAL,0,eq,2023-05-16 08:27:03.131,77,0,0,1:0:25,0,eq,2023-05-16 08:27:03.131,77,0,2023-05-16 09:43:02.564
GTEVC GTARC|OCEVC,0,ou,2023-05-16 09:43:03.867,1,0,0,00:00:00,0,ou,2023-05-16 09:43:03.888,1,0,2023-05-16 09:43:03.870
GTEVC GTSGBDO|CBPEVC,0,ou,2023-05-16 09:43:03.923,1,0,0,00:00:00,0,ou,2023-05-16 09:43:03.944,1,0,2023-05-16 09:43:03.926
GTOCSMO GTSGBDO|CBPMON,0,ou,2023-05-16 09:43:03.977,1,0,0,00:00:00,0,ou,2023-05-16 09:43:03.999,1,0,2023-05-16 09:43:03.980
GTOCSMO GTSGBDO|CBPMON5,0,ou,2023-05-16 09:43:04.034,1,0,0,00:00:00,0,ou,2023-05-16 09:43:04.055,1,0,2023-05-16 09:43:04.037
GTOCS5L GTSGBDO|CBPLOAN,0,ou,2023-05-16 09:31:03.492,13,0,0,0:1:5,0,ou,2023-05-16 09:31:03.492,13,0,2023-05-16 09:43:04.090
ARC_GFT GTARC|OGFT,0,ou,2023-05-16 09:27:03.969,17,0,0,0:1:25,0,ou,2023-05-16 09:27:03.969,17,0,2023-05-16 09:43:04.141
ARC_GFT GTSGBDO|OCSGFT,0,ou,2023-05-16 09:27:04.024,17,0,0,0:1:25,0,ou,2023-05-16 09:27:04.024,17,0,2023-05-16 09:43:04.203
ARC_LOA GTARC|OCSL,0,ou,2023-05-16 09:27:04.080,17,0,0,0:1:25,0,ou,2023-05-16 09:27:04.080,17,0,2023-05-16 09:43:04.256
ARC_LOA GTSGBDO|OCSLOAN,0,ou,2023-05-16 09:27:04.134,17,0,0,0:1:25,0,ou,2023-05-16 09:27:04.134,17,0,2023-05-16 09:43:04.308
ARC_REC GTARC|OREC,0,ou,2023-05-16 09:27:04.191,17,0,0,0:1:25,0,ou,2023-05-16 09:27:04.191,17,0,2023-05-16 09:43:04.357
ARC_REC GTSGBDO|OCSREC,0,ou,2023-05-16 09:27:04.245,17,0,0,0:1:25,0,ou,2023-05-16 09:27:04.245,17,0,2023-05-16 09:43:04.404
ARC_VOU GTARC|OVOU,0,ou,2023-05-16 09:27:04.309,17,0,0,0:1:25,0,ou,2023-05-16 09:27:04.309,17,0,2023-05-16 09:43:04.451
ARC_VOU GTSGBDO|OCSVOU,0,ou,2023-05-16 09:27:04.361,17,0,0,0:1:25,0,ou,2023-05-16 09:27:04.361,17,0,2023-05-16 09:43:04.496
GTOCS5M GTSGBDO|CBPMG52,0,ou,2023-05-16 09:27:04.460,17,0,0,0:1:25,0,ou,2023-05-16 09:27:04.460,17,0,2023-05-16 09:43:04.541
GTOCS5R GTSGBDO|CBPRE52,0,ou,2023-05-16 09:27:04.511,17,0,0,0:1:25,0,ou,2023-05-16 09:27:04.511,17,0,2023-05-16 09:43:04.594
GTOCS5S GTSGBDO|CBPSM52,0,ou,2023-05-16 09:27:04.563,17,0,0,0:1:25,0,ou,2023-05-16 09:27:04.563,17,0,2023-05-16 09:43:04.646
GTOCS5V GTSGBDO|CBPVO52,0,ou,2023-05-16 09:27:04.615,17,0,0,0:1:25,0,ou,2023-05-16 09:27:04.615,17,0,2023-05-16 09:43:04.697
ARC_MGR GTARC|OMGR,0,ou,2023-05-16 09:19:03.976,25,0,0,0:2:5,0,ou,2023-05-16 09:19:03.976,25,0,2023-05-16 09:43:04.739
ARC_MGR GTSGBDO|OCSMGR,0,ou,2023-05-16 09:19:04.029,25,0,0,0:2:5,0,ou,2023-05-16 09:19:04.029,25,0,2023-05-16 09:43:04.782
ARC_MON GTARC|OMON,0,ou,2023-05-16 09:19:04.083,25,0,0,0:2:5,0,ou,2023-05-16 09:19:04.083,25,0,2023-05-16 09:43:04.825
ARC_MON GTSGBDO|OCSMON,0,ou,2023-05-16 09:19:04.134,25,0,0,0:2:5,0,ou,2023-05-16 09:19:04.134,25,0,2023-05-16 09:43:04.869
GTOCS5D GTSGBDO|CBP52DA,0,ou,2023-05-16 09:17:29.587,27,0,0,0:2:15,0,ou,2023-05-16 09:17:29.587,27,0,2023-05-16 09:43:04.911
GTEVCTR GTARC|OCTRA,0,ou,2023-05-16 08:47:16.100,57,0,0,0:4:45,0,ou,2023-05-16 08:47:16.100,57,0,2023-05-16 09:43:04.953
ARC_DAT GTARC|ODATA,0,ou,2023-05-16 08:26:09.918,78,0,0,1:0:30,0,ou,2023-05-16 08:26:09.918,78,0,2023-05-16 09:43:04.990
