label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
MSCPROD GTARC|HMSC,0,eq,2023-05-13 17:41:02.225,1,0,0,00:00:00,0,eq,2023-05-13 17:41:02.249,1,0,2023-05-13 17:41:02.227
MSCPROD GTFSTAT|HMSC,0,eq,2023-05-12 14:58:03.036,1604,0,0,22:1:40,0,eq,2023-05-12 14:58:03.036,1604,0,2023-05-13 17:41:02.470
MSCPROD GTICT|HMSCINT,0,in,2023-05-13 17:41:02.712,1,0,0,00:00:00,0,in,2023-05-13 17:41:02.741,1,0,2023-05-13 17:41:02.714
MSCPROD GTICT|HMSCNAT,0,in,2023-05-13 17:41:02.963,1,0,0,00:00:00,0,in,2023-05-13 17:41:02.993,1,0,2023-05-13 17:41:02.966
MSCPROD GTMACH|GTNEXGN,0,eq,2023-05-13 14:42:04.282,180,0,0,2:3:0,0,eq,2023-05-13 14:42:04.282,180,0,2023-05-13 17:41:03.206
SBC_IMS GTARC|SBCIMS,0,eq,2023-05-13 17:41:03.431,1,0,0,00:00:00,0,eq,2023-05-13 17:41:03.457,1,0,2023-05-13 17:41:03.433
TOTAL,0,eq,2023-05-10 20:35:53.958,4147,0,0,57:3:35,0,eq,2023-05-10 20:35:53.958,4147,0,2023-05-13 17:41:03.670
ARCPSMS GTARCEP|HSMSCO2,0,ou,2023-05-13 17:41:04.504,1,0,0,00:00:00,0,ou,2023-05-13 17:41:04.524,1,0,2023-05-13 17:41:04.506
ARCSMS2 GTARC|HSMSC2,0,ou,2023-05-13 17:41:04.555,1,0,0,00:00:00,0,ou,2023-05-13 17:41:04.579,1,0,2023-05-13 17:41:04.557
ARCSMS2 GTARCEP|HSMSC2,0,ou,2023-05-13 17:41:04.608,1,0,0,00:00:00,0,ou,2023-05-13 17:41:04.628,1,0,2023-05-13 17:41:04.611
ARCSMS2 GTARCEP|OSMSC2,0,ou,2023-05-13 17:41:04.656,1,0,0,00:00:00,0,ou,2023-05-13 17:41:04.676,1,0,2023-05-13 17:41:04.659
GTSMSC2 GTSGBDO|ESMSC2,0,ou,2023-05-13 17:41:04.705,1,0,0,00:00:00,0,ou,2023-05-13 17:41:04.729,1,0,2023-05-13 17:41:04.708
MSCPROD GTARCEP|HMSC,0,ou,2023-05-13 17:41:04.762,1,0,0,00:00:00,0,ou,2023-05-13 17:41:04.784,1,0,2023-05-13 17:41:04.764
MSCPROD GTARIS|HMSC,0,ou,2023-05-13 17:26:05.303,16,0,0,0:1:20,0,ou,2023-05-13 17:26:05.303,16,0,2023-05-13 17:41:04.814
MSCPROD GTSGBDO|MSCMAS,0,ou,2023-05-13 17:26:05.352,16,0,0,0:1:20,0,ou,2023-05-13 17:26:05.352,16,0,2023-05-13 17:41:04.862
MSCPROD GTSGBDO|MSCREQ,0,ou,2023-05-13 17:26:05.400,16,0,0,0:1:20,0,ou,2023-05-13 17:26:05.400,16,0,2023-05-13 17:41:04.909
GTSBC2 GTARC|SBC,0,ou,2023-05-13 17:24:03.726,18,0,0,0:1:30,0,ou,2023-05-13 17:24:03.726,18,0,2023-05-13 17:41:04.956
ARC_SMS GTARC|HSMSC,0,ou,2023-05-13 17:21:04.577,21,0,0,0:1:45,0,ou,2023-05-13 17:21:04.577,21,0,2023-05-13 17:41:05.001
ARC_SMS GTARCEP|OSMSC,0,ou,2023-05-13 16:01:04.398,101,0,0,1:2:25,0,ou,2023-05-13 16:01:04.398,101,0,2023-05-13 17:41:05.046
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-05-13 15:17:05.681,145,0,0,2:0:5,0,ou,2023-05-13 15:17:05.681,145,0,2023-05-13 17:41:05.089
ARC_SMS GTARCEP|HSMSC,0,ou,2023-05-13 15:11:05.967,151,0,0,2:0:35,0,ou,2023-05-13 15:11:05.967,151,0,2023-05-13 17:41:05.134
SBC_IMS GTICT|IMS_INT,0,ou,2023-05-11 16:42:13.676,2940,0,0,40:5:0,0,ou,2023-05-11 16:42:13.676,2940,0,2023-05-13 17:41:05.179
SBC_IMS GTICT|IMS_NAT,0,ou,2023-05-11 16:01:06.710,2981,0,0,41:2:25,0,ou,2023-05-11 16:01:06.710,2981,0,2023-05-13 17:41:05.223
