label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARCPSMS GTARCEP|HSMSCO2,14457,up,2023-05-16 09:42:02.851,2,38,134,0:0:10,14938,up,2023-05-16 09:42:02.851,2,38,2023-05-16 09:43:03.187
MSCPROD GTARC|HMSC,15,dw,2023-05-16 09:43:03.408,1,-18,-18,00:00:00,172,dw,2023-05-16 09:43:03.435,1,-18,2023-05-16 09:43:03.410
MSCPROD GTFSTAT|HMSC,529,eq,2023-05-16 09:43:03.644,1,0,0,00:00:00,935,eq,2023-05-16 09:43:03.672,1,0,2023-05-16 09:43:03.647
MSCPROD GTICT|HMSCINT,18,eq,2023-05-16 09:43:03.889,1,0,0,00:00:00,100,eq,2023-05-16 09:43:03.920,1,0,2023-05-16 09:43:03.893
MSCPROD GTICT|HMSCNAT,18,eq,2023-05-16 09:43:04.134,1,0,0,00:00:00,91,eq,2023-05-16 09:43:04.163,1,0,2023-05-16 09:43:04.137
MSCPROD GTMACH|GTNEXGN,26,eq,2023-05-16 09:43:04.366,1,0,0,00:00:00,142,eq,2023-05-16 09:43:04.395,1,0,2023-05-16 09:43:04.369
MSCPROD GTSGBDO|MSCREQ,55,eq,2023-05-16 09:43:04.607,1,0,0,00:00:00,94,eq,2023-05-16 09:43:04.637,1,0,2023-05-16 09:43:04.610
TOTAL,15118,dw,2023-05-16 09:43:04.860,1,-552,-552,00:00:00,32626,dw,2023-05-16 09:43:04.891,1,-552,2023-05-16 09:43:04.863
ARCSMS2 GTARC|HSMSC2,14,ou,2023-05-16 09:43:05.090,1,0,0,00:00:00,527,ou,2023-05-16 09:43:05.115,1,0,2023-05-16 09:43:05.092
ARCSMS2 GTARCEP|HSMSC2,2,ou,2023-05-16 09:43:05.144,1,0,0,00:00:00,291,ou,2023-05-16 09:43:05.167,1,0,2023-05-16 09:43:05.147
ARCSMS2 GTARCEP|OSMSC2,2,ou,2023-05-16 09:43:05.196,1,0,0,00:00:00,293,ou,2023-05-16 09:43:05.219,1,0,2023-05-16 09:43:05.199
GTSMSC2 GTSGBDO|ESMSC2,537,ou,2023-05-16 09:43:05.250,1,0,0,00:00:00,915,ou,2023-05-16 09:43:05.277,1,0,2023-05-16 09:43:05.253
MSCPROD GTARCEP|HMSC,8,ou,2023-05-16 09:43:05.306,1,0,0,00:00:00,46,ou,2023-05-16 09:43:05.329,1,0,2023-05-16 09:43:05.309
MSCPROD GTARIS|HMSC,5,ou,2023-05-16 09:43:05.360,1,0,0,00:00:00,47,ou,2023-05-16 09:43:05.385,1,0,2023-05-16 09:43:05.363
MSCPROD GTSGBDO|MSCMAS,4,ou,2023-05-16 09:43:05.413,1,0,0,00:00:00,65,ou,2023-05-16 09:43:05.436,1,0,2023-05-16 09:43:05.415
ARC_SMS GTARC|HSMSC,1,ou,2023-05-16 09:42:07.312,2,0,0,0:0:10,3,ou,2023-05-16 09:42:07.312,2,0,2023-05-16 09:43:05.463
SBC_IMS GTARC|SBCIMS,3,ou,2023-05-16 09:42:07.362,2,0,0,0:0:10,8,ou,2023-05-16 09:42:07.362,2,0,2023-05-16 09:43:05.505
GTSBC2 GTARC|SBC,1,ou,2023-05-16 09:28:16.250,16,0,0,0:1:20,1,ou,2023-05-16 09:28:16.250,16,0,2023-05-16 09:43:05.552
GTSMSCT GTSGBDO|ESMSC,1,ou,2023-05-16 09:28:16.301,16,0,0,0:1:20,5,ou,2023-05-16 09:28:16.301,16,0,2023-05-16 09:43:05.595
ARC_SMS GTARCEP|HSMSC,1,ou,2023-05-16 09:17:05.704,27,0,0,0:2:15,2,ou,2023-05-16 09:17:05.704,27,0,2023-05-16 09:43:05.638
ARC_SMS GTARCEP|OSMSC,1,ou,2023-05-16 09:16:06.668,28,0,0,0:2:20,2,ou,2023-05-16 09:16:06.668,28,0,2023-05-16 09:43:05.679
