label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
PGWCDRM GTARC|LTEM,0,eq,2023-05-16 09:11:26.590,33,0,0,0:2:45,,eq,2023-05-16 09:11:26.590,33,0,2023-05-16 09:43:02.380
PGWCDRM GTARC|PGWCD,0,eq,2023-05-16 09:09:12.045,35,0,0,0:2:55,,eq,2023-05-16 09:09:12.045,35,0,2023-05-16 09:43:02.761
PGWCDRM GTSGBDO|LTEPGMA,0,in,2023-05-16 09:43:03.141,1,0,0,00:00:00,0,in,2023-05-16 09:43:03.172,1,0,2023-05-16 09:43:03.144
PGWCDRM GTSGBDO|LTEPGQ4,0,in,2023-05-16 09:43:03.493,1,0,0,00:00:00,0,in,2023-05-16 09:43:03.521,1,0,2023-05-16 09:43:03.496
PRD_HC3 GTICT|HC34NAT,0,eq,2023-05-16 09:12:18.278,32,0,0,0:2:40,0,eq,2023-05-16 09:12:18.278,32,0,2023-05-16 09:43:03.879
SGWCDRM GTARC|SGWCDR,0,eq,2023-05-16 09:12:19.647,32,0,0,0:2:40,0,eq,2023-05-16 09:12:19.647,32,0,2023-05-16 09:43:04.175
SGWCDRM GTSGBDO|LTES4GR,0,in,2023-05-16 09:43:04.477,1,0,0,00:00:00,0,in,2023-05-16 09:43:04.508,1,0,2023-05-16 09:43:04.480
SGWCDRM GTSGBDO|LTESGMA,0,in,2023-05-16 09:43:04.945,1,0,0,00:00:00,0,in,2023-05-16 09:43:04.973,1,0,2023-05-16 09:43:04.948
TOTAL,0,eq,2023-05-16 09:09:07.632,35,0,0,0:2:55,0,eq,2023-05-16 09:09:07.632,35,0,2023-05-16 09:43:05.615
SGWCDRM GTMACH|NEXGT,0,ou,2023-05-16 09:43:06.920,1,0,0,00:00:00,0,ou,2023-05-16 09:43:06.940,1,0,2023-05-16 09:43:06.922
GTSCDR GTMACH|NEXGT,0,ou,2023-05-16 09:42:13.381,2,0,0,0:0:10,0,ou,2023-05-16 09:42:13.381,2,0,2023-05-16 09:43:07.066
PRD_HC3 GTARIS|AHC34,0,ou,2023-05-16 09:40:05.126,4,0,0,0:0:20,0,ou,2023-05-16 09:40:05.126,4,0,2023-05-16 09:43:07.215
GTSCDR GTARC|SCDR,0,ou,2023-05-16 09:38:05.164,6,0,0,0:0:30,0,ou,2023-05-16 09:38:05.164,6,0,2023-05-16 09:43:07.288
GTSCDR GTSGBDO|LTSC3GR,0,ou,2023-05-16 09:38:05.214,6,0,0,0:0:30,0,ou,2023-05-16 09:38:05.214,6,0,2023-05-16 09:43:07.344
PRD_HC3 GTARC|AHC34,0,ou,2023-05-16 09:36:04.709,8,0,0,0:0:40,0,ou,2023-05-16 09:36:04.709,8,0,2023-05-16 09:43:07.389
GTSCDR GTSGBDO|LTESCMA,0,ou,2023-05-16 09:34:07.237,10,0,0,0:0:50,0,ou,2023-05-16 09:34:07.237,10,0,2023-05-16 09:43:07.433
PRD2_TP GTARC|TAP0311,0,ou,2023-05-16 09:31:37.758,13,0,0,0:1:5,0,ou,2023-05-16 09:31:37.758,13,0,2023-05-16 09:43:07.475
PRD2_TP GTARIS|TAP0312,0,ou,2023-05-16 09:31:38.023,13,0,0,0:1:5,0,ou,2023-05-16 09:31:38.023,13,0,2023-05-16 09:43:07.517
PRD_HC3 GTICT|HC34INT,0,ou,2023-05-16 09:16:31.080,28,0,0,0:2:20,0,ou,2023-05-16 09:16:31.080,28,0,2023-05-16 09:43:07.560
PRD_HC3 GTSGBDO|HC34MA,0,ou,2023-05-16 09:16:31.189,28,0,0,0:2:20,0,ou,2023-05-16 09:16:31.189,28,0,2023-05-16 09:43:07.602
PRD_HC3 GTSGBDO|HC3EMRQ,0,ou,2023-05-16 09:16:31.392,28,0,0,0:2:20,0,ou,2023-05-16 09:16:31.392,28,0,2023-05-16 09:43:07.642
