label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTEVC GTSGBDO|CBEVCMA,0,eq,2023-05-08 10:08:01.851,345,0,0,4:4:45,0,eq,2023-05-08 10:08:01.851,345,0,2023-05-08 15:52:01.785
GTEVCTR GTSGBDO|CEVCTMA,0,eq,2023-05-08 00:13:02.019,940,0,0,13:0:20,0,eq,2023-05-08 00:13:02.019,940,0,2023-05-08 15:52:02.021
TOTAL,0,eq,2023-05-07 20:18:04.868,1175,0,0,16:1:55,0,eq,2023-05-07 20:18:04.868,1175,0,2023-05-08 15:52:02.275
GTOCS5R GTSGBDO|CBPRE52,0,ou,2023-05-08 15:52:05.303,1,0,0,00:00:00,0,ou,2023-05-08 15:52:05.325,1,0,2023-05-08 15:52:05.306
GTOCSMO GTSGBDO|CBPMON,0,ou,2023-05-08 15:49:18.390,4,0,0,0:0:20,0,ou,2023-05-08 15:49:18.390,4,0,2023-05-08 15:52:05.365
GTOCSMO GTSGBDO|CBPMON5,0,ou,2023-05-08 15:49:20.210,4,0,0,0:0:20,0,ou,2023-05-08 15:49:20.210,4,0,2023-05-08 15:52:05.421
GTOCS5V GTSGBDO|CBPVO52,0,ou,2023-05-08 15:46:05.148,7,0,0,0:0:35,0,ou,2023-05-08 15:46:05.148,7,0,2023-05-08 15:52:05.478
ARC_DAT GTARC|ODATA,0,ou,2023-05-08 15:32:05.512,21,0,0,0:1:45,0,ou,2023-05-08 15:32:05.512,21,0,2023-05-08 15:52:05.531
ARC_DAT GTSGBDO|OCSDATA,0,ou,2023-05-08 15:32:05.577,21,0,0,0:1:45,0,ou,2023-05-08 15:32:05.577,21,0,2023-05-08 15:52:05.586
ARC_GFT GTARC|OGFT,0,ou,2023-05-08 15:32:05.642,21,0,0,0:1:45,0,ou,2023-05-08 15:32:05.642,21,0,2023-05-08 15:52:05.640
ARC_GFT GTSGBDO|OCSGFT,0,ou,2023-05-08 15:32:05.709,21,0,0,0:1:45,0,ou,2023-05-08 15:32:05.709,21,0,2023-05-08 15:52:05.694
