label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
MSCPROD GTARC|HMSC,18,up,2023-05-13 17:41:02.152,1,9,9,00:00:00,10238,up,2023-05-13 17:41:02.177,1,9,2023-05-13 17:41:02.155
MSCPROD GTFSTAT|HMSC,361,up,2023-05-13 17:41:02.386,1,18,18,00:00:00,12787,up,2023-05-13 17:41:02.413,1,18,2023-05-13 17:41:02.389
MSCPROD GTICT|HMSCINT,17,in,2023-05-13 17:41:02.624,1,0,0,00:00:00,4427,in,2023-05-13 17:41:02.659,1,0,2023-05-13 17:41:02.627
MSCPROD GTICT|HMSCNAT,17,in,2023-05-13 17:41:02.883,1,0,0,00:00:00,3690,in,2023-05-13 17:41:02.911,1,0,2023-05-13 17:41:02.885
MSCPROD GTMACH|GTNEXGN,17,dw,2023-05-13 17:41:03.130,1,-1,-1,00:00:00,1603,dw,2023-05-13 17:41:03.157,1,-1,2023-05-13 17:41:03.133
SBC_IMS GTARC|SBCIMS,2,eq,2023-05-13 17:41:03.355,1,0,0,00:00:00,857,eq,2023-05-13 17:41:03.381,1,0,2023-05-13 17:41:03.357
TOTAL,432,dw,2023-05-13 17:41:03.587,1,-113,-113,00:00:00,260183,dw,2023-05-13 17:41:03.615,1,-113,2023-05-13 17:41:03.589
ARCPSMS GTARCEP|HSMSCO2,30,ou,2023-05-13 17:41:03.812,1,0,0,00:00:00,69901,ou,2023-05-13 17:41:03.834,1,0,2023-05-13 17:41:03.814
ARCSMS2 GTARC|HSMSC2,8,ou,2023-05-13 17:41:03.864,1,0,0,00:00:00,122324,ou,2023-05-13 17:41:03.886,1,0,2023-05-13 17:41:03.867
ARCSMS2 GTARCEP|HSMSC2,5,ou,2023-05-13 17:41:03.916,1,0,0,00:00:00,18415,ou,2023-05-13 17:41:03.936,1,0,2023-05-13 17:41:03.918
ARCSMS2 GTARCEP|OSMSC2,6,ou,2023-05-13 17:41:03.963,1,0,0,00:00:00,19695,ou,2023-05-13 17:41:03.983,1,0,2023-05-13 17:41:03.966
GTSMSC2 GTSGBDO|ESMSC2,117,ou,2023-05-13 17:41:04.011,1,0,0,00:00:00,59432,ou,2023-05-13 17:41:04.031,1,0,2023-05-13 17:41:04.013
MSCPROD GTARCEP|HMSC,7,ou,2023-05-13 17:41:04.059,1,0,0,00:00:00,2395,ou,2023-05-13 17:41:04.079,1,0,2023-05-13 17:41:04.061
MSCPROD GTARIS|HMSC,1,ou,2023-05-13 17:26:04.535,16,0,0,0:1:20,1169,ou,2023-05-13 17:26:04.535,16,0,2023-05-13 17:41:04.106
MSCPROD GTSGBDO|MSCMAS,1,ou,2023-05-13 17:26:04.585,16,0,0,0:1:20,1651,ou,2023-05-13 17:26:04.585,16,0,2023-05-13 17:41:04.149
MSCPROD GTSGBDO|MSCREQ,1,ou,2023-05-13 17:26:04.635,16,0,0,0:1:20,1286,ou,2023-05-13 17:26:04.635,16,0,2023-05-13 17:41:04.190
GTSBC2 GTARC|SBC,1,ou,2023-05-13 17:24:02.870,18,0,0,0:1:30,125,ou,2023-05-13 17:24:02.870,18,0,2023-05-13 17:41:04.231
ARC_SMS GTARC|HSMSC,1,ou,2023-05-13 17:21:03.826,21,0,0,0:1:45,85,ou,2023-05-13 17:21:03.826,21,0,2023-05-13 17:41:04.271
ARC_SMS GTARCEP|OSMSC,1,ou,2023-05-13 16:01:03.631,101,0,0,1:2:25,55,ou,2023-05-13 16:01:03.631,101,0,2023-05-13 17:41:04.310
GTSMSCT GTSGBDO|ESMSC,1,ou,2023-05-13 15:17:04.923,145,0,0,2:0:5,47,ou,2023-05-13 15:17:04.923,145,0,2023-05-13 17:41:04.349
ARC_SMS GTARCEP|HSMSC,1,ou,2023-05-13 15:11:05.329,151,0,0,2:0:35,53,ou,2023-05-13 15:11:05.329,151,0,2023-05-13 17:41:04.387
SBC_IMS GTICT|IMS_INT,2,ou,2023-05-11 16:42:12.217,2940,0,0,40:5:0,2,ou,2023-05-11 16:42:12.217,2940,0,2023-05-13 17:41:04.424
SBC_IMS GTICT|IMS_NAT,2,ou,2023-05-11 16:01:06.436,2981,0,0,41:2:25,3,ou,2023-05-11 16:01:06.436,2981,0,2023-05-13 17:41:04.461
