label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTEVC GTSGBDO|CBEVCMA,0,eq,2023-05-09 09:17:06.695,402,0,0,5:3:30,0,eq,2023-05-09 09:17:06.695,402,0,2023-05-09 15:58:02.016
GTEVCTR GTSGBDO|CEVCTMA,0,eq,2023-05-09 09:17:08.257,402,0,0,5:3:30,0,eq,2023-05-09 09:17:08.257,402,0,2023-05-09 15:58:02.289
TOTAL,0,eq,2023-05-09 09:17:12.153,402,0,0,5:3:30,0,eq,2023-05-09 09:17:12.153,402,0,2023-05-09 15:58:02.530
GTOCS5V GTSGBDO|CBPVO52,0,ou,2023-05-09 15:56:05.479,3,0,0,0:0:15,0,ou,2023-05-09 15:56:05.479,3,0,2023-05-09 15:58:05.388
GTOCSMO GTSGBDO|CBPMON,0,ou,2023-05-09 15:55:19.642,4,0,0,0:0:20,0,ou,2023-05-09 15:55:19.642,4,0,2023-05-09 15:58:05.442
GTOCSMO GTSGBDO|CBPMON5,0,ou,2023-05-09 15:55:19.875,4,0,0,0:0:20,0,ou,2023-05-09 15:55:19.875,4,0,2023-05-09 15:58:05.495
GTOCS5R GTSGBDO|CBPRE52,0,ou,2023-05-09 15:32:05.356,27,0,0,0:2:15,0,ou,2023-05-09 15:32:05.356,27,0,2023-05-09 15:58:05.546
GTOCS5L GTSGBDO|CBPLOAN,0,ou,2023-05-09 15:31:06.883,28,0,0,0:2:20,0,ou,2023-05-09 15:31:06.883,28,0,2023-05-09 15:58:05.597
ARC_REC GTARC|OREC,0,ou,2023-05-09 15:27:05.746,32,0,0,0:2:40,0,ou,2023-05-09 15:27:05.746,32,0,2023-05-09 15:58:05.646
GTOCS5D GTSGBDO|CBP52DA,0,ou,2023-05-09 15:17:23.255,42,0,0,0:3:30,0,ou,2023-05-09 15:17:23.255,42,0,2023-05-09 15:58:05.694
GTEVCTR GTARC|OCTRA,0,ou,2023-05-09 15:16:43.205,43,0,0,0:3:35,0,ou,2023-05-09 15:16:43.205,43,0,2023-05-09 15:58:05.742
GTOCS5M GTSGBDO|CBPMG52,0,ou,2023-05-09 15:11:05.773,48,0,0,0:4:0,0,ou,2023-05-09 15:11:05.773,48,0,2023-05-09 15:58:05.790
ARC_MGR GTARC|OMGR,0,ou,2023-05-09 14:49:05.231,70,0,0,0:5:50,0,ou,2023-05-09 14:49:05.231,70,0,2023-05-09 15:58:05.837
ARC_MGR GTSGBDO|OCSMGR,0,ou,2023-05-09 14:49:05.289,70,0,0,0:5:50,0,ou,2023-05-09 14:49:05.289,70,0,2023-05-09 15:58:05.885
ARC_MON GTARC|OMON,0,ou,2023-05-09 14:49:05.343,70,0,0,0:5:50,0,ou,2023-05-09 14:49:05.343,70,0,2023-05-09 15:58:05.931
ARC_MON GTSGBDO|OCSMON,0,ou,2023-05-09 14:49:05.396,70,0,0,0:5:50,0,ou,2023-05-09 14:49:05.396,70,0,2023-05-09 15:58:05.977
ARC_SMO GTARC|OSMS,0,ou,2023-05-09 14:49:05.455,70,0,0,0:5:50,0,ou,2023-05-09 14:49:05.455,70,0,2023-05-09 15:58:06.021
ARC_SMO GTSGBDO|OCSSMS,0,ou,2023-05-09 14:49:05.508,70,0,0,0:5:50,0,ou,2023-05-09 14:49:05.508,70,0,2023-05-09 15:58:06.065
ARC_DAT GTARC|ODATA,0,ou,2023-05-09 14:25:20.041,94,0,0,1:1:50,0,ou,2023-05-09 14:25:20.041,94,0,2023-05-09 15:58:06.112
ARC_DAT GTSGBDO|OCSDATA,0,ou,2023-05-09 14:25:20.319,94,0,0,1:1:50,0,ou,2023-05-09 14:25:20.319,94,0,2023-05-09 15:58:06.160
ARC_GFT GTARC|OGFT,0,ou,2023-05-09 13:32:05.979,147,0,0,2:0:15,0,ou,2023-05-09 13:32:05.979,147,0,2023-05-09 15:58:06.201
ARC_GFT GTSGBDO|OCSGFT,0,ou,2023-05-09 13:32:06.039,147,0,0,2:0:15,0,ou,2023-05-09 13:32:06.039,147,0,2023-05-09 15:58:06.245
ARC_VOU GTARC|OVOU,0,ou,2023-05-09 13:32:06.345,147,0,0,2:0:15,0,ou,2023-05-09 13:32:06.345,147,0,2023-05-09 15:58:06.285
ARC_VOU GTSGBDO|OCSVOU,0,ou,2023-05-09 13:32:06.401,147,0,0,2:0:15,0,ou,2023-05-09 13:32:06.401,147,0,2023-05-09 15:58:06.327
GTOCS5S GTSGBDO|CBPSM52,0,ou,2023-05-09 12:27:05.508,212,0,0,2:5:40,0,ou,2023-05-09 12:27:05.508,212,0,2023-05-09 15:58:06.370
ARC_LOA GTARC|OCSL,0,ou,2023-05-09 09:46:45.130,373,0,0,5:1:5,0,ou,2023-05-09 09:46:45.130,373,0,2023-05-09 15:58:06.408
ARC_LOA GTSGBDO|OCSLOAN,0,ou,2023-05-09 09:46:45.729,373,0,0,5:1:5,0,ou,2023-05-09 09:46:45.729,373,0,2023-05-09 15:58:06.447
ARC_REC GTSGBDO|OCSREC,0,ou,2023-05-09 09:46:46.323,373,0,0,5:1:5,0,ou,2023-05-09 09:46:46.323,373,0,2023-05-09 15:58:06.494
